order_no,item_code,item_name,quantity,status,purch_odr_typ,delivery_date,前工程
E8732909,MC-603-601-BLOCK,SINKER CAP,300.0,2,1,2025-09-16,MC-603-601-BLOCK
E8754516,PA-G-9501HB,BRACKET,15.0,2,1,2025-11-04,PA-G-9501HB
E8764797,L1-161-501AA30,CAM RING,3.0,2,1,2025-08-29,L1-161-501AA30
E8764798,L1-161-501AA34,CAM RING,3.0,2,1,2025-08-29,L1-161-501AA34
E8764836,LA-161-501AA34-DF,CAM RING,3.0,2,1,2025-08-29,LA-161-501AA34-DF
E8799137,L1-161-406DE34,GEAR RING (170-406AA34ﾄ ｶﾀ ｵﾅｼﾞ),5.0,2,1,2025-09-11,L1-161-406DE34
E8799339,L1-478-409AA34-S,NEEDLE DIAL,20.0,2,1,2025-11-12,L1-478-409AA34-S
E8802771,L1-1531-406AA30,GEAR RING,1.0,2,2,2025-09-26,L1-1531-406AA30
E8812269,LC-970-41030-S,SINKER REST RING★★★★ゲージ注意★★★,5.0,2,1,2025-09-26,LC-970-41030-S
E8812379,MC-603-601-BLOCK,SINKER CAP,300.0,2,1,2025-09-19,MC-603-601-BLOCK
E8812380,MC-603-601-BLOCK,SINKER CAP,300.0,2,1,2025-10-07,MC-603-601-BLOCK
E8815699,TH-KF20-03902AB,STATIONARY BEVEL GEAR(90NT),30.0,2,1,2025-10-10,TH-KF20-03902AB
E8819019,AO-100-201B1150,TAKE UP DRIVING ROLLER,2.0,2,2,2025-10-22,AO-100-201B1150
E8819021,AO-100-202A1150,100-202AB-ROLL-NEWTYPE,2.0,2,2,2025-10-22,AO-100-202A1150
E8822115,L1-78-40531-S,NEEDLE CYLINDER,12.0,2,1,2025-10-01,L1-78-40531-S
E8822134,L1-87-405EA32-S,NEEDLE CYLINDER,4.0,2,1,2025-10-08,L1-87-405EA32-S
E8826041,PA-G-1111UA,GUIDE PLATE   W/PA,250.0,2,1,2025-10-29,PA-G-1111UA
E8826042,PA-G-1111VA,GUIDE PLATE   W/PA,250.0,2,1,2025-10-29,PA-G-1111VA
E8826953,AO-KA65-00101AA,YARN CARRIER HOLDER,1000.0,2,1,2025-10-02,AO-KA65-00101AA
E8826954,AO-KA65-00101AA,YARN CARRIER HOLDER,1000.0,2,1,2025-10-02,AO-KA65-00101AA
E8826955,AO-KA65-00101AA,YARN CARRIER HOLDER,1000.0,2,1,2025-10-02,AO-KA65-00101AA
E8826994,L1-161-406DE34,GEAR RING (170-406AA34ﾄ ｶﾀ ｵﾅｼﾞ),4.0,2,1,2025-09-26,L1-161-406DE34
E8827005,LA-161-406DE31-D,GEAR RING (HIZUMI TORI),5.0,2,1,2025-10-07,LA-161-406DE31-D
E8827006,L1-161-406DE31,GEAR RING,5.0,2,1,2025-09-30,L1-161-406DE31
E8827022,LA-161-406DE31-D,GEAR RING (HIZUMI TORI),5.0,2,1,2025-10-10,LA-161-406DE31-D
E8827023,L1-161-406DE31,GEAR RING,5.0,2,1,2025-10-03,L1-161-406DE31
