ID,SKDK,KUMITATENO,MODEL,INCH,GAUGE,SETU_F,KOSUU,SEISANJI,KUMIKAISHI,KUMIKAISHI_DATE,CAT2,TUKI,KumitatenoLen,TYPE,KUMITATENO_Job,JOB_1_0,JOB_1,JOB_2_0,JOB_2,JOB_3_0,JOB_3,JOB_4_0,JOB_4,JOB_5_0,JOB_5,JOB_6_0,JOB_6,JOB_7_0,JOB_7,JOB_8_0,JOB_8,DENPYONO,jobCode,itemCode,lotCode,parentJobCode,comment,qty,start,suspend,end,time,intStart,intSuspend,intEnd,assignedResInfo,resultQty,resultStart,resultEnd,resultTime,uEST,uLST,uEET,uLET,uTime,uQty,uOverlapFactor,uProductionFactor,status,timeFixedFlag,resFixedFlag,assignFlag,pendingFlag,level,mainResCode,originalQty,originalJobCode,processCode,extension,rsv1,rsv2,rsv3,rsv4,rsv5,rsv6,rsv7,rsv8,rsv9,rsv10
1,DK,L051,M-LEC7BSH,38.0,20,335-409AA38,1,25118,20251112,2025-11-13 00:00:00,D409,2511,4,335,L051,2025-11-06 00:00:00,2025-10-28 00:00:00,2025-11-07 00:00:00,2025-10-30 00:00:00,2025-11-10 00:00:00,2025-10-31 00:00:00,,,2025-11-11 00:00:00,2025-10-31 00:00:00,2025-11-12 00:00:00,2025-10-31 00:00:00,2025-11-12 00:00:00,2025-11-05 00:00:00,,,F000125640,L051:SL1:1,5540-405AA38      2011,L051,,,1,2001-01-01 00:00:00,,2001-01-01 00:00:00,170760,,,,"M,BL,0",1.0,2025-10-27 13:02:00,2025-11-01 14:25:00,,,,,,,,,,C,0,0,0,0,1,BL,1,,SL1,,2001/01/01 00:00:00,2001/01/01 00:00:00,170760,,,,,S_S___,,PS
10,DK,L007,OD6B-M-7ES,30.0,32,478-409AA30,1,25114,20251029,2025-10-30 00:00:00,D409,2511,4,478,L007,2025-10-23 00:00:00,2025-10-16 00:00:00,2025-10-23 00:00:00,2025-10-17 00:00:00,2025-10-24 00:00:00,2025-10-17 00:00:00,,,2025-10-27 00:00:00,2025-10-20 00:00:00,2025-10-28 00:00:00,2025-10-20 00:00:00,2025-10-29 00:00:00,2025-10-27 00:00:00,,,F000124117,L007:SL1:1,78-405A30         3211,L007,,,1,2001-01-01 00:00:00,,2001-01-01 00:00:00,200400,,,,"M,FF,0",1.0,2025-10-09 15:46:00,2025-10-16 08:34:00,,,,,,,,,,C,0,0,0,0,1,FF,1,,SL1,,2001/01/01 00:00:00,2001/01/01 00:00:00,200400,,,,,S_S___,,C
11,DK,L008,OD6B-M-7ES,30.0,32,478-409AA30,1,25114,20251029,2025-10-30 00:00:00,D409,2511,4,478,L008,2025-10-23 00:00:00,2025-10-18 00:00:00,2025-10-23 00:00:00,2025-10-21 00:00:00,2025-10-24 00:00:00,2025-10-22 00:00:00,,,2025-10-27 00:00:00,2025-10-22 00:00:00,2025-10-28 00:00:00,2025-10-23 00:00:00,2025-10-29 00:00:00,2025-10-24 00:00:00,,,F000124147,L008:SL1:1,78-405A30         3211,L008,,,1,2001-01-01 00:00:00,,2001-01-01 00:00:00,200400,,,,"M,FF,0",1.0,2025-10-10 14:55:00,2025-10-17 08:12:00,,,,,,,,,,C,0,0,0,0,1,FF,1,,SL1,,2001/01/01 00:00:00,2001/01/01 00:00:00,200400,,,,,S_S___,,DD
12,DK,L009,OD6B-M-7ES,30.0,32,478-409AA30,1,25114,20251029,2025-10-30 00:00:00,D409,2511,4,478,L009,2025-10-23 00:00:00,2025-10-16 00:00:00,2025-10-23 00:00:00,2025-10-20 00:00:00,2025-10-24 00:00:00,2025-10-20 00:00:00,,,2025-10-27 00:00:00,2025-10-21 00:00:00,2025-10-28 00:00:00,2025-10-21 00:00:00,2025-10-29 00:00:00,2025-10-23 00:00:00,,,F000124177,L009:SL1:1,78-405A30         3211,L009,,,1,2001-01-01 00:00:00,,2001-01-01 00:00:00,200400,,,,"M,FF,0",1.0,2025-10-10 16:12:00,2025-10-16 08:34:00,,,,,,,,,,C,0,0,0,0,1,FF,1,,SL1,,2001/01/01 00:00:00,2001/01/01 00:00:00,200400,,,,,S_S___,,NL
13,DK,L010,OD6B-M-7ES,30.0,32,478-409AA30,1,25114,20251029,2025-10-30 00:00:00,D409,2511,4,478,L010,2025-10-23 00:00:00,2025-10-17 00:00:00,2025-10-23 00:00:00,2025-10-20 00:00:00,2025-10-24 00:00:00,2025-10-21 00:00:00,,,2025-10-27 00:00:00,2025-10-22 00:00:00,2025-10-28 00:00:00,2025-10-23 00:00:00,2025-10-29 00:00:00,2025-10-23 00:00:00,,,F000124207,L010:SL1:1,78-405A30         3211,L010,,,1,2001-01-01 00:00:00,,2001-01-01 00:00:00,200400,,,,"M,FF,0",1.0,2025-10-10 15:33:00,2025-10-17 07:55:00,,,,,,,,,,C,0,0,0,0,1,FF,1,,SL1,,2001/01/01 00:00:00,2001/01/01 00:00:00,200400,,,,,S_S___,,W
14,DK,L021,OD6B-M-8ERS,30.0,28,478-409AA30,1,25113,20251027,2025-10-28 00:00:00,D409,2511,4,478,L021,2025-10-22 00:00:00,2025-10-10 00:00:00,2025-10-22 00:00:00,2025-10-15 00:00:00,2025-10-23 00:00:00,2025-10-16 00:00:00,,,2025-10-24 00:00:00,2025-10-16 00:00:00,2025-10-27 00:00:00,2025-10-17 00:00:00,2025-10-27 00:00:00,2025-10-21 00:00:00,,,F000123854,L021:SL1:1,78-405A30         2811,L021,,,1,2021-02-12 08:00:00,,2021-02-19 08:40:00,200400,,,,"M,FF,0",1.0,2025-10-06 16:51:00,2025-10-09 17:08:00,,,,,,,,,,C,0,0,0,0,1,FF,1,,SL1,,2021/02/12 08:00:00,2021/02/19 08:40:00,200400,,,,,S_S___,,DD
15,DK,L022,OD6B-M-8ERS,30.0,28,478-409AA30,1,25113,20251027,2025-10-28 00:00:00,D409,2511,4,478,L022,2025-10-22 00:00:00,2025-10-14 00:00:00,2025-10-22 00:00:00,2025-10-16 00:00:00,2025-10-23 00:00:00,2025-10-16 00:00:00,,,2025-10-24 00:00:00,2025-10-17 00:00:00,2025-10-27 00:00:00,2025-10-17 00:00:00,2025-10-27 00:00:00,2025-10-20 00:00:00,,,F000123884,L022:SL1:1,78-405A30         2811,L022,,,1,2021-02-12 08:00:00,,2021-02-19 08:40:00,200400,,,,"M,FF,0",1.0,2025-10-07 15:29:00,2025-10-11 11:54:00,,,,,,,,,,C,0,0,0,0,1,FF,1,,SL1,,2021/02/12 08:00:00,2021/02/19 08:40:00,200400,,,,,S_S___,,F
16,DK,L023,OD6B-M-8ERS,30.0,28,478-409AA30,1,25113,20251027,2025-10-28 00:00:00,D409,2511,4,478,L023,2025-10-22 00:00:00,2025-10-15 00:00:00,2025-10-22 00:00:00,2025-10-16 00:00:00,2025-10-23 00:00:00,2025-10-16 00:00:00,,,2025-10-24 00:00:00,2025-10-17 00:00:00,2025-10-27 00:00:00,2025-10-17 00:00:00,2025-10-27 00:00:00,2025-10-17 00:00:00,,,F000123914,L023:SL1:1,78-405A30         2811,L023,,,1,2021-02-12 08:00:00,,2021-02-19 08:40:00,200400,,,,"M,FF,0",1.0,2025-10-08 11:02:00,2025-10-15 08:12:00,,,,,,,,,,C,0,0,0,0,1,FF,1,,SL1,,2021/02/12 08:00:00,2021/02/19 08:40:00,200400,,,,,S_S___,,CC
162,DK,L001,OD6B-M-7ES,30.0,32,78-405A30,1,25112,20251022,2025-10-23 00:00:00,D405,2511,4,78,L001,2025-10-16 00:00:00,2025-10-08 00:00:00,2025-10-16 00:00:00,2025-10-09 00:00:00,2025-10-17 00:00:00,2025-10-09 00:00:00,,,2025-10-20 00:00:00,2025-10-10 00:00:00,2025-10-21 00:00:00,2025-10-14 00:00:00,2025-10-22 00:00:00,2025-10-14 00:00:00,,,F000123658,L001:SL1:1,78-405A30         3211,L001,,,1,2001-01-01 00:00:00,,2001-01-01 00:00:00,200400,,,,"M,FF,0",1.0,2025-10-02 18:56:00,2025-10-08 11:02:00,,,,,,,,,,C,0,0,0,0,1,FF,1,,SL1,,2001/01/01 00:00:00,2001/01/01 00:00:00,200400,,,,,S_S___,,S
163,DK,L002,OD6B-M-7ES,30.0,32,78-405A30,1,25112,20251022,2025-10-23 00:00:00,D405,2511,4,78,L002,2025-10-16 00:00:00,2025-10-08 00:00:00,2025-10-16 00:00:00,2025-10-09 00:00:00,2025-10-17 00:00:00,2025-10-10 00:00:00,,,2025-10-20 00:00:00,2025-10-10 00:00:00,2025-10-21 00:00:00,2025-10-14 00:00:00,2025-10-22 00:00:00,2025-10-15 00:00:00,,,F000123688,L002:SL1:1,78-405A30         3211,L002,,,1,2021-02-12 08:00:00,,2021-02-19 08:40:00,200400,,,,"M,FF,0",1.0,2025-10-03 11:24:00,2025-10-08 11:02:00,,,,,,,,,,C,0,0,0,0,1,FF,1,,SL1,,2021/02/12 08:00:00,2021/02/19 08:40:00,200400,,,,,S_S___,,Y
