ID,SKDK,KUMITATENO,MODEL,INCH,GAUGE,SETU_F,KOSUU,SEISANJI,KUMIKAISHI,KUMIKAISHI_DATE,CAT2,TUKI,KumitatenoLen,TYPE,KUMITATENO_Job,JOB_1_0,JOB_1,JOB_2_0,JOB_2,JOB_3_0,JOB_3,JOB_4_0,JOB_4,JOB_5_0,JOB_5,JOB_6_0,JOB_6,JOB_7_0,JOB_7,JOB_8_0,JOB_8,DENPYONO
1,DK,K004,OD6B-M-8ERS,30.0,24,478-409AA30,1,25102,20250918,2025-09-19 00:00:00,D409,2510,4,478,K004,2025-09-12 00:00:00,2025-09-05 00:00:00,2025-09-12 00:00:00,2025-09-08 00:00:00,2025-09-16 00:00:00,2025-09-09 00:00:00,,,2025-09-17 00:00:00,2025-09-16 00:00:00,2025-09-18 00:00:00,2025-09-16 00:00:00,2025-09-18 00:00:00,2025-09-16 00:00:00,,,F000121866
10,DK,K013,OD6B-M-8ERS,30.0,24,478-409AA30,1,25103,20250924,2025-09-25 00:00:00,D409,2510,4,478,K013,2025-09-18 00:00:00,2025-09-12 00:00:00,2025-09-18 00:00:00,2025-09-16 00:00:00,2025-09-19 00:00:00,2025-09-16 00:00:00,,,2025-09-22 00:00:00,2025-09-17 00:00:00,2025-09-24 00:00:00,2025-09-18 00:00:00,2025-09-24 00:00:00,2025-09-20 00:00:00,,,F000122282
11,DK,K014,OD6B-M-8ERS,30.0,24,478-409AA30,1,25104,20250926,2025-09-29 00:00:00,D409,2510,4,478,K014,2025-09-22 00:00:00,2025-09-11 00:00:00,2025-09-22 00:00:00,2025-09-11 00:00:00,2025-09-24 00:00:00,2025-09-12 00:00:00,,,2025-09-25 00:00:00,2025-09-18 00:00:00,2025-09-26 00:00:00,2025-09-19 00:00:00,2025-09-26 00:00:00,2025-09-22 00:00:00,,,F000122312
12,DK,K015,OD6B-M-8ERS,30.0,24,478-409AA30,1,25104,20250926,2025-09-29 00:00:00,D409,2510,4,478,K015,2025-09-22 00:00:00,2025-09-19 00:00:00,2025-09-22 00:00:00,2025-09-19 00:00:00,2025-09-24 00:00:00,2025-09-19 00:00:00,,,2025-09-25 00:00:00,2025-09-22 00:00:00,2025-09-26 00:00:00,2025-09-22 00:00:00,2025-09-26 00:00:00,2025-09-22 00:00:00,,,F000122342
13,DK,K016,OD6B-M-8ERS,30.0,24,478-409AA30,1,25104,20250926,2025-09-29 00:00:00,D409,2510,4,478,K016,2025-09-22 00:00:00,2025-09-18 00:00:00,2025-09-22 00:00:00,2025-09-19 00:00:00,2025-09-24 00:00:00,2025-09-19 00:00:00,,,2025-09-25 00:00:00,2025-09-19 00:00:00,2025-09-26 00:00:00,2025-09-20 00:00:00,2025-09-26 00:00:00,2025-09-22 00:00:00,,,F000122372
14,DK,K017,OD6B-M-8ERS,30.0,24,478-409AA30,1,25104,20250926,2025-09-29 00:00:00,D409,2510,4,478,K017,2025-09-22 00:00:00,2025-09-18 00:00:00,2025-09-22 00:00:00,2025-09-19 00:00:00,2025-09-24 00:00:00,2025-09-22 00:00:00,,,2025-09-25 00:00:00,2025-09-22 00:00:00,2025-09-26 00:00:00,2025-09-22 00:00:00,2025-09-26 00:00:00,2025-09-24 00:00:00,,,F000122402
15,DK,K018,OD6B-M-8ERS,30.0,24,478-409AA30,1,25104,20250926,2025-09-29 00:00:00,D409,2510,4,478,K018,2025-09-22 00:00:00,2025-09-16 00:00:00,2025-09-22 00:00:00,2025-09-17 00:00:00,2025-09-24 00:00:00,2025-09-17 00:00:00,,,2025-09-25 00:00:00,2025-09-18 00:00:00,2025-09-26 00:00:00,2025-09-20 00:00:00,2025-09-26 00:00:00,2025-09-22 00:00:00,,,F000122432
154,DK,K004,OD6B-M-8ERS,30.0,24,78-405A30,1,25102,20250918,2025-09-19 00:00:00,D405,2510,4,78,K004,2025-09-12 00:00:00,2025-09-05 00:00:00,2025-09-12 00:00:00,2025-09-08 00:00:00,2025-09-16 00:00:00,2025-09-08 00:00:00,,,2025-09-17 00:00:00,2025-09-16 00:00:00,2025-09-18 00:00:00,2025-09-16 00:00:00,2025-09-18 00:00:00,2025-09-17 00:00:00,,,F000121849
155,DK,K005,OD6B-M-8ERS,30.0,24,78-405A30,1,25102,20250918,2025-09-19 00:00:00,D405,2510,4,78,K005,2025-09-12 00:00:00,2025-09-09 00:00:00,2025-09-12 00:00:00,2025-09-09 00:00:00,2025-09-16 00:00:00,2025-09-09 00:00:00,,,2025-09-17 00:00:00,2025-09-17 00:00:00,2025-09-18 00:00:00,2025-09-17 00:00:00,2025-09-18 00:00:00,2025-09-19 00:00:00,,,F000121879
156,DK,K006,OD6B-M-8ERS,30.0,24,78-405A30,1,25102,20250918,2025-09-19 00:00:00,D405,2510,4,78,K006,2025-09-12 00:00:00,2025-09-08 00:00:00,2025-09-12 00:00:00,2025-09-09 00:00:00,2025-09-16 00:00:00,2025-09-10 00:00:00,,,2025-09-17 00:00:00,2025-09-17 00:00:00,2025-09-18 00:00:00,2025-09-17 00:00:00,2025-09-18 00:00:00,2025-09-19 00:00:00,,,F000121909
157,DK,K007,OD6B-M-8ERS,30.0,24,78-405A30,1,25102,20250918,2025-09-19 00:00:00,D405,2510,4,78,K007,2025-09-12 00:00:00,2025-09-08 00:00:00,2025-09-12 00:00:00,2025-09-08 00:00:00,2025-09-16 00:00:00,2025-09-09 00:00:00,,,2025-09-17 00:00:00,2025-09-16 00:00:00,2025-09-18 00:00:00,2025-09-16 00:00:00,2025-09-18 00:00:00,2025-09-17 00:00:00,,,F000121939
158,DK,K008,OD6B-M-8ERS,30.0,24,78-405A30,1,25102,20250918,2025-09-19 00:00:00,D405,2510,4,78,K008,2025-09-12 00:00:00,2025-09-08 00:00:00,2025-09-12 00:00:00,2025-09-09 00:00:00,2025-09-16 00:00:00,2025-09-10 00:00:00,,,2025-09-17 00:00:00,2025-09-17 00:00:00,2025-09-18 00:00:00,2025-09-17 00:00:00,2025-09-18 00:00:00,2025-09-17 00:00:00,,,F000121969
159,DK,K009,OD6B-M-8ERS,30.0,24,78-405A30,1,25103,20250924,2025-09-25 00:00:00,D405,2510,4,78,K009,2025-09-18 00:00:00,2025-09-09 00:00:00,2025-09-18 00:00:00,2025-09-10 00:00:00,2025-09-19 00:00:00,2025-09-10 00:00:00,,,2025-09-22 00:00:00,2025-09-18 00:00:00,2025-09-24 00:00:00,2025-09-18 00:00:00,2025-09-24 00:00:00,2025-09-19 00:00:00,,,F000122145
16,DK,K019,OD6B-M-8ERS,30.0,24,478-409AA30,1,25105,20251001,2025-10-02 00:00:00,D409,2510,4,478,K019,2025-09-26 00:00:00,2025-09-12 00:00:00,2025-09-26 00:00:00,2025-09-16 00:00:00,2025-09-29 00:00:00,2025-09-16 00:00:00,,,2025-09-30 00:00:00,2025-09-18 00:00:00,2025-10-01 00:00:00,2025-09-22 00:00:00,2025-10-01 00:00:00,2025-09-22 00:00:00,,,F000122462
