ç´ïÔäJénì˙,î≠çsì˙,ëgóßäJénì˙,ê∂éYåééü,ì`ï[ÇmÇè,â¡çHïîî‘,ïîïiñº,ïKóvêî,ñ¢à¯ìñç›å…êî,éËéùÇøç›å…êî,ìæà”êÊíçï∂î‘çÜ,èoå…çœêî
2025/11/26,2025/11/22,2025/11/26,,E000097060,21-511H,3 POSITION GUARD CAM,64,8,8,PE-2555501,
2025/11/26,2025/11/22,2025/11/26,,E000097061,21-513K,STITCH CAM,64,14,14,PE-2555502,
2026/01/15,2025/11/22,2025/12/24,2026014,E000098882,278-625A30,WELT CAM (H),86,55,55,,0
2026/01/29,2025/11/22,2026/01/15,2026018,E000098905,278-625A30,WELT CAM (H),116,0,0,,0
2026/01/15,2025/11/22,2025/12/24,2026014,E000098883,278-626A30,WELT CAM (L),86,86,102,,0
2026/01/29,2025/11/22,2026/01/15,2026018,E000098906,278-626A30,WELT CAM (L),116,16,16,,0
2026/01/15,2025/11/22,2025/12/24,2026014,E000098884,278-633A30,WELT CAM (H),6,6,26,,0
2026/01/29,2025/11/22,2026/01/15,2026018,E000098907,278-633A30,WELT CAM (H),4,4,20,,0
2026/01/15,2025/11/22,2025/12/24,2026014,E000098885,278-634A30,WELT CAM (L),6,6,30,,0
2026/01/29,2025/11/22,2026/01/15,2026018,E000098908,278-634A30,WELT CAM (L),4,4,24,,0
2026/01/22,2025/11/22,2026/01/07,2026016,E000098493,279-508A30,NEEDLE GUARD,30,30,58,,0
2026/01/19,2025/11/22,2026/01/19,202601,E000098836,279-508A30,NEEDLE GUARD,30,28,28,,
2026/01/22,2025/11/22,2026/01/07,2026016,E000098660,279-511T33,STITCH CAM,61,17,17,,0
2026/01/22,2025/11/22,2026/01/07,2026016,E000098661,279-512A33,RAISING CAM,61,61,80,,0
2025/12/26,2025/11/22,2025/12/26,,E000098568,279-513A30,WELT CAM,106,7,7,PF-9388013,
2026/01/22,2025/11/22,2026/01/07,2026016,E000098662,279-513A30,WELT CAM,4,0,0,,0
2026/01/22,2025/11/22,2026/01/07,2026016,E000098663,279-514D30,WELT CAM,60,13,13,,0
2025/12/26,2025/11/22,2025/12/26,,E000098579,279-581AA33,STITCH CAM,8,4,4,PF-9388018,
2025/12/26,2025/11/22,2025/12/26,,E000098580,279-581BA33,STITCH CAM,8,0,0,PF-9388019,
2025/12/26,2025/11/22,2025/12/26,,E000098567,279-582AA33,RAISING CAM,16,5,5,PF-9388012,
2026/01/22,2025/11/22,2026/01/07,2026016,E000098664,279-611T33,STITCH CAM (B),32,14,14,,0
2026/01/22,2025/11/22,2026/01/07,2026016,E000098665,279-612T33,STITCH CAM (C),32,16,16,,0
2026/01/22,2025/11/22,2026/01/07,2026016,E000098666,279-613T33,STITCH CAM (D),32,14,14,,0
2026/01/22,2025/11/22,2026/01/07,2026016,E000098667,279-614T33,STITCH CAM (E),32,32,36,,0
2026/01/22,2025/11/22,2026/01/07,2026016,E000098668,279-615A30,RAISING CAM (B),32,16,16,,0
2025/11/14,2025/11/22,2025/11/14,,E000099098,279-615A38,RAISING CAM (B),3,3,13,PJ-0637901,
2026/01/22,2025/11/22,2026/01/07,2026016,E000098669,279-616A30,RAISING CAM (C),32,25,25,,0
2026/01/22,2025/11/22,2026/01/07,2026016,E000098670,279-617A30,RAISING CAM (D),32,0,0,,0
2026/01/22,2025/11/22,2026/01/07,2026016,E000098671,279-618A30,RAISING CAM (E),32,8,8,,0
2026/01/22,2025/11/22,2026/01/07,2026016,E000098672,279-619A30,WELT CAM (B),51,12,12,,0
2026/01/22,2025/11/22,2026/01/07,2026016,E000098673,279-620A30,WELT CAM (C),51,19,19,,0
2026/01/22,2025/11/22,2026/01/07,2026016,E000098674,279-621A30,WELT CAM (D),51,0,0,,0
2026/01/22,2025/11/22,2026/01/07,2026016,E000098675,279-622A30,WELT CAM (E),51,0,0,,0
2025/12/26,2025/11/22,2025/12/26,,E000098569,279-623A30,WELT CAM (B),5,4,4,PF-9388014,
2026/01/22,2025/11/22,2026/01/07,2026016,E000098676,279-623A30,WELT CAM (B),20,0,0,,0
2025/12/02,2025/11/22,2025/12/02,,E000098178,279-623A33,WELT CAM (B),18,18,126,PJ-0630301,
2025/12/02,2025/11/22,2025/12/02,,E000098182,279-623A33,WELT CAM (B),18,18,108,PJ-0630305,
2025/12/02,2025/11/22,2025/12/02,,E000098186,279-623A33,WELT CAM (B),18,18,90,PJ-0630309,
2025/12/02,2025/11/22,2025/12/02,,E000098184,279-623A33,WELT CAM (B),18,18,72,PJ-0630307,
2025/12/02,2025/11/22,2025/12/02,,E000098180,279-623A33,WELT CAM (B),18,18,54,PJ-0630303,
2025/12/26,2025/11/22,2025/12/26,,E000098570,279-624A30,WELT CAM (C),5,2,2,PF-9388015,
2026/01/22,2025/11/22,2026/01/07,2026016,E000098677,279-624A30,WELT CAM (C),20,0,0,,0
2025/12/02,2025/11/22,2025/12/02,,E000098181,279-624A33,WELT CAM (C),18,18,314,PJ-0630304,
2025/12/02,2025/11/22,2025/12/02,,E000098179,279-624A33,WELT CAM (C),18,18,296,PJ-0630302,
2025/12/02,2025/11/22,2025/12/02,,E000098187,279-624A33,WELT CAM (C),18,18,278,PJ-0630310,
2025/12/02,2025/11/22,2025/12/02,,E000098185,279-624A33,WELT CAM (C),18,18,260,PJ-0630308,
2025/12/02,2025/11/22,2025/12/02,,E000098183,279-624A33,WELT CAM (C),18,18,242,PJ-0630306,
2025/12/26,2025/11/22,2025/12/26,,E000098571,279-625A30,WELT CAM (D),5,5,10,PF-9388016,
2026/01/22,2025/11/22,2026/01/07,2026016,E000098678,279-625A30,WELT CAM (D),20,5,5,,0
2025/12/26,2025/11/22,2025/12/26,,E000098572,279-626A30,WELT CAM (E),5,4,4,PF-9388017,
2026/01/22,2025/11/22,2026/01/07,2026016,E000098679,279-626A30,WELT CAM (E),20,0,0,,0
2026/01/22,2025/11/22,2026/01/07,2026016,E000098680,279-627A30,TUCKING CAM (B),20,0,0,,0
2026/01/22,2025/11/22,2026/01/07,2026016,E000098681,279-628A30,TUCKING CAM (C),20,17,17,,0
2026/01/22,2025/11/22,2026/01/07,2026016,E000098682,279-629A30,TUCKING CAM (D),20,0,0,,0
2026/01/22,2025/11/22,2026/01/07,2026016,E000098683,279-630A30,TUCKING CAM (E),20,16,16,,0
2026/01/22,2025/11/22,2026/01/07,2026016,E000098684,279-631A33,TUCK STITCH CAM (B),20,15,15,,0
2026/01/22,2025/11/22,2026/01/07,2026016,E000098685,279-632A33,TUCK STITCH CAM (C),20,15,15,,0
2026/01/22,2025/11/22,2026/01/07,2026016,E000098686,279-633A33,TUCK STITCH CAM (D),20,14,14,,0
2026/01/22,2025/11/22,2026/01/07,2026016,E000098687,279-634A33,TUCK STITCH CAM (E),20,4,4,,0
2026/02/02,2025/11/22,2026/01/19,2026021,E000098956,3106-511BB30,KK CAM,91,30,30,,0
2026/02/02,2025/11/22,2026/01/19,2026021,E000098957,3106-512BB30,KT CAM,1,1,24,,0
2026/02/02,2025/11/22,2026/01/19,2026021,E000098958,3106-514BB30,TK CAM,30,25,25,,0
2026/02/02,2025/11/22,2026/01/19,2026021,E000098959,3106-517BB30,WK CAM,15,12,12,,0
2026/02/02,2025/11/22,2026/01/19,2026021,E000098960,3106-518BB30,WT CAM,15,5,5,,0
2026/02/02,2025/11/22,2026/01/19,2026021,E000098961,3139-612AA30,SINKER GATE CAM A,2,2,6,,0
2026/02/06,2025/11/22,2026/02/06,,E000099093,3139-612AA30,SINKER GATE CAM A,1,1,4,PM-5167101,
2025/11/04,2025/11/22,2025/10/20,2025111,E000097093,3139-612AA32,SINKER GATE CAM A,4,0,17,,4
2025/11/06,2025/11/22,2025/10/22,2025112,E000097101,3139-612AA32,SINKER GATE CAM A,4,0,17,,4
2025/11/11,2025/11/22,2025/10/27,2025113,E000097196,3139-612AA32,SINKER GATE CAM A,2,0,17,,2
2026/02/04,2025/11/22,2026/01/21,2026022,E000099099,3139-612AA32,SINKER GATE CAM A,3,3,17,,0
2025/11/20,2025/11/22,2025/11/06,2025116,E000097560,3139-612AA34,SINKER GATE CAM A,2,0,12,,2
