ID,SKDK,KUMITATENO,MODEL,INCH,GAUGE,SETU_F,KOSUU,SEISANJI,KUMIKAISHI,KUMIKAISHI_DATE,CAT2,TUKI,KumitatenoLen,TYPE,KUMITATENO_Job,JOB_1_0,JOB_1,JOB_2_0,JOB_2,JOB_3_0,JOB_3,JOB_4_0,JOB_4,JOB_5_0,JOB_5,JOB_6_0,JOB_6,JOB_7_0,JOB_7,JOB_8_0,JOB_8,DENPYONO,jobCode,itemCode,lotCode,parentJobCode,comment,qty,start,suspend,end,time,intStart,intSuspend,intEnd,assignedResInfo,resultQty,resultStart,resultEnd,resultTime,uEST,uLST,uEET,uLET,uTime,uQty,uOverlapFactor,uProductionFactor,status,timeFixedFlag,resFixedFlag,assignFlag,pendingFlag,level,mainResCode,originalQty,originalJobCode,processCode,extension,rsv1,rsv2,rsv3,rsv4,rsv5,rsv6,rsv7,rsv8,rsv9,rsv10
1,DK,K045,M-9ME22,30.0,28,478-409AA300,1,25118,20251112,2025-11-13 00:00:00,D409,2511,4,478,K045,2025-11-07 00:00:00,,2025-11-07 00:00:00,,2025-11-10 00:00:00,,,,2025-11-11 00:00:00,,2025-11-12 00:00:00,,2025-11-12 00:00:00,,,,F000002045,K045:SL1:1,78-405A300        2811,K045,,,1.0,2021-02-19 19:20:00,,2021-02-27 20:00:00,200400.0,,,,"M,FF,0",,,,,,,,,,,,,N,0,0,1,0,1.0,FF,1.0,,SL1,,2021/02/19 19:20:00,2021/02/27 20:00:00,200400,,,,,,,
10,DK,L004,OD6B-M-7ES,30.0,32,478-409AA300,1,25112,20251022,2025-10-23 00:00:00,D409,2511,4,478,L004,2025-10-16 00:00:00,,2025-10-16 00:00:00,,2025-10-17 00:00:00,,,,2025-10-20 00:00:00,,2025-10-21 00:00:00,,2025-10-22 00:00:00,,,,F000002654,L004:SL1:1,78-405A300        3211,L004,,,1.0,2021-02-12 08:00:00,,2021-02-19 08:40:00,200400.0,,,,"M,FF,0",,,,,,,,,,,,,N,0,0,1,0,1.0,FF,1.0,,SL1,,2021/02/12 08:00:00,2021/02/19 08:40:00,200400,,,,,,,
100,DK,L049,OD5B-M-9ME22,34.0,28,478-409AA340,1,25118,20251112,2025-11-13 00:00:00,D409,2511,4,478,L049,2025-11-07 00:00:00,,2025-11-07 00:00:00,,2025-11-10 00:00:00,,,,2025-11-11 00:00:00,,2025-11-12 00:00:00,,2025-11-12 00:00:00,,,,F000004210,L049:SL1:1,78-405A340        2811,L049,,,1.0,2021-02-18 18:06:00,,2021-02-27 20:00:00,244440.0,,,,"M,BL,0",,,,,,,,,,,,,N,0,0,1,0,1.0,BL,1.0,,SL1,,2021/02/18 18:06:00,2021/02/27 20:00:00,244440,,,,,,,
101,DK,L050,OD5B-M-9ME22,34.0,28,78-405A340,1,25118,20251112,2025-11-13 00:00:00,D405,2511,4,78,L050,2025-11-07 00:00:00,,2025-11-07 00:00:00,,2025-11-10 00:00:00,,,,2025-11-11 00:00:00,,2025-11-12 00:00:00,,2025-11-12 00:00:00,,,,F000004237,L050:SL1:1,78-405A340        2811,L050,,,1.0,2021-02-18 18:06:00,,2021-02-27 20:00:00,244440.0,,,,"M,N,0",,,,,,,,,,,,,N,0,0,1,0,1.0,N,1.0,,SL1,,2021/02/18 18:06:00,2021/02/27 20:00:00,244440,,,,,,,
102,DK,L050,OD5B-M-9ME22,34.0,28,478-409AA340,1,25118,20251112,2025-11-13 00:00:00,D409,2511,4,478,L050,2025-11-07 00:00:00,,2025-11-07 00:00:00,,2025-11-10 00:00:00,,,,2025-11-11 00:00:00,,2025-11-12 00:00:00,,2025-11-12 00:00:00,,,,F000004238,L050:SL1:1,78-405A340        2811,L050,,,1.0,2021-02-18 18:06:00,,2021-02-27 20:00:00,244440.0,,,,"M,N,0",,,,,,,,,,,,,N,0,0,1,0,1.0,N,1.0,,SL1,,2021/02/18 18:06:00,2021/02/27 20:00:00,244440,,,,,,,
103,DK,L051,M-LEC7BSH,38.0,20,335-409AA380,1,25118,20251112,2025-11-13 00:00:00,D409,2511,4,335,L051,2025-11-06 00:00:00,,2025-11-07 00:00:00,,2025-11-10 00:00:00,,,,2025-11-11 00:00:00,,2025-11-12 00:00:00,,2025-11-12 00:00:00,,,,F000004271,L051:SL1:1,5540-405AA380     2011,L051,,,1.0,2021-02-22 16:24:00,,2021-02-27 20:00:00,170760.0,,,,"M,P,0",,,,,,,,,,,,,N,0,0,1,0,1.0,P,1.0,,SL1,,2021/02/22 16:24:00,2021/02/27 20:00:00,170760,,,,,,,
104,DK,L051,M-LEC7BSH,38.0,20,5540-405AA380,1,25118,20251112,2025-11-13 00:00:00,D405,2511,4,5540,L051,2025-11-06 00:00:00,,2025-11-07 00:00:00,,2025-11-10 00:00:00,,,,2025-11-11 00:00:00,,2025-11-12 00:00:00,,2025-11-12 00:00:00,,2025-11-06 00:00:00,,F000004272,L051:SL1:1,5540-405AA380     2011,L051,,,1.0,2021-02-22 16:24:00,,2021-02-27 20:00:00,170760.0,,,,"M,P,0",,,,,,,,,,,,,N,0,0,1,0,1.0,P,1.0,,SL1,,2021/02/22 16:24:00,2021/02/27 20:00:00,170760,,,,,,,
105,DK,L052,M-LEC7BSH,38.0,20,335-409AA380,1,25118,20251112,2025-11-13 00:00:00,D409,2511,4,335,L052,2025-11-06 00:00:00,,2025-11-07 00:00:00,,2025-11-10 00:00:00,,,,2025-11-11 00:00:00,,2025-11-12 00:00:00,,2025-11-12 00:00:00,,,,F000004305,L052:SL1:1,5540-405AA380     2011,L052,,,1.0,2021-02-22 16:24:00,,2021-02-27 20:00:00,170760.0,,,,"M,W,0",,,,,,,,,,,,,N,0,0,1,0,1.0,W,1.0,,SL1,,2021/02/22 16:24:00,2021/02/27 20:00:00,170760,,,,,,,
106,DK,L052,M-LEC7BSH,38.0,20,5540-405AA380,1,25118,20251112,2025-11-13 00:00:00,D405,2511,4,5540,L052,2025-11-06 00:00:00,,2025-11-07 00:00:00,,2025-11-10 00:00:00,,,,2025-11-11 00:00:00,,2025-11-12 00:00:00,,2025-11-12 00:00:00,,2025-11-06 00:00:00,,F000004306,L052:SL1:1,5540-405AA380     2011,L052,,,1.0,2021-02-22 16:24:00,,2021-02-27 20:00:00,170760.0,,,,"M,W,0",,,,,,,,,,,,,N,0,0,1,0,1.0,W,1.0,,SL1,,2021/02/22 16:24:00,2021/02/27 20:00:00,170760,,,,,,,
108,SK,L101,OD7-M2XC-A3.2RE,32.0,28,87-405QA320,1,25111,20251020,2025-10-21 00:00:00,S405,2511,4,87,L101,,,,,2025-10-16 00:00:00,,2025-10-16 00:00:00,,2025-10-17 00:00:00,,2025-10-20 00:00:00,,2025-10-20 00:00:00,,,,F000004323,L101:SL1:1,87-405QA320       2811,L101,,,1.0,2021-02-12 08:00:00,,2021-02-17 14:23:00,138780.0,,,,"M,H,0",,,,,,,,,,,,,N,0,0,1,0,1.0,H,1.0,,SL1,,2021/02/12 08:00:00,2021/02/17 14:23:00,138780,,,,,,,
