ID,SKDK,KUMITATENO,MODEL,INCH,GAUGE,SETU_F,KOSUU,SEISANJI,KUMIKAISHI,KUMIKAISHI_DATE,CAT2,TUKI,KumitatenoLen,TYPE,KUMITATENO_Job,JOB_1_0,JOB_1,JOB_2_0,JOB_2,JOB_3_0,JOB_3,JOB_4_0,JOB_4,JOB_5_0,JOB_5,JOB_6_0,JOB_6,JOB_7_0,JOB_7,JOB_8_0,JOB_8,DENPYONO,jobCode,itemCode,lotCode,parentJobCode,comment,qty,start,suspend,end,time,intStart,intSuspend,intEnd,assignedResInfo,resultQty,resultStart,resultEnd,resultTime,uEST,uLST,uEET,uLET,uTime,uQty,uOverlapFactor,uProductionFactor,status,timeFixedFlag,resFixedFlag,assignFlag,pendingFlag,level,mainResCode,originalQty,originalJobCode,processCode,extension,rsv1,rsv2,rsv3,rsv4,rsv5,rsv6,rsv7,rsv8,rsv9,rsv10
1,DK,K001,M-8ME22,33.0,40,478-409EA330,1,25103,20250926,2025-09-29 00:00:00,D409,2510,4,478,K001,2025-09-19 00:00:00,,2025-09-19 00:00:00,,2025-09-22 00:00:00,,,,2025-09-24 00:00:00,,2025-09-25 00:00:00,,2025-09-26 00:00:00,,,,F000000017,K001:SL1:1,78-405EA330       4010,K001,,,1,2021-02-19 15:06:00,,2021-02-27 20:00:00,215040,,,,"M,Y,0",,,,,,,,,,,,,N,0,0,1,0,1,Y,1,,SL1,,2021/02/19 15:06:00,2021/02/27 20:00:00,215040,,,,,,,
10,DK,K006,OD6B-M-8ERS,30.0,24,78-405A300,1,25102,20250922,2025-09-24 00:00:00,D405,2510,4,78,K006,2025-09-17 00:00:00,,2025-09-17 00:00:00,,2025-09-18 00:00:00,,,,2025-09-19 00:00:00,,2025-09-22 00:00:00,,2025-09-22 00:00:00,,,,F000000174,K006:SL1:1,78-405A300        2410,K006,,,1,2021-02-12 08:00:00,,2021-02-18 13:44:00,176040,,,,"M,FF,0",,,,,,,,,,,,,N,0,0,1,0,1,FF,1,,SL1,,2021/02/12 08:00:00,2021/02/18 13:44:00,176040,,,,,,,
100,DK,K7213,OD6B-M-7ES,34.0,28,478-409AA340,1,25100,20250930,2025-09-30 00:00:00,D409,2510,5,478,K7213,2025-09-24 00:00:00,,2025-09-24 00:00:00,,2025-09-25 00:00:00,,,,2025-09-26 00:00:00,,2025-09-29 00:00:00,,2025-09-29 00:00:00,,,,F000001102,K7213:SL1:1,78-405A340        2810,K7213,,,1,2021-02-12 08:00:00,,2021-02-22 09:54:00,244440,,,,"M,BL,0",,,,,,,,,,,,,N,0,0,1,0,1,BL,1,,SL1,,2021/02/12 08:00:00,2021/02/22 09:54:00,244440,,,,,,,
101,DK,K7213,OD6B-M-7ES,34.0,28,78-405A340,1,25100,20250930,2025-09-30 00:00:00,D405,2510,5,78,K7213,2025-09-24 00:00:00,,2025-09-24 00:00:00,,2025-09-25 00:00:00,,,,2025-09-26 00:00:00,,2025-09-29 00:00:00,,2025-09-29 00:00:00,,,,F000001103,K7213:SL1:1,78-405A340        2810,K7213,,,1,2021-02-12 08:00:00,,2021-02-22 09:54:00,244440,,,,"M,BL,0",,,,,,,,,,,,,N,0,0,1,0,1,BL,1,,SL1,,2021/02/12 08:00:00,2021/02/22 09:54:00,244440,,,,,,,
102,DK,K7214,OD6B-M-7ES,34.0,28,478-409AA340,1,25100,20250930,2025-09-30 00:00:00,D409,2510,5,478,K7214,2025-09-24 00:00:00,,2025-09-24 00:00:00,,2025-09-25 00:00:00,,,,2025-09-26 00:00:00,,2025-09-29 00:00:00,,2025-09-29 00:00:00,,,,F000001104,K7214:SL1:1,78-405A340        2810,K7214,,,1,2021-02-12 08:00:00,,2021-02-22 09:54:00,244440,,,,"M,BL,0",,,,,,,,,,,,,N,0,0,1,0,1,BL,1,,SL1,,2021/02/12 08:00:00,2021/02/22 09:54:00,244440,,,,,,,
103,DK,K7214,OD6B-M-7ES,34.0,28,78-405A340,1,25100,20250930,2025-09-30 00:00:00,D405,2510,5,78,K7214,2025-09-24 00:00:00,,2025-09-24 00:00:00,,2025-09-25 00:00:00,,,,2025-09-26 00:00:00,,2025-09-29 00:00:00,,2025-09-29 00:00:00,,,,F000001105,K7214:SL1:1,78-405A340        2810,K7214,,,1,2021-02-12 08:00:00,,2021-02-22 09:54:00,244440,,,,"M,BL,0",,,,,,,,,,,,,N,0,0,1,0,1,BL,1,,SL1,,2021/02/12 08:00:00,2021/02/22 09:54:00,244440,,,,,,,
104,DK,K7215,OD6B-M-7ES,34.0,28,78-405A340,1,25100,20250930,2025-09-30 00:00:00,D405,2510,5,78,K7215,2025-09-24 00:00:00,,2025-09-24 00:00:00,,2025-09-25 00:00:00,,,,2025-09-26 00:00:00,,2025-09-29 00:00:00,,2025-09-29 00:00:00,,,,F000001106,K7215:SL1:1,78-405A340        2810,K7215,,,1,2021-02-12 08:00:00,,2021-02-22 09:54:00,244440,,,,"M,BL,0",,,,,,,,,,,,,N,0,0,1,0,1,BL,1,,SL1,,2021/02/12 08:00:00,2021/02/22 09:54:00,244440,,,,,,,
105,DK,K7215,OD6B-M-7ES,34.0,28,478-409AA340,1,25100,20250930,2025-09-30 00:00:00,D409,2510,5,478,K7215,2025-09-24 00:00:00,,2025-09-24 00:00:00,,2025-09-25 00:00:00,,,,2025-09-26 00:00:00,,2025-09-29 00:00:00,,2025-09-29 00:00:00,,,,F000001107,K7215:SL1:1,78-405A340        2810,K7215,,,1,2021-02-12 08:00:00,,2021-02-22 09:54:00,244440,,,,"M,BL,0",,,,,,,,,,,,,N,0,0,1,0,1,BL,1,,SL1,,2021/02/12 08:00:00,2021/02/22 09:54:00,244440,,,,,,,
106,DK,K7216,OD6B-M-7ES,34.0,28,78-405A340,1,25100,20250926,2025-09-26 00:00:00,D405,2510,5,78,K7216,2025-09-19 00:00:00,,2025-09-19 00:00:00,,2025-09-22 00:00:00,,,,2025-09-24 00:00:00,,2025-09-25 00:00:00,,2025-09-25 00:00:00,,,,F000001108,K7216:SL1:1,78-405A340        2810,K7216,,,1,2021-02-12 08:00:00,,2021-02-22 09:54:00,244440,,,,"M,BL,0",,,,,,,,,,,,,N,0,0,1,0,1,BL,1,,SL1,,2021/02/12 08:00:00,2021/02/22 09:54:00,244440,,,,,,,
107,DK,K7216,OD6B-M-7ES,34.0,28,478-409AA340,1,25100,20250926,2025-09-26 00:00:00,D409,2510,5,478,K7216,2025-09-19 00:00:00,,2025-09-19 00:00:00,,2025-09-22 00:00:00,,,,2025-09-24 00:00:00,,2025-09-25 00:00:00,,2025-09-25 00:00:00,,,,F000001109,K7216:SL1:1,78-405A340        2810,K7216,,,1,2021-02-12 08:00:00,,2021-02-22 09:54:00,244440,,,,"M,BL,0",,,,,,,,,,,,,N,0,0,1,0,1,BL,1,,SL1,,2021/02/12 08:00:00,2021/02/22 09:54:00,244440,,,,,,,
