完成部番,前工程1,前工程2,前工程3,前工程4,前工程5,前工程6,前工程7,前工程8,前工程9,前工程10
00-1073D,PL-00-1073D,MA-00-1073D,,,,,,,,
00-1143AA300,MA-00-1143AA300,,,,,,,,,
00-1143AA303,MA-00-1143AA303,,,,,,,,,
00-1143AA306,MA-00-1143AA306,,,,,,,,,
00-1153AA,PL-00-1153AA,MA-00-1153AA,,,,,,,,
00-1157AA,MC-00-1157AA,MA-00-1157AA,,,,,,,,
00-1160AA,MC-00-1160AA,MA-00-1160AA,,,,,,,,
00-757B,PA-00-757B,MA-00-757B,,,,,,,,
00-757C,PA-00-757C,MA-00-757C,,,,,,,,
00-757D,PA-00-757D,,,,,,,,,
00-757E,PA-00-757E,MA-00-757E,,,,,,,,
00-757FA,PA-00-757FA,MA-00-757FA,,,,,,,,
00-757GA,PA-00-757GA,,,,,,,,,
00-771D,MA-00-771D,,,,,,,,,
00-918BA,FPP-16-002AA,,,,,,,,,
00-918CA,FPP-16-002BA,,,,,,,,,
0105-12A01AA48,PA-0105-12A01AA48,MA-0105-12A01AA48,,,,,,,,
0105-12A01AA56,PA-0105-12A01AA56,MA-0105-12A01AA56,,,,,,,,
0105-12A01AB48,PA-0105-12A01AB48,MA-0105-12A01AB48,,,,,,,,
0105-12A01AB56,PA-0105-12A01AB56,MA-0105-12A01AB56,,,,,,,,
0105-12A01AC48,PA-0105-12A01AC48,MA-0105-12A01AC48,,,,,,,,
0105-12A01BA48,PA-0105-12A01BA48,MA-0105-12A01BA48,,,,,,,,
0105-12A01CC48,PA-0105-12A01CC48,MA-0105-12A01CC48,,,,,,,,
0105-12A01DA56,PA-0105-12A01DA56,MA-0105-12A01DA56,,,,,,,,
0105-12A01DB48,PA-0105-12A01DB48,MA-0105-12A01DB48,,,,,,,,
0105-12A01DC48,PA-0105-12A01DC48,MA-0105-12A01DC48,,,,,,,,
0105-12A03GA56,PA-0105-12A03GA56,MA-0105-12A03GA56,,,,,,,,
0106-12A01CA20,PA-0106-12A01CA20,MA-0106-12A01CA20,,,,,,,,
01-702AA,PL-01-702AA,MA-01-702AA,,,,,,,,
01-702AB,PL-01-702AB,MA-01-702AB,,,,,,,,
01-707AA,PL-01-707AA,MA-01-707AA,,,,,,,,
100-105-3-120,100-105-3,,,,,,,,,
100-105-3-160,100-105-3,,,,,,,,,
100-105-3-220,100-105-3,,,,,,,,,
100-105-4ASB,PA-100-105-4ASB,MA-100-105-4ASB,,,,,,,,
100-105-4DC,WE-100-105-4DC,MA-100-105-4DC,,,,,,,,
100-105-4EBS,WE-100-105-4EBS,MA-100-105-4EBS,,,,,,,,
100-105AP30,PA-100-105AP30,MA-100-105AP30,,,,,,,,
100-105BA26,PA-100-105BA26,MA-100-105BA26,,,,,,,,
100-105BA30,PA-100-105BA30,MA-100-105BA30,,,,,,,,
100-105BA38,PA-100-105BA38,MA-100-105BA38,,,,,,,,
100-105BAP30,PA-100-105BAP30,MA-100-105BAP30,,,,,,,,
100-105BB26,PA-100-105BB26,MA-100-105BB26,,,,,,,,
100-105BB30,PA-100-105BB30,MA-100-105BB30,,,,,,,,
100-105BB38,PA-100-105BB38,MA-100-105BB38,,,,,,,,
100-105BBP30,PA-100-105BBP30,MA-100-105BBP30,,,,,,,,
100-105CP30,PA-100-105CP30,MA-100-105CP30,,,,,,,,
100-110C,PA-100-110C,MA-100-110C,,,,,,,,
100-12A01DA30,PA-100-12A01DA30,MA-100-12A01DA30,,,,,,,,
100-201B0800,AO-100-201B0800,L-100-201B0800,MA-165-201-202CA1531,,,,,,,
100-201B0930,AO-100-201B0930,L-100-201B0930,MA-165-201-202CA1531,,,,,,,
100-201B1150,AO-100-201B1150,L-100-201B1150,MA-165-202AA1333,,,,,,,
100-201B1333,AO-100-201B1333,L-100-201B1333,MA-165-202AA1531,,,,,,,
100-201C1081,AO-100-201C1081,L-100-201C1081,MA-165-202AA1333,,,,,,,
100-201C1150,AO-100-201C1150,L-100-201C1150,MA-165-202AA1333,,,,,,,
100-201C1240,AO-100-201C1240,L-100-201C1240,MA-165-202AA1333,,,,,,,
100-201C1333,AO-100-201C1333,L-100-201C1333,MA-165-202AA1333,,,,,,,
100-201E0290,AO-100-201E0290,L-100-201E0290,,,,,,,,
100-201E1150,AO-100-201E1150,L-100-201E1150,MA-165-202AA1333,,,,,,,
100-201F1081,AO-100-201F1081,L-100-201F1081,MA-165-202AA1333,,,,,,,
100-201F1150,AO-100-201F1150,L-100-201F1150,MA-165-202AA1333,,,,,,,
100-201F1240,AO-100-201F1240,L-100-201F1240,MA-165-202AA1333,,,,,,,
100-201F1333,AO-100-201F1333,L-100-201F1333,MA-165-202AA1531,,,,,,,
100-201F1411,AO-100-201F1411,L-100-201F1411,MA-165-202AA1531,,,,,,,
100-201JA1333T,AO-100-201JA1333T,L-100-201JA1333T,MA-165-201202CA1150-1333T,,,,,,,
100-202A0800,AO-100-202A0800,L-100-202A0800,MA-165-201202CA1150-1333T,,,,,,,
100-202A0930,AO-100-202A0930,L-100-202A0930,MA-165-201202CA1150-1333T,,,,,,,
100-202A1081,AO-100-202A1081,L-100-202A1081,MA-165-201202CA1081-1081T,,,,,,,
100-202A1150,AO-100-202A1150,L-100-202A1150,MA-165-201202CA1150-1333T,,,,,,,
100-202A1150S,AO-100-202A1150S,L-100-202A1150S,MA-100-202A1150S,,,,,,,
100-202A1240,AO-100-202A1240,L-100-202A1240,MA-165-201202CA1333-1531T,,,,,,,
100-202A1240S,AO-100-202A1240S,L-100-202A1240S,MA-165-201202CA1150-1333T,,,,,,,
100-202A1333,AO-100-202A1333,L-100-202A1333,MA-165-201202CA1333-1531T,,,,,,,
100-202AB1240S,AO-100-202AB1240S,L-100-202AB1240S,MA-165-201202CA1150-1333T,,,,,,,
100-202B0800,AO-100-202B0800,L-100-202B0800,MA-165-201-202CA1531,,,,,,,
100-202B0930,AO-100-202B0930,L-100-202B0930,MA-165-201-202CA1531,,,,,,,
100-202B1081,AO-100-202B1081,L-100-202B1081,MA-165-202AA1333,,,,,,,
100-202B1150,AO-100-202B1150,L-100-202B1150,MA-165-202AA1333,,,,,,,
100-202B1240,AO-100-202B1240,L-100-202B1240,MA-165-202AA1333,,,,,,,
100-202B1333,AO-100-202B1333,L-100-202B1333,MA-165-202AA1531,,,,,,,
100-202E1150,AO-100-202E1150,L-100-202E1150,MA-165-201202CA1150-1333T,,,,,,,
100-202EB1081,AO-100-202EB1081,L-100-202EB1081,MA-165-201202CA1150-1333T,,,,,,,
100-202EB1150,AO-100-202EB1150,L-100-202EB1150,MA-165-201202CA1150-1333T,,,,,,,
100-202EB1240,AO-100-202EB1240,L-100-202EB1240,MA-165-201202CA1333-1531T,,,,,,,
100-202EB1240S,AO-100-202EB1240S,L-100-202EB1240S,MA-165-201202CA1150-1333T,,,,,,,
100-202EB1333,AO-100-202EB1333,L-100-202EB1333,MA-165-201202CA1333-1531T,,,,,,,
100-202EB1333T,AO-100-202EB1333T,L-100-202EB1333T,MA-165-201202CA1150-1333T,,,,,,,
100-202EB1411,AO-100-202EB1411,L-100-202EB1411,MA-165-201202CA1333-1531T,,,,,,,
100-202EC0290,AO-100-202EC0290,L-100-202EC0290,,,,,,,,
100-202F0290,AO-100-202F0290,L-100-202F0290,,,,,,,,
100-202F1081,AO-100-202F1081,L-100-202F1081,MA-165-202AA1333,,,,,,,
100-202F1150,AO-100-202F1150,L-100-202F1150,MA-165-202AA1333,,,,,,,
100-202F1240,AO-100-202F1240,L-100-202F1240,MA-165-202AA1333,,,,,,,
100-202F1333,AO-100-202F1333,L-100-202F1333,MA-165-202AA1531,,,,,,,
100-202F1411,AO-100-202F1411,L-100-202F1411,MA-165-202AA1531,,,,,,,
100-204AA,MC-100-204AA,MA-100-204AA,,,,,,,,
100-204BA,PA-100-204BA,MC-100-204BA,MA-100-204BA,,,,,,,
100-205AA,MC-100-205AA,MA-100-205AA,,,,,,,,
100-205BA,PA-100-205BA,MC-100-205BA,MA-100-205BA,,,,,,,
100-205FA,PA-100-205FA,MC-100-205FA,MA-100-205FA,,,,,,,
100-206C1333,L-100-206C1333,MA-100-206C,,,,,,,,
100-206D1150,L-100-206D1150,MA-165-256BA1531,,,,,,,,
100-208-AA0490,PL-100-208-AA0490,MA-100-208-AA0490,,,,,,,,
100-208-AA0700,PL-100-208-AA0700,MA-100-208-AA0700,,,,,,,,
100-208-AA0800,PL-100-208-AA0800,MA-100-208-AA0800,,,,,,,,
100-208-AA0930,PL-100-208-AA0930,MA-100-208-AA0930,,,,,,,,
100-208-AA1081,PL-100-208-AA1081,MA-100-208-AA1081,,,,,,,,
100-208-AA1150,PL-100-208-AA1150,MA-100-208-AA1150,,,,,,,,
100-208-AA1240,PL-100-208-AA1240,MA-100-208-AA1240,,,,,,,,
100-208-AA1333,PL-100-208-AA1333,MA-100-208-AA1333,,,,,,,,
100-208-AA1531,PL-100-208-AA1531,MA-100-208-AA1531,,,,,,,,
100-208-AA1680,PL-100-208-AA1680,MA-100-208-AA1680,,,,,,,,
100-208-AA2200,PL-100-208-AA2200,MA-100-208-AA2200,,,,,,,,
100-208-AA2300,PL-100-208-AA2300,MA-100-208-AA2300,,,,,,,,
100-208-AA2350,PL-100-208-AA2350,MA-100-208-AA2350,,,,,,,,
100-208-AA2500,PL-100-208-AA2500,MA-100-208-AA2500,,,,,,,,
100-208-AA2650,PL-100-208-AA2650,MA-100-208-AA2650,,,,,,,,
100-210C,MA-100-210C,,,,,,,,,
100-210CS,MA-100-210C,,,,,,,,,
100-211B,MA-100-211B,,,,,,,,,
100-213,MA-100-213,,,,,,,,,
100-213CA,MA-100-213CA,,,,,,,,,
100-220QA1150,AO-100-220QA1150,MA-100-220QA-QB1240,,,,,,,,
100-220QA1240,AO-100-220QA1240,MA-100-220QA-QB1240,,,,,,,,
100-220QB1150,AO-100-220QB1150,MA-100-220QA-QB1240,,,,,,,,
100-220QB1240,AO-100-220QB1240,MA-100-220QA-QB1240,,,,,,,,
100-220TA0700,AO-100-220TA0700,MA-100-220TA0700,,,,,,,,
100-220TB0700,AO-100-220TB0700,MA-100-220TA0700,,,,,,,,
100-226,PA-100-226,L2-100-226,MA-100-226,,,,,,,
100-226BA,PA-100-226BA,L2-100-226BA,MA-100-226,,,,,,,
100-226BB,PA-100-226BB,L2-100-226BB,MA-100-226,,,,,,,
100-226CA,SS400-100X400X36.7,,,,,,,,,
100-226DA,L-100-226DA,MA-100-226DA,,,,,,,,
100-228CA1333,PA-100-228CA1333,MA-100-228CA1333,,,,,,,,
100-229,PA-100-229,MA-100-229,,,,,,,,
100-229CA,PA-100-229CA,MA-100-229CA,,,,,,,,
100-236AB,TH-100-236AB,MA-100-236AB,,,,,,,,
100-241EA,PA-100-241EA,MA-100-241EA,,,,,,,,
100-241JA,PA-100-241JA,MA-100-241JA,,,,,,,,
100-249,MA-100-249,,,,,,,,,
100-261CA1333,MA-100-261CA1333,,,,,,,,,
100-270EA0490-1,L-100-270EA0490-1,,,,,,,,,
100-270EA0700-1,L-100-270EA0700-1,,,,,,,,,
100-270EA0800-1,L-100-270EA0800-1,,,,,,,,,
100-270EA0930-1,L-100-270EA0930-1,,,,,,,,,
100-270EA1081-1,L-100-270EA1081-1,,,,,,,,,
100-270EA1150-1,L-100-270EA1150-1,,,,,,,,,
100-270EA1240-1,L-100-270EA1240-1,,,,,,,,,
100-270EA1333-1,L-100-270EA1333-1,,,,,,,,,
100-270EA1411-1,L-100-270EA1411-1,,,,,,,,,
100-270EA1531-1,L-100-270EA1531-1,,,,,,,,,
100-270EA1587-1,L-100-270EA1587-1,,,,,,,,,
100-270EA1680-1,L-100-270EA1680-1,,,,,,,,,
100-271EA,PL-100-271EA,L-100-271EA,,,,,,,,
100-271LA,PA-100-271LA,MA-100-271LA,,,,,,,,
100-272,MA-100-272,,,,,,,,,
100-272DA,MA-100-272DA,,,,,,,,,
100-276B,L-100-276B,MA-100-276B,,,,,,,,
100-303AA071288N,PA-100-303AA071288N,MA-100-303AA071288N,,,,,,,,
100-303AA080288N,PA-100-303AA080288N,MA-100-303AA080288N,,,,,,,,
100-303AA0803810N,PA-100-303AA0803810N,MA-100-303AA0803810N,,,,,,,,
100-303AA090288N,PA-100-303AA090288N,MA-100-303AA090288N,,,,,,,,
100-303AA0903810N,PA-100-303AA0903810N,MA-100-303AA0903810N,,,,,,,,
100-303AA100288N,PA-100-303AA100288N,MA-100-303AA100288N,,,,,,,,
100-303AA1003810N,PA-100-303AA1003810N,MA-100-303AA1003810N,,,,,,,,
100-303AA112288N,PA-100-303AA112288N,MA-100-303AA112288N,,,,,,,,
100-303AA1253810N,PA-100-303AA1253810N,MA-100-303AA1253810N,,,,,,,,
100-303AA1403810N,PA-100-303AA1403810N,MA-100-303AA1403810N,,,,,,,,
100-304-200,PA-100-304-200,MA-100-304-200,,,,,,,,
100-304-230,PA-100-304-230,MA-100-304-230,,,,,,,,
100-304-240,MA-100-304-240,,,,,,,,,
100-304-270,MA-100-304-270,,,,,,,,,
100-304-280,MA-100-304-280,,,,,,,,,
100-306,MA-100-306,,,,,,,,,
100-444JB,PA-100-444JB,MC-100-444JB,MA-100-444JA,,,,,,,
100-444LA,PA-100-444LA,MC-100-444LA,MA-100-444LA,,,,,,,
100-444SA,PA-100-444SA,MA-100-444SA,,,,,,,,
100-454AC,PL-100-454AC,MA-100-454AC,,,,,,,,
100-454AF,PL-100-454AF,MA-100-454AF,,,,,,,,
100-609GA,PA-100-609GA,,,,,,,,,
100-609JB3,PA-100-609JB3,MA-100-609JB3,,,,,,,,
100-609KB3,PA-100-609KB3,MA-100-609KB3,,,,,,,,
100-609W,PA-100-609W,MA-100-609W,,,,,,,,
100-702B,PL-100-702B,MA-100-702B,,,,,,,,
100-702BB,PL-100-702BB,MA-100-702BB,,,,,,,,
100-702BC,PL-100-702BC,MA-100-702BC,,,,,,,,
100-704AA26,PA-100-704AA26,MA-100-704AA26,,,,,,,,
100-704AA26Y,PA-100-704AA26Y,MA-100-704AA26Y,,,,,,,,
100-704AA30,PA-100-704AA30,MA-100-704AA30,,,,,,,,
100-704AA30P,PA-100-704AA30P,MA-100-704AA30P,,,,,,,,
100-704AA30Y,PA-100-704AA30Y,MA-100-704AA30Y,,,,,,,,
100-704AA38,PA-100-704AA38,MA-100-704AA38,,,,,,,,
101-105-3ZCA,PL-101-105-3ZCA,MA-101-105-3ZCA,,,,,,,,
101-105-5ZAA,PL-101-105-5ZAA,MA-101-105-5ZAA,,,,,,,,
101-116C,MA-101-116C,,,,,,,,,
1031-12A01AA38,PA-1031-12A01AA38,MA-1031-12A01AA38,,,,,,,,
1031-12A01CA38,PA-1031-12A01CA38,MA-1031-12A01CA38,,,,,,,,
103-304-270,MA-103-304-270,,,,,,,,,
103-453,PA-103-453,MA-103-453,,,,,,,,
103-482,PL-103-482,,,,,,,,,
1035-12A01AA30,PA-1035-12A01AA30,MA-1035-12A01AA30,,,,,,,,
1035-12A01BA30,PA-1035-12A01BA30,MA-1035-12A01BA30,,,,,,,,
1035-12A01CA30,PA-1035-12A01CA30,MA-1035-12A01CA30,,,,,,,,
1035-12A02AA30,PA-1035-12A02AA30,MA-1035-12A02AA30,,,,,,,,
1044-439AB,MC-1044-439AB,MA-1044-439AB,,,,,,,,
1044-442AA,MC-1044-442AA,MA-1044-442AA,,,,,,,,
1044-449AC,PA-1044-449AC,MA-1044-449AC,,,,,,,,
1045-307AA,PA-1045-307AA,MA-1045-307AA,,,,,,,,
1045-432AA,PL-1045-432AA,MA-1045-432AA,,,,,,,,
1045-437AA,PL-1045-437AA,MA-1045-437AA,,,,,,,,
1045-453AA,PA-1045-453AA,MA-1045-453AA,,,,,,,,
1045-455AA,PL-1045-455AA,MA-1045-455AA,,,,,,,,
