工程,rBOM更新者,印刷区分,状態,rBOM納期,rBOM発注番号（必須）,行番号,発注番号,発注担当者,更新者,取引先コード,品目番号,発注数,単価,発注納期,発注伝票発行日,受入場所,備品発注品目名,備品発注製品区分,会社コード,工場コード,発注着手日,備品発注単位,単価区分,加工費,材料費,その他経費,値引金額,発注金額,発注発生処理区分,発注指示日,発注伝票発行済みフラグ,受入完了日,発注状態区分,検査完了フラグ,検査完了日,回答納期,回答納期備考,受給品区分,発注時受入検査区分,在庫管理フラグ,作業計画番号,仕掛作業コード,オーダデマンド番号,発注備考,注文番号,明細番号,レート判定日,為替レート,税率1,税率2,税率3,本体金額,税額1,税額2,税額3,税込金額,邦貨金額,消費税コード,税端数区分,備品発注フラグ,ＥＤＩデータ出力済フラグ,ＥＤＩデータ出力日,ＥＤＩデータ取消出力日,ＦＡＸデータ出力済フラグ,ＦＡＸデータ出力日,ＭＡＩＬデータ出力済フラグ,ＭＡＩＬデータ出力日,注文取消伝票発行フラグ,取消伝票発行日,取消理由コード,作成日,作成者,作成プログラム名,更新日,更新プログラム名,更新数,オーダ数,発注種別,部品注文番号（備考）,勘定科目,初回品フラグ,初回品チェックフラグ,図面バージョン,予算部門,再作成フラグ,Unnamed: 86,rBOM担当者,rBOM取引先,rBOM品目CD,rBOM発注数,rBOM単価,H列_発注番号,PONO,LINENO,SEINO,HMCD,HMNM,DRVDT,THQTY,CSBCD,NOTE,発注番号_抽出
,PFW-1320,発行済,承認済,2026-01-21T00:00:00,000060402,1.0,E9050720,L,osawa,3724,YD65-15102AA,100.0,315.0,2026-01-21,2025-12-15,11,,0.0,0.0,E,2025-12-12,,2.0,0.0,0.0,0.0,0.0,31500,9.0,2025-12-15,1.0,,2.0,0.0,,,,0.0,1.0,1.0,,,E00000000000003311614584,,,0,2026-01-21,1.0,0.0,0.0,0.0,31500.0,0.0,0.0,0.0,31500.0,31500.0,210.0,1.0,0.0,0.0,,,0.0,,0.0,,0.0,,,2025-12-13 08:57:20,sysad,SqlOdRelease,2025-12-15 13:29:08,UZ9020010,2.0,100.0,1.0,,12.0,0.0,0.0,,,0.0,,L,3724.0,YD65-15102AA,100.0,315.0,E9050720,000060402,1,ZAIKOSEIBAN,YD65-15102AA,HOLDER,2026-01-21T00:00:00,100.0,12,E9050720,E9050720
,PFW-1320,発行済,承認済,2026-02-12T00:00:00,000060403,1.0,E9050512,L,osawa,3633,SPL-2697HA,100.0,694.0,2026-02-12,2025-12-15,1,,0.0,0.0,E,2026-01-08,,2.0,0.0,0.0,0.0,0.0,69400,9.0,2025-12-15,1.0,,2.0,0.0,,,,0.0,1.0,1.0,,,E00000000000003311614389,,,0,2026-02-12,1.0,0.0,0.0,0.0,69400.0,0.0,0.0,0.0,69400.0,69400.0,210.0,1.0,0.0,0.0,,,0.0,,0.0,,0.0,,,2025-12-13 08:57:19,sysad,SqlOdRelease,2025-12-15 12:43:09,UZ9020010,2.0,100.0,1.0,,12.0,0.0,0.0,,,0.0,,L,3633.0,SPL-2697HA,100.0,694.0,E9050512,000060403,1,ZAIKOSEIBAN,SPL-2697HA,BLOCK A,2026-02-12T00:00:00,100.0,12,E9050512,E9050512
,PFW-1320,発行済,承認済,2026-01-26T00:00:00,000060404,1.0,E9050513,L,osawa,3633,SPL-2697JA,100.0,676.0,2026-01-26,2025-12-15,1,,0.0,0.0,E,2025-12-16,,2.0,0.0,0.0,0.0,0.0,67600,9.0,2025-12-15,1.0,,2.0,0.0,,,,0.0,1.0,1.0,,,E00000000000003311614390,,,0,2026-01-26,1.0,0.0,0.0,0.0,67600.0,0.0,0.0,0.0,67600.0,67600.0,210.0,1.0,0.0,0.0,,,0.0,,0.0,,0.0,,,2025-12-13 08:57:19,sysad,SqlOdRelease,2025-12-15 12:43:09,UZ9020010,2.0,100.0,1.0,,12.0,0.0,0.0,,,0.0,,L,3633.0,SPL-2697JA,100.0,676.0,E9050513,000060404,1,ZAIKOSEIBAN,SPL-2697JA,BLOCK B,2026-01-26T00:00:00,100.0,12,E9050513,E9050513
,PFW-1320,発行済,承認済,2026-03-02T00:00:00,000060405,1.0,E9050514,G,yokoyama,2970,SPL-2718BA,2.0,1516.0,2026-03-02,2025-12-15,32,,0.0,0.0,E,2026-01-29,,2.0,0.0,0.0,0.0,0.0,3032,9.0,2025-12-15,1.0,,2.0,0.0,,,,0.0,1.0,1.0,,,E00000000000003311614391,,,0,2026-03-02,1.0,10.0,0.0,0.0,3032.0,303.0,0.0,0.0,3335.0,3335.0,211.0,3.0,0.0,0.0,,,0.0,,0.0,,0.0,,,2025-12-13 08:57:19,sysad,SqlOdRelease,2025-12-15 15:53:08,UZ9020010,2.0,2.0,1.0,,12.0,0.0,0.0,,,0.0,,G,2970.0,SPL-2718BA,2.0,1516.0,E9050514,000060405,1,ZAIKOSEIBAN,SPL-2718BA,HOLDER,2026-03-02T00:00:00,2.0,12,E9050514,E9050514
,PFW-1320,発行済,承認済,2026-03-02T00:00:00,000060406,1.0,E9050515,G,yokoyama,2970,SPL-2718CA,2.0,820.0,2026-03-02,2025-12-15,32,,0.0,0.0,E,2026-01-29,,2.0,0.0,0.0,0.0,0.0,1640,9.0,2025-12-15,1.0,,2.0,0.0,,,,0.0,1.0,1.0,,,E00000000000003311614392,,,0,2026-03-02,1.0,10.0,0.0,0.0,1640.0,164.0,0.0,0.0,1804.0,1804.0,211.0,3.0,0.0,0.0,,,0.0,,0.0,,0.0,,,2025-12-13 08:57:19,sysad,SqlOdRelease,2025-12-15 15:53:08,UZ9020010,2.0,2.0,1.0,,12.0,0.0,0.0,,,0.0,,G,2970.0,SPL-2718CA,2.0,820.0,E9050515,000060406,1,ZAIKOSEIBAN,SPL-2718CA,BASE,2026-03-02T00:00:00,2.0,12,E9050515,E9050515
,PFW-1320,発行済,承認済,2026-03-02T00:00:00,000060407,1.0,E9050516,G,yokoyama,2970,SPL-2718DA,2.0,1869.0,2026-03-02,2025-12-15,32,,0.0,0.0,E,2026-01-29,,2.0,0.0,0.0,0.0,0.0,3738,9.0,2025-12-15,1.0,,2.0,0.0,,,,0.0,1.0,1.0,,,E00000000000003311614393,,,0,2026-03-02,1.0,10.0,0.0,0.0,3738.0,373.0,0.0,0.0,4111.0,4111.0,211.0,3.0,0.0,0.0,,,0.0,,0.0,,0.0,,,2025-12-13 08:57:19,sysad,SqlOdRelease,2025-12-15 15:53:08,UZ9020010,2.0,2.0,1.0,,12.0,0.0,0.0,,,0.0,,G,2970.0,SPL-2718DA,2.0,1869.0,E9050516,000060407,1,ZAIKOSEIBAN,SPL-2718DA,BASE,2026-03-02T00:00:00,2.0,12,E9050516,E9050516
,PFW-1320,発行済,承認済,2026-02-02T00:00:00,000060408,1.0,E9050517,W,kuriyama,3724,SPL-2718EB,50.0,910.0,2026-02-02,2025-12-15,32,,0.0,0.0,E,2026-01-29,,2.0,0.0,0.0,0.0,0.0,45500,9.0,2025-12-15,1.0,,2.0,0.0,,,,0.0,1.0,1.0,,,E00000000000003311614394,,,0,2026-02-02,1.0,0.0,0.0,0.0,45500.0,0.0,0.0,0.0,45500.0,45500.0,210.0,3.0,0.0,0.0,,,0.0,,0.0,,0.0,,,2025-12-13 08:57:19,sysad,SqlOdRelease,2025-12-15 12:07:51,UZ9020010,3.0,50.0,1.0,,12.0,0.0,0.0,,,0.0,,W,3724.0,SPL-2718EB,50.0,910.0,E9050517,000060408,1,ZAIKOSEIBAN,SPL-2718EB,SUPPORT,2026-02-02T00:00:00,50.0,12,E9050517,E9050517
,PFW-1320,発行済,承認済,2026-02-13T00:00:00,000060409,1.0,E9050518,G,yokoyama,3633,SPL-2730AA,34.0,535.0,2026-02-13,2025-12-16,32,,0.0,0.0,E,2026-01-15,,2.0,0.0,0.0,0.0,0.0,18190,9.0,2025-12-16,1.0,,2.0,0.0,,,,0.0,1.0,1.0,,,E00000000000003311614395,,,0,2026-02-13,1.0,0.0,0.0,0.0,18190.0,0.0,0.0,0.0,18190.0,18190.0,210.0,1.0,0.0,0.0,,,0.0,,0.0,,0.0,,,2025-12-13 08:57:19,sysad,SqlOdRelease,2025-12-16 11:09:17,UZ9020010,2.0,34.0,1.0,,12.0,0.0,0.0,,,0.0,,G,3633.0,SPL-2730AA,34.0,535.0,E9050518,000060409,1,ZAIKOSEIBAN,SPL-2730AA,CHAIN COVER,2026-02-13T00:00:00,34.0,12,E9050518,E9050518
,PFW-1320,発行済,承認済,2026-02-17T00:00:00,000060410,1.0,E9050792,V,kusuhara,3072,323720CE24C3WR,750.0,35.0,2026-02-17,2025-12-15,5,,0.0,0.0,E,2025-12-15,,2.0,0.0,0.0,0.0,0.0,26250,2.0,2025-12-15,1.0,,2.0,0.0,,,,0.0,1.0,1.0,,,E00000000000003311614784,,,0,2026-02-17,1.0,10.0,0.0,0.0,26250.0,2625.0,0.0,0.0,28875.0,28875.0,211.0,3.0,0.0,0.0,,,0.0,,0.0,,0.0,,,2025-12-15 13:28:53,kusuhara,AE0010010,2025-12-15 14:10:30,UZ9020010,2.0,0.0,1.0,(3/2)26SKC104,12.0,0.0,0.0,,,0.0,,V,3072.0,323720CE24C3WR,750.0,35.0,E9050792,000060410,1,ZAIKOSEIBAN,323720CE24C3WR,CYLINDER NEEDLE,2026-02-17T00:00:00,750.0,12,E9050792,E9050792
,PFW-1320,発行済,承認済,2026-02-13T00:00:00,000060411,1.0,E9050519,G,yokoyama,1592,SPL-2730BA,17.0,1342.0,2026-02-13,2025-12-15,32,,0.0,0.0,E,2026-01-15,,2.0,0.0,0.0,0.0,0.0,22814,9.0,2025-12-15,1.0,,2.0,0.0,,,,0.0,1.0,1.0,,,E00000000000003311614396,,,0,2026-02-13,1.0,10.0,0.0,0.0,22814.0,2281.0,0.0,0.0,25095.0,25095.0,211.0,3.0,0.0,0.0,,,0.0,,0.0,,0.0,,,2025-12-13 08:57:19,sysad,SqlOdRelease,2025-12-15 18:44:22,UZ9020010,2.0,17.0,1.0,,12.0,0.0,0.0,,,0.0,,G,1592.0,SPL-2730BA,17.0,1342.0,E9050519,000060411,1,ZAIKOSEIBAN,SPL-2730BA,CHAIN COVER,2026-02-13T00:00:00,17.0,12,E9050519,E9050519
,PFW-1320,発行済,承認済,2026-02-05T00:00:00,000060412,1.0,E9050522,L,yokoyama,3069,SPL-2747PA280,10.0,11300.0,2026-02-05,2025-12-15,1,,0.0,0.0,E,2026-01-07,,2.0,0.0,0.0,0.0,0.0,113000,9.0,2025-12-15,1.0,,2.0,0.0,,,,0.0,1.0,1.0,,,E00000000000003311614399,,,0,2026-02-05,1.0,10.0,0.0,0.0,113000.0,11300.0,0.0,0.0,124300.0,124300.0,211.0,3.0,0.0,0.0,,,0.0,,0.0,,0.0,,,2025-12-13 08:57:19,sysad,SqlOdRelease,2025-12-15 15:53:06,UZ9020010,2.0,10.0,1.0,,12.0,0.0,0.0,,,0.0,,L,3069.0,SPL-2747PA280,10.0,11300.0,E9050522,000060412,1,ZAIKOSEIBAN,SPL-2747PA280,GUIDE PIPE,2026-02-05T00:00:00,10.0,12,E9050522,E9050522
,PFW-1320,発行済,承認済,2026-03-10T00:00:00,000064654,1.0,E9050757,S,fujitat,1390,Z22BARIYACOVER7,1.0,6410.0,2026-03-10,2025-12-16,4,,0.0,0.0,E,2026-01-29,,2.0,0.0,0.0,0.0,0.0,6410,9.0,2025-12-16,1.0,,2.0,0.0,,,,0.0,1.0,1.0,,,E00000000000003311614613,,,0,2026-03-10,1.0,10.0,0.0,0.0,6410.0,641.0,0.0,0.0,7051.0,7051.0,211.0,3.0,0.0,0.0,,,0.0,,0.0,,0.0,,,2025-12-13 08:57:20,sysad,SqlOdRelease,2025-12-16 13:04:52,UZ9020010,2.0,1.0,1.0,,33.0,0.0,0.0,,,0.0,,S,1390.0,Z22BARIYACOVER7,1.0,6410.0,E9050757,000064654,1,ZAIKOSEIBAN,Z22BARIYACOVER7,BARRIER COVER(3450X2400X1600),2026-03-10T00:00:00,1.0,33,E9050757,E9050757
,PFW-1320,発行済,承認済,2026-02-13T00:00:00,000064655,1.0,E9050758,S,fujitat,1390,Z22BARIYACOVER8,8.0,5830.0,2026-02-13,2025-12-16,4,,0.0,0.0,E,2026-01-07,,2.0,0.0,0.0,0.0,0.0,46640,9.0,2025-12-16,1.0,,2.0,0.0,,,,0.0,1.0,1.0,,,E00000000000003311614614,,,0,2026-02-13,1.0,10.0,0.0,0.0,46640.0,4664.0,0.0,0.0,51304.0,51304.0,211.0,3.0,0.0,0.0,,,0.0,,0.0,,0.0,,,2025-12-13 08:57:20,sysad,SqlOdRelease,2025-12-16 13:04:52,UZ9020010,2.0,8.0,1.0,,33.0,0.0,0.0,,,0.0,,S,1390.0,Z22BARIYACOVER8,8.0,5830.0,E9050758,000064655,1,ZAIKOSEIBAN,Z22BARIYACOVER8,BARRIER COVER(2500X1940X2450),2026-02-13T00:00:00,8.0,33,E9050758,E9050758
