ç´ïÔäJénì˙,î≠çsì˙,ëgóßäJénì˙,ê∂éYåééü,ì`ï[ÇmÇè,â¡çHïîî‘,ïîïiñº,ïKóvêî,ñ¢à¯ìñç›å…êî,éËéùÇøç›å…êî,ìæà”êÊíçï∂î‘çÜ,èoå…çœêî
2026/02/02,2026/02/03,2026/01/19,2026021,E000098956,3106-511BB30,KK CAM,91,0,36,,91
2026/02/02,2026/02/03,2026/01/19,2026021,E000098957,3106-512BB30,KT CAM,16,0,8,,16
2026/02/02,2026/02/03,2026/01/19,2026021,E000099310,3106-513BB30,KW CAM,15,0,17,,15
2026/02/17,2026/02/03,2026/02/17,,E000099376,3106-513BB30,KW CAM,30,17,17,PJ-0641003,
2026/02/02,2026/02/03,2026/01/19,2026021,E000098958,3106-514BB30,TK CAM,15,0,10,,15
2026/02/02,2026/02/03,2026/01/19,2026021,E000098959,3106-517BB30,WK CAM,15,0,21,,15
2026/02/17,2026/02/03,2026/02/17,,E000099377,3106-517BB30,WK CAM,30,21,21,PJ-0641004,
2026/03/04,2026/02/03,2026/02/19,2026032,E000099423,3139-511AA34,KNIT CAM,217,97,97,,0
2026/03/04,2026/02/03,2026/02/19,2026032,E000099424,3139-515AA34,GATE CAM A,2,0,29,,2
2026/03/04,2026/02/03,2026/02/19,2026032,E000099425,3139-515BA34,GATE CAM B,2,0,14,,2
2026/03/04,2026/02/03,2026/02/19,2026032,E000099426,3139-611AA34,SINKER CAM,105,46,46,,0
2026/03/04,2026/02/03,2026/02/19,2026032,E000099427,3139-611BA34,SINKER CAM,4,0,3,,4
2026/02/26,2026/02/03,2026/02/10,2026028,E000099349,3139-612AA26,SINKER GATE CAM A,7,0,28,,7
2026/02/02,2026/02/03,2026/01/19,2026021,E000098961,3139-612AA30,SINKER GATE CAM A,2,0,4,,2
2026/02/06,2026/02/03,2026/02/06,,E000099093,3139-612AA30,SINKER GATE CAM A,1,1,4,PM-5167101,
2026/03/19,2026/02/03,2026/03/09,2026036,E000099758,3139-612AA30,SINKER GATE CAM A,4,3,3,,0
2026/03/25,2026/02/03,2026/03/12,2026037,E000099794,3139-612AA30,SINKER GATE CAM A,6,0,0,,0
2026/04/08,2026/02/03,2026/03/27,2026043,E000100343,3139-612AA30,SINKER GATE CAM A,3,0,0,,0
2026/02/04,2026/02/03,2026/01/21,2026022,E000099099,3139-612AA32,SINKER GATE CAM A,3,0,11,,3
2026/03/27,2026/02/03,2026/03/16,2026038,E000099802,3139-612AA32,SINKER GATE CAM A,3,0,11,,3
2026/02/17,2026/02/03,2026/02/02,2026025,E000099333,3139-612AA34,SINKER GATE CAM A,5,0,2,,5
2026/02/24,2026/02/03,2026/02/06,2026027,E000099341,3139-612AA34,SINKER GATE CAM A,4,0,2,,4
2026/03/04,2026/02/03,2026/02/19,2026032,E000099428,3139-612AA34,SINKER GATE CAM A,1,0,2,,1
2026/04/03,2026/02/03,2026/03/24,2026042,E000100223,3139-612AA34,SINKER GATE CAM A,3,2,2,,0
2026/04/15,2026/02/03,2026/04/03,2026045,E000100520,3139-612AA34,SINKER GATE CAM A,2,0,0,,0
2026/04/23,2026/02/03,2026/04/10,2026047,E000100528,3139-612AA34,SINKER GATE CAM A,2,0,0,,0
2026/03/12,2026/02/03,2026/02/27,2026034,E000099565,3139-612AA40,SINKER GATE CAM A,3,0,47,,3
2026/02/24,2026/02/03,2026/02/06,2026027,E000099254,3139-612AA42,SINKER GATE CAM A,1,0,4,,1
2026/02/26,2026/02/03,2026/02/10,2026028,E000099350,3139-612BA26,SINKER GATE CAM B,7,0,26,,7
2026/02/02,2026/02/03,2026/01/19,2026021,E000098962,3139-612BA30,SINKER GATE CAM B,2,0,1,,2
2026/02/06,2026/02/03,2026/02/06,,E000099094,3139-612BA30,SINKER GATE CAM B,1,1,1,PM-5167102,
2026/03/19,2026/02/03,2026/03/09,2026036,E000099759,3139-612BA30,SINKER GATE CAM B,4,0,1,,4
2026/03/25,2026/02/03,2026/03/12,2026037,E000099795,3139-612BA30,SINKER GATE CAM B,6,0,1,,6
2026/04/08,2026/02/03,2026/03/27,2026043,E000100344,3139-612BA30,SINKER GATE CAM B,3,1,1,,0
2026/02/04,2026/02/03,2026/01/21,2026022,E000099100,3139-612BA32,SINKER GATE CAM B,3,0,10,,3
2026/03/27,2026/02/03,2026/03/16,2026038,E000099803,3139-612BA32,SINKER GATE CAM B,3,0,10,,3
2026/02/17,2026/02/03,2026/02/02,2026025,E000099334,3139-612BA34,SINKER GATE CAM B,5,0,5,,5
2026/02/24,2026/02/03,2026/02/06,2026027,E000099342,3139-612BA34,SINKER GATE CAM B,4,0,5,,4
2026/03/04,2026/02/03,2026/02/19,2026032,E000099429,3139-612BA34,SINKER GATE CAM B,1,0,5,,1
2026/04/03,2026/02/03,2026/03/24,2026042,E000100224,3139-612BA34,SINKER GATE CAM B,3,3,5,,0
2026/04/15,2026/02/03,2026/04/03,2026045,E000100521,3139-612BA34,SINKER GATE CAM B,2,2,2,,0
2026/04/23,2026/02/03,2026/04/10,2026047,E000100529,3139-612BA34,SINKER GATE CAM B,2,0,0,,0
2026/03/12,2026/02/03,2026/02/27,2026034,E000099566,3139-612BA40,SINKER GATE CAM B,3,0,47,,3
2026/02/24,2026/02/03,2026/02/06,2026027,E000099255,3139-612BA42,SINKER GATE CAM B,1,0,5,,1
2026/04/23,2026/02/03,2026/04/23,202604,E000100324,3144-511AA30,KNIT CAM,361,37,37,,
2026/04/23,2026/02/03,2026/04/23,202604,E000100325,3144-515AA38,GATE CAM,4,4,4,,
2026/04/23,2026/02/03,2026/04/23,202604,E000100326,3144-611AA30,SINKER CAM,87,26,26,,
2026/04/23,2026/02/03,2026/04/23,202604,E000100327,3144-611BA30,SINKER CAM,4,4,44,,
2026/04/23,2026/02/03,2026/04/23,202604,E000100328,3144-612AA30,SINKER GATE CAM,1,1,2,,
2026/03/04,2026/02/03,2026/03/04,,E000099366,3145-531AA30,KK CAM,300,28,28,PF-9389702,
2026/03/10,2026/02/03,2026/03/10,,E000099827,3145-533AA30,WW CAM,48,18,18,PJ-0641901,
2026/02/26,2026/02/03,2026/02/26,,E000099364,3145-612CA30,SINKER GATE CAM A,1,0,0,PJ-0638702,
2026/02/26,2026/02/03,2026/02/26,,E000099365,3145-612DA30,SINKER GATE CAM B,1,0,0,PJ-0638703,
2026/02/02,2026/02/03,2026/01/19,2026021,E000098963,3147-522AA30,GATE WW CAM,1,0,2,,1
2026/02/25,2026/02/03,2026/02/25,,E000099373,3153-511AA30,KK CAM,250,45,45,PM-5171602,
2026/03/19,2026/02/03,2026/03/09,2026036,E000099760,3153-511AA30,KK CAM,145,0,45,,145
2026/03/19,2026/02/03,2026/03/09,2026036,E000099761,3153-512AA30,KT CAM,48,44,44,,0
2026/03/19,2026/02/03,2026/03/09,2026036,E000099762,3153-512BA30,TK CAM,72,69,69,,0
2026/03/27,2026/02/03,2026/03/16,2026038,E000099804,3153-513AA26,TW CAM,84,24,24,,0
2026/04/27,2026/02/03,2026/04/14,2026048,E000100412,3153-513AA26,TW CAM,21,0,0,,0
2026/03/19,2026/02/03,2026/03/09,2026036,E000099763,3153-513AA30,TW CAM,24,0,96,,24
2026/03/27,2026/02/03,2026/03/16,2026038,E000099805,3153-513BA26,WT CAM,84,50,50,,0
2026/04/27,2026/02/03,2026/04/14,2026048,E000100413,3153-513BA26,WT CAM,21,0,0,,0
2026/03/19,2026/02/03,2026/03/09,2026036,E000099764,3153-513BA30,WT CAM,24,0,125,,24
2026/03/27,2026/02/03,2026/03/16,2026038,E000099806,3153-513CA26,WW CAM,84,13,13,,0
2026/04/27,2026/02/03,2026/04/14,2026048,E000100414,3153-513CA26,WW CAM,21,0,0,,0
2026/03/19,2026/02/03,2026/03/09,2026036,E000099765,3153-513CA30,WW CAM,24,0,98,,24
2026/03/27,2026/02/03,2026/03/16,2026038,E000099807,3153-515AA26,GATE CAM A,8,0,23,,8
2026/04/27,2026/02/03,2026/04/14,2026048,E000100415,3153-515AA26,GATE CAM A,2,2,23,,0
2026/03/19,2026/02/03,2026/03/09,2026036,E000099766,3153-515AA30,GATE CAM A,2,0,27,,2
2026/03/17,2026/02/03,2026/03/17,,E000100221,3153-515AA30,GATE CAM A,2,2,27,PE-2578801,
2026/03/27,2026/02/03,2026/03/16,2026038,E000099808,3153-515BA26,GATE CAM B,8,0,22,,8
2026/04/27,2026/02/03,2026/04/14,2026048,E000100416,3153-515BA26,GATE CAM B,2,2,22,,0
2026/03/19,2026/02/03,2026/03/09,2026036,E000099767,3153-515BA30,GATE CAM B,2,0,22,,2
2026/03/17,2026/02/03,2026/03/17,,E000100222,3153-515BA30,GATE CAM B,2,2,22,PE-2578802,
2026/03/27,2026/02/03,2026/03/16,2026038,E000099809,3153-561AA26,KK CAM,508,52,52,,0
2026/04/27,2026/02/03,2026/04/14,2026048,E000100417,3153-561AA26,KK CAM,127,0,0,,0
2026/03/27,2026/02/03,2026/03/16,2026038,E000099810,3153-562AA26,KT CAM,168,52,52,,0
