,完成部番,単位数分子1,単位数分母1,前工程1,単位数分子2,単位数分母2,前工程2,単位数分子3,単位数分母3,前工程3,単位数分子4,単位数分母4,前工程4,単位数分子5,単位数分母5,前工程5,単位数分子6,単位数分母6,前工程6,単位数分子7,単位数分母7,前工程7,単位数分子8,単位数分母8,前工程8,単位数分子9,単位数分母9,前工程9,単位数分子10,単位数分母10,前工程10,作成者,作成日,更新者,更新日,理由,,,,,,,,
I,5181-501AA18,1,1,L1-1751-501CA18,1,1,MA-1751-501AA18,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,出石,2020/10/5,,,新規部品対応,,,,,,,,
I,5529-502EA30,1,1,L1-5517-502AA30,1,1,MA-5517-502AA30,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,岩下,2022/3/10,,,,,,,,,,,
I,3153-502EC26,1,1,L1-3153-502AC26,1,1,MA-600-502AA26,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,岩下,2022/3/10,,,,,,,,,,,
I,3153-502FB26,1,1,PL-3153-502FB26,1,1,L1-3153-502AC26,1,1,MA-600-502AA26,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,岩下,2022/3/10,住元,2025/5/1,メッキ工程追加,,,,,,,,
I,3153-502JC26,1,1,PL-3153-502JC26,1,1,L1-3153-502AC26,1,1,MA-600-502AA26,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,岩下,2022/3/10,住元,2025/6/18,メッキ工程追加,,,,,,,,
I,3153-502EC28,1,1,L1-3153-502AC28,1,1,MA-600-502AA28,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,岩下,2022/3/10,,,,,,,,,,,
I,3153-502FB28,1,1,PL-3153-502FB28,1,1,L1-3153-502AC28,1,1,MA-600-502AA28,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,岩下,2022/3/10,,,メッキ工程追加,,,,,,,,
I,3153-502JC28,1,1,L1-3153-502AC28,1,1,MA-600-502AA28,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,岩下,2022/3/10,,,,,,,,,,,
I,3153-502KB28,1,1,L1-3153-502AC28,1,1,MA-600-502AA28,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,岩下,2022/3/10,,,,,,,,,,,
I,3153-502EC42,1,1,L1-3153-502AC42,1,1,MA-600-502AA42,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,岩下,2022/3/10,,,,,,,,,,,
I,3153-502JC42,1,1,L1-3153-502AC42,1,1,MA-600-502AA42,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,岩下,2022/3/10,,,,,,,,,,,
I,3153-502KB26,1,1,PL-3153-502KB26,1,1,L1-3153-502AC26,1,1,MA-600-502AA26,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,岩下,44630,岩下,20240216,メッキ工程追加,,,,,,,,
H,3557-409AA300,1,1,3557-409AA30-SR,1,1,L1-3557-409AA30-S,1,1,MA-3557-409AA30-S,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,栗山,2022/6/9,,,新規部品対応,,,,,,,,
I,3557-501AA30,1,1,LA-3557-501AA30-DF,1,1,L1-3557-501AA30,1,1,MA-171-501AA30,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,岩下,2022/6/9,,,新規部品対応,,,,,,,,
I,171-406RA30,1,1,LA-171-406RA30-MC,1,1,LA-171-406RA30-D,1,1,L1-171-406RA30,1,1,MA-171-406RA30,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,岩下,2022/6/14,,,新規部品対応,,,,,,,,
