H,defTopId,S1C0,S1C1,S1C2,S1C3,S1C4,S1C5,S1C6,S1C7,S1C8,S1C9,S1C13,S1C23,S1C33,S1C43,S1C53,S1C63,S1C73,S1C83,S1C93,S1C103,S1C113,S1C123,S1C133,S1C143,S1C153,S1C163,S1C173,S1C183,S1C193,S1C203,S1C213,S1C223,S1C233,S1C243,S1C253,S1C263,S1C273,S1C283,S1C293,S1C303,S1C313,S1C323,S1C333,S1C343,S1C353,S1C363,S1C373,S1C383,S1C393,S1C403,S1C413,S1C423,S1C433,S1C443,S1C453,S1C463,S1C473,S1C483,S1C493,S1C503,S1C513,S1C523,S1C533,S1C543,S1C553,S1C563,S1C573,S1C583,S1C593,S1C603,S1C613,S1C623,S1C633,S1C643,S1C653,S1C663,S1C673,S1C683,S1C693,S1C703,S1C713,S2C198,S2C199,S2C200
R,727,＜ﾉｰﾏﾙ Y無し用＞,2025,10,3,25DKK001,JAPAN　　　ミツカワ株式会社,M-8ME22,33,40,4128,【■シリンダー針】,7840CC15,,7840CD15,,【▼ ｼﾝｶｰ/ﾀﾞｲﾔﾙ針 】,7340DH12C5,,7340DL12C5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.35,DK
R,727,＜ﾉｰﾏﾙ Y無し用＞,2025,10,3,25DKK002,JAPAN　　　ミツカワ株式会社,M-8ME22,33,40,4128,【■シリンダー針】,7840CC15,,7840CD15,,【▼ ｼﾝｶｰ/ﾀﾞｲﾔﾙ針 】,7340DH12C5,,7340DL12C5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.35,DK
R,727,＜ﾉｰﾏﾙ Y無し用＞,2025,10,2,25DKK003,COLOMBIA　　　SARAXY S.A.S,M-9ME22,30,40,3792,【■シリンダー針】,7840CH015,,7840CL015,,【▼ ｼﾝｶｰ/ﾀﾞｲﾔﾙ針 】,7340DH012C2,,7340DL012C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.35,DK
R,727,＜ﾉｰﾏﾙ Y無し用＞,2025,10,2,25DKK004,VIET NAM　　　GLOBAL HANTEX,OD6B-M-8ERS,30,24,2256,【■シリンダー針】,21122CB022,,21122CC022,,【▼ ｼﾝｶｰ/ﾀﾞｲﾔﾙ針 】,47418DB71V,,47418DC71V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.35,DK
R,727,＜ﾉｰﾏﾙ Y無し用＞,2025,10,2,25DKK005,VIET NAM　　　GLOBAL HANTEX,OD6B-M-8ERS,30,24,2256,【■シリンダー針】,21122CB022,,21122CC022,,【▼ ｼﾝｶｰ/ﾀﾞｲﾔﾙ針 】,47418DB71V,,47418DC71V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.35,DK
R,727,＜ﾉｰﾏﾙ Y無し用＞,2025,10,2,25DKK006,VIET NAM　　　GLOBAL HANTEX,OD6B-M-8ERS,30,24,2256,【■シリンダー針】,21122CB022,,21122CC022,,【▼ ｼﾝｶｰ/ﾀﾞｲﾔﾙ針 】,47418DB71V,,47418DC71V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.35,DK
R,727,＜ﾉｰﾏﾙ Y無し用＞,2025,10,2,25DKK007,VIET NAM　　　GLOBAL HANTEX,OD6B-M-8ERS,30,24,2256,【■シリンダー針】,21122CB022,,21122CC022,,【▼ ｼﾝｶｰ/ﾀﾞｲﾔﾙ針 】,47418DB71V,,47418DC71V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.35,DK
R,727,＜ﾉｰﾏﾙ Y無し用＞,2025,10,2,25DKK008,VIET NAM　　　GLOBAL HANTEX,OD6B-M-8ERS,30,24,2256,【■シリンダー針】,21122CB022,,21122CC022,,【▼ ｼﾝｶｰ/ﾀﾞｲﾔﾙ針 】,47418DB71V,,47418DC71V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.35,DK
R,727,＜ﾉｰﾏﾙ Y無し用＞,2025,10,3,25DKK009,VIET NAM　　　GLOBAL HANTEX,OD6B-M-8ERS,30,24,2256,【■シリンダー針】,21122CB022,,21122CC022,,【▼ ｼﾝｶｰ/ﾀﾞｲﾔﾙ針 】,47418DB71V,,47418DC71V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.35,DK
R,727,＜ﾉｰﾏﾙ Y無し用＞,2025,10,3,25DKK010,VIET NAM　　　GLOBAL HANTEX,OD6B-M-8ERS,30,24,2256,【■シリンダー針】,21122CB022,,21122CC022,,【▼ ｼﾝｶｰ/ﾀﾞｲﾔﾙ針 】,47418DB71V,,47418DC71V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.35,DK
