H,defTopId,S1C1,S1C2,S1C3,S1C4,S1C5,S1C6,S1C7,S1C8,S1C9,S1C11,S1C644,S1C643
R,460,CAM HOLDER,F000110532,3167-502AA30,2025029,C02-11,OD6-M2XC-A3RES,30,28,テスト,無電解ニッケルメッキ,1,20250205
R,460,CAM HOLDER,F000110562,5165-502AA46,2025051,E001,M-6ER22,46,18,ＫＮＩＴ ＣＯＮＣＥＲＮ,,1,20250205
R,460,CAM HOLDER,F000110590,5165-502AA46,2025051,E002,M-6ER22,46,18,ＫＮＩＴ ＣＯＮＣＥＲＮ,,1,20250205
R,460,CAM HOLDER,F000110613,474-502AA36,2025051,E003,OD5B-M-7E42,36,24,CV CAHAYA KURNIA（INDONESIA),,1,20250205
R,460,CAM HOLDER,F000110638,5165-502AA36,2025051,E004,M-6ER22,36,18,ＰＥＲＭＯＤＡ ＬＴＤＡ,無電解ニッケルメッキ,1,20250205
R,460,CAM HOLDER,F000110661,5165-502AA36,2025051,E005,M-6ER22,36,18,ＰＥＲＭＯＤＡ ＬＴＤＡ,無電解ニッケルメッキ,1,20250205
R,460,CAM HOLDER,F000110684,5165-502EA30,2025051,E043,M-6ER11,30,18,USA(M),無電解ニッケルメッキ,1,20250205
R,460,CAM HOLDER,F000110707,5165-502EA30,2025051,E044,M-6ER11,30,18,USA(M),無電解ニッケルメッキ,1,20250205
R,460,CAM HOLDER,F000110736,3164-502AB34,2025051,E101,OD7-M2XC-S3.2RE,34,30,CV CAHAYA KURNIA（INDONESIA),無電解ニッケルメッキ,1,20250205
R,460,CAM HOLDER,F000110762,3164-502AB34,2025051,E102,OD7-M2XC-S3.2RE,34,30,CV CAHAYA KURNIA（INDONESIA),無電解ニッケルメッキ,1,20250205
R,460,CAM HOLDER,F000110778,3153-502FB30,2025051,E103,M2XC-E3.2RE,30,28,USA(M),無電解ニッケルメッキ,1,20250205
R,460,CAM HOLDER,F000110796,3153-502FB30,2025051,E104,M2XC-E3.2RE,30,28,USA(M),無電解ニッケルメッキ,1,20250205
R,460,CAM HOLDER,F000110814,3153-502FB28,2025051,E105,M2XC-E3.2RE,28,28,ELCATEX(HONDURAS),無電解ニッケルメッキ,1,20250205
R,460,CAM HOLDER,F000110846,5179-502EB34,2025052,E006,OD6B-M-8MES,34,32,寧波申洲針織品有限公司,,1,20250205
R,460,CAM HOLDER,F000110877,5179-502EB34,2025052,E007,OD6B-M-8MES,34,32,寧波申洲針織品有限公司,,1,20250205
R,460,CAM HOLDER,F000110908,5179-502EB34,2025052,E008,OD6B-M-8MES,34,32,寧波申洲針織品有限公司,,1,20250205
R,460,CAM HOLDER,F000110939,5179-502EB34,2025052,E009,OD6B-M-8MES,34,32,寧波申洲針織品有限公司,,1,20250205
R,460,CAM HOLDER,F000110970,5179-502EB34,2025052,E010,OD6B-M-8MES,34,32,寧波申洲針織品有限公司,,1,20250205
R,460,CAM HOLDER,F000110998,5176-502EB34,2025052,E026,OD6B-M-7ES,34,28,寧波申洲針織品有限公司,,1,20250205
R,460,CAM HOLDER,F000111029,5176-502EB34,2025052,E027,OD6B-M-7ES,34,28,寧波申洲針織品有限公司,,1,20250205
R,460,CAM HOLDER,F000111060,5176-502EB34,2025052,E028,OD6B-M-7ES,34,28,寧波申洲針織品有限公司,,1,20250205
R,460,CAM HOLDER,F000111091,5176-502EB34,2025052,E029,OD6B-M-7ES,34,28,寧波申洲針織品有限公司,,1,20250205
R,460,CAM HOLDER,F000111122,5176-502EB34,2025052,E030,OD6B-M-7ES,34,28,寧波申洲針織品有限公司,,1,20250205
R,460,CAM HOLDER,F000111164,3164-502EB34,2025052,E106,M2XC-A3.2RE,34,28,ＥＶＥＲＧＲＥＥＮ ＴＥＸＴＩ ＬＥ ＰＲＩＮＴＩＮＧ ＆,無電解ニッケルメッキ,1,20250205
R,460,CAM HOLDER,F000111195,5179-502EB34,2025053,E011,OD6B-M-8MES,34,32,寧波申洲針織品有限公司,,1,20250205
R,460,CAM HOLDER,F000111226,5179-502EB34,2025053,E012,OD6B-M-8MES,34,32,寧波申洲針織品有限公司,,1,20250205
