H,defTopId,S1C0,S1C1,S1C2,S1C3
R,699,2025,5,1,25DKE001
R,699,2025,5,1,25DKE002
R,699,2025,5,1,25DKE003
R,699,2025,5,1,25DKE004
R,699,2025,5,1,25DKE005
R,699,2025,5,2,25DKE006
R,699,2025,5,2,25DKE007
R,699,2025,5,2,25DKE008
R,699,2025,5,2,25DKE009
R,699,2025,5,2,25DKE010
R,699,2025,5,3,25DKE011
R,699,2025,5,3,25DKE012
R,699,2025,5,3,25DKE013
R,699,2025,5,3,25DKE014
R,699,2025,5,3,25DKE015
R,699,2025,5,4,25DKE016
R,699,2025,5,4,25DKE017
R,699,2025,5,4,25DKE018
R,699,2025,5,4,25DKE019
R,699,2025,5,4,25DKE020
R,699,2025,5,5,25DKE021
R,699,2025,5,5,25DKE022
R,699,2025,5,5,25DKE023
R,699,2025,5,5,25DKE024
R,699,2025,5,5,25DKE025
R,699,2025,5,2,25DKE026
R,699,2025,5,2,25DKE027
R,699,2025,5,2,25DKE028
R,699,2025,5,2,25DKE029
R,699,2025,5,2,25DKE030
R,699,2025,5,3,25DKE031
R,699,2025,5,3,25DKE032
R,699,2025,5,3,25DKE033
R,699,2025,5,3,25DKE034
R,699,2025,5,3,25DKE035
R,699,2025,5,4,25DKE036
R,699,2025,5,4,25DKE037
R,699,2025,5,4,25DKE038
R,699,2025,5,4,25DKE039
R,699,2025,5,4,25DKE040
R,699,2025,5,5,25DKE041
R,700,2025,5,5,25DKE042
R,699,2025,5,1,25DKE043
R,699,2025,5,1,25DKE044
R,699,2025,5,2,25DKE045
R,699,2025,5,6,25DKE046
R,699,2025,5,6,25DKE047
R,699,2025,5,6,25DKE048
R,699,2025,5,6,25DKE049
R,699,2025,5,7,25DKE050
R,699,2025,5,6,25DKE051
R,699,2025,5,6,25DKE052
R,699,2025,5,6,25DKE053
R,699,2025,5,7,25DKE054
R,699,2025,5,7,25DKE055
R,699,2025,5,7,25DKE056
R,699,2025,5,5,25DKE057
R,699,2025,5,5,25DKE058
R,699,2025,5,8,25DKE059
R,699,2025,5,8,25DKE060
R,699,2025,5,8,25DKE061
R,699,2025,5,8,25DKE062
R,699,2025,5,8,25DKE063
R,699,2025,5,8,25DKE064
R,699,2025,5,7,25DKE065
R,699,2025,5,7,25DKE066
R,699,2025,5,8,25DKE067
R,699,2025,5,8,25DKE068
R,700,2025,5,1,25SKE101
R,700,2025,5,1,25SKE102
R,700,2025,5,1,25SKE103
R,700,2025,5,1,25SKE104
R,700,2025,5,1,25SKE105
R,700,2025,5,2,25SKE106
R,700,2025,5,3,25SKE107
R,700,2025,5,3,25SKE108
R,700,2025,5,3,25SKE109
R,700,2025,5,5,25SKE110
R,700,2025,5,5,25SKE111
R,700,2025,5,5,25SKE112
R,700,2025,5,6,25SKE113
R,700,2025,5,6,25SKE114
R,700,2025,5,6,25SKE115
R,700,2025,5,4,25SKE116
R,700,2025,5,4,25SKE117
R,700,2025,5,4,25SKE118
R,700,2025,5,7,25SKE119
R,700,2025,5,7,25SKE120
R,700,2025,5,8,25SKE121
R,700,2025,5,8,25SKE122
R,700,2025,5,7,25SKE123
R,700,2025,5,7,25SKE124
