品目構成マスタ,,"品目構成を設定するマスタ。（当マスタを登録する場合は品目訂番管理マスタの登録も必須）
構成は全て品目登録必須。",,,,,,,,,,,,,,,,,,,,
親品目のコード（ユニットなどを指定）,親品目コード単位に1から連番で設定する,"構成内の番号を入力する。
リスト№に使用される",1をセットする,表示順番を入力する。通常は番号と同一,親品目の構成として登録する品目のコード,形状のある品目の場合に形状サイズを入力する,形状のある品目の場合に形状サイズを入力する,形状のある品目の場合に形状サイズを入力する,"サイズ_X、Ｙ、Zを掛け合わせた値
未設定は1を設定する","1：親部品から遡り必要数計算をする
2：親部品から遡り必要数計算をしない","通常1をセット
親ｎ個に対しての数量を入力する場合にのみ1以外を設定する",単位マスタ先行設定要,親数量に対する子品目数（構成数）を入力,単位マスタ先行設定要,"必要数計算の際に小数が発生する場合に少数点何桁まで計算するかを設定。
整数の場合は０","少数が発生した場合の端数処理方法
1:四捨五入
2:切り捨て
3:切り上げ",,基本的に何も入力しない,登録日を入力してください,登録担当者の社員コードを入力してください,全て1を設定,
M0850,M0850,M0850,M0850,M0850,M0850,M0850,M0850,M0850,M0850,M0850,M0850,M0850,M0850,M0850,M0850,M0850,M0850,M0850,M0850,M0850,M0850,
OYAHMCD,SEQ,STRNO,OYAREVNO,STRSEQ,KOHMCD,SIZEX,SIZEY,SIZEZ,SHAPEQTY,OYAQTYKBN,OYAQTY,OYAUNIT,KOQTY,KOUNIT,VALDEC,HASUKBN,NOTE,REVNOTE,REVDT,REVTANCD,VALFLG,
親品目コード,SEQ,番号,親訂正番号,表示順序,子品目コード,サイズX,サイズＹ,サイズZ,形状量,親数量×,親品目数量,親品目単位コード,子品目数量,子品目単位コード,有効小数点桁数,端数処理区分,備考,訂正記事,訂番日付,訂番担当者コード,有効状態,
X（30）,9（5）,X（4）,9（4）,9（5）,X（30）,"9（9,3)","9（9,3)","9（9,3)","9（10,3)",9（1）,"9（11,2)",X（3）,"9（11,2)",X（3）,9（1）,X（1）,X（100）,X（40）,DATE,X（8）,9（1）,
必須,必須,必須,必須,必須,必須,,,,必須,必須,必須,必須,必須,必須,必須,必須,,,,,必須,
,,,,,,,,,,"1,2",,,,,"0,1,2,3,4,5,6","1,2,3",,,,,"1,2",
1,2,,,,,,,,,,,,,,,,,,,,,
"53_品目マスタ(M0810),B",,,,,"53_品目マスタ(M0810),B",,,,,,,"13_単位マスタ(S0910),B",,"13_単位マスタ(S0910),B",,,,,,"8_社員マスタ(M0540),B",,
"1,2","1,2","1,3,4",,,,,,,,,,,,,,,,,,,,
英数,数字,英数,数字,数字,英数,数字,数字,数字,数字,数字,数字,英数,数字,英数,数字,数字,,,日付,英数,数字,
