品目工程マスタ,,"品目工程を設定するマスタ。
",,,,,,,,,,,,,
品目マスタに設定した品目コード,品目コード単位に1から連番で振る,品目コード単位に工程の順番を入力する,"工程マスタ先行設定要
当該品目に紐付く工程のコードを設定","仕入取引先マスタ先行設定要
社内工程の場合、自社部門などを仕入先として登録する","資源マスタ先行設定要
社内工程で使用する資源コード","社内工程の段取時間
未設定時は0をセット（単位：分）","社内工程の作業時間
未設定時は0をセット（単位：分）",未設定時は0をセット（単位：日）,"社外工程を発注する際のデフォルト単価
未設定時は0をセット","原価科目マスタ先行設定要
※[原価科目M：内外区分]と[仕入取引先M：仕入先区分]を合わせる",調達区分マスタ先行設定要,調達部門マスタ先行設定要,"1：あり
2：なし
発注登録で該当品目設定時に検査有無をデフォルト設定する","1：あり
2：なし
発注登録で該当品目設定時に検収有無をデフォルト設定する",
M0840,M0840,M0840,M0840,M0840,M0840,M0840,M0840,M0840,M0840,M0840,M0840,M0840,M0840,M0840,
HMCD,SEQ,KTSEQ,KTCD,SRCD,SGNCD,DDTIME,SGTIME,LDTIME,SRPRICE,CSBCD,SUPCLSCD,SUPCD,RCVTSTKBN,RCVCHKKBN,
品目コード,番号,工順,工程コード,仕入先コード,資源コード,段取時間,作業時間,リードタイム,仕入単価,原価科目コード,調達区分コード,調達部門コード,受入検査区分,受入検収区分,
X（30）,9（4）,9（4）,X（5）,X（10）,X（5）,9（4）,9（4）,9（3）,"9（10,2)",X(10),X（2）,X（2）,9（1）,9(1),
必須,必須,必須,必須,,,必須,必須,必須,必須,,,,必須,必須,
,,,,,,,,,,,,,"1,2","1,2",
1,2,,,,,,,,,,,,,,
"53_品目マスタ(M0810),B",,,"46_工程マスタ(M0410),B","45_仕入取引先マスタ(M0710),Q","45_資源MS(M0430),B",,,,,"26_原価科目マスタ(M0080),B","37_調達区分マスタ(M0360),B","36_調達部門マスタ(M0050),B",,,
"1,2","1,2",,,,,,,,,,,,,,
英数,数字,数字,英数,英数,英数,数字,数字,数字,数字,英数,英数,英数,数字,数字,
,,,,,,,,,,,,,,,
