完成部番,単位数分子1,単位数分母1,前工程1,単位数分子2,単位数分母2,前工程2,単位数分子3,単位数分母3,前工程3,単位数分子4,単位数分母4,前工程4,単位数分子5,単位数分母5,前工程5,単位数分子6,単位数分母6,前工程6
5181-501AA18,1,1,L1-1751-501CA18,1,1,MA-1751-501AA18,0,0,,0,0,,0,0,,0,0,
5529-502EA30,1,1,L1-5517-502AA30,1,1,MA-5517-502AA30,0,0,,0,0,,0,0,,0,0,
3153-502EC26,1,1,L1-3153-502AC26,1,1,MA-600-502AA26,0,0,,0,0,,0,0,,0,0,
3153-502FB26,1,1,PL-3153-502FB26,1,1,L1-3153-502AC26,1,1,MA-600-502AA26,0,0,,0,0,,0,0,
3153-502JC26,1,1,PL-3153-502JC26,1,1,L1-3153-502AC26,1,1,MA-600-502AA26,0,0,,0,0,,0,0,
3153-502EC28,1,1,L1-3153-502AC28,1,1,MA-600-502AA28,0,0,,0,0,,0,0,,0,0,
3153-502FB28,1,1,PL-3153-502FB28,1,1,L1-3153-502AC28,1,1,MA-600-502AA28,0,0,,0,0,,0,0,
3153-502JC28,1,1,L1-3153-502AC28,1,1,MA-600-502AA28,0,0,,0,0,,0,0,,0,0,
3153-502KB28,1,1,L1-3153-502AC28,1,1,MA-600-502AA28,0,0,,0,0,,0,0,,0,0,
3153-502EC42,1,1,L1-3153-502AC42,1,1,MA-600-502AA42,0,0,,0,0,,0,0,,0,0,
3153-502JC42,1,1,L1-3153-502AC42,1,1,MA-600-502AA42,0,0,,0,0,,0,0,,0,0,
3153-502KB26,1,1,PL-3153-502KB26,1,1,L1-3153-502AC26,1,1,MA-600-502AA26,0,0,,0,0,,0,0,
3557-409AA300,1,1,3557-409AA30-SR,1,1,L1-3557-409AA30-S,1,1,MA-3557-409AA30-S,0,0,,0,0,,0,0,
3557-501AA30,1,1,LA-3557-501AA30-DF,1,1,L1-3557-501AA30,1,1,MA-171-501AA30,0,0,,0,0,,0,0,
171-406RA30,1,1,LA-171-406RA30-MC,1,1,LA-171-406RA30-D,1,1,L1-171-406RA30,1,1,MA-171-406RA30,0,0,,0,0,
1635-401CA38,1,1,LA-1635-401AA38-DF,1,1,LA-1635-401AA38-D,1,1,L1-1635-401AA38,1,1,MA-1635-401AA38,0,0,,0,0,
3166-652AA19,1,4,L1-720-65219-DRUM,1,1,MA-720-65219-DRUM,0,0,,0,0,,0,0,,0,0,
3557-608AA30,1,1,L1-3501-66001AA30,1,1,MA-3501-66001AA30,0,0,,0,0,,0,0,,0,0,
3166-652AA24,1,4,L1-720-65224-DRUM,1,1,MA-720-65224-DRUM,0,0,,0,0,,0,0,,0,0,
6110-501AA38,1,1,LA-5500-501GA38-DF,1,1,L1-5500-501GA38,1,1,MA-5500-501GA38,0,0,,0,0,,0,0,
6110-641AA38,1,4,L1-485-641BA38-DRUM,1,1,MA-485-641BA38-DRUM,0,0,,0,0,,0,0,,0,0,
6110-601AA38,1,1,LA-6104-601BA38-L2,1,1,L1-6104-601BA38,1,1,MA-6104-601AA38,0,0,,0,0,,0,0,
6110-502BA38,1,1,MC-RH-0207D-01AA50,1,52,MA-RH-0207D-01AA,0,0,,0,0,,0,0,,0,0,
6110-502CA38,1,1,MC-RH-0207D-01AA50,1,52,MA-RH-0207D-01AA,0,0,,0,0,,0,0,,0,0,
6110-502GA38,1,1,MC-RH-0207D-01AA50,1,52,MA-RH-0207D-01AA,0,0,,0,0,,0,0,,0,0,
6110-502JA38,1,1,MC-RH-0207D-01AA50,1,52,MA-RH-0207D-01AA,0,0,,0,0,,0,0,,0,0,
6110-502EA38,1,1,PL-6110-502EA38,1,1,L1-5546-502AA38,1,1,MA-5546-502AA38,0,0,,0,0,,0,0,
3153-502FA36,1,1,L1-3153-502AC36,1,1,MA-600-502AA36,0,0,,0,0,,0,0,,0,0,
6110-602AA38,1,1,MA-RH-0031K-06SA,0,0,,0,0,,0,0,,0,0,,0,0,
6110-602CA38,1,1,MA-RH-0031K-06SA,0,0,,0,0,,0,0,,0,0,,0,0,
6110-602DA38,1,1,MA-RH-0031K-06SA,0,0,,0,0,,0,0,,0,0,,0,0,
6110-602EA38,1,1,MA-RH-0031K-06SA,0,0,,0,0,,0,0,,0,0,,0,0,
3139-608BA36,1,1,L1-3139-60836,1,3,MA-973-608AA36-DRUM,0,0,,0,0,,0,0,,0,0,
5181-601AA17,1,1,LA-1751-601AA17-L2,1,1,L1-1751-601AA17,1,1,MA-1751-601AA17,0,0,,0,0,,0,0,
5181-601AA18,1,1,LA-1751-601AA18-L2,1,1,L1-1751-601AA18,1,1,MA-1751-601AA18,0,0,,0,0,,0,0,
3139-608BA38,1,1,L1-3139-60838,1,3,MA-973-608AA38-DRUM,0,0,,0,0,,0,0,,0,0,
1831-501CA36,1,1,LA-1831-501BA36-DF,1,1,L1-1831-501BA36,1,1,MA-1831-501BA36,0,0,,0,0,,0,0,
1831-501CA38,1,1,LA-1831-501BA38-DF,1,1,L1-1831-501BA38,1,1,MA-1831-501BA38,0,0,,0,0,,0,0,
3139-652CA38,1,4,L1-720-65238-DRUM,1,1,MA-720-65238-DRUM,0,0,,0,0,,0,0,,0,0,
5181-501AA17,1,1,L1-1751-501CA17,1,1,MA-1751-501AA17,0,0,,0,0,,0,0,,0,0,
5181-502AA17,1,1,L1-59-502B17,1,1,MA-59-502B17,0,0,,0,0,,0,0,,0,0,
5181-602AA17,1,1,MA-RH-0031A-06E,0,0,,0,0,,0,0,,0,0,,0,0,
5181-602GA17,1,1,MA-RH-0031A-07E,0,0,,0,0,,0,0,,0,0,,0,0,
5181-641AA17,1,1,L2-5181-641AA17,1,4,L1-720-65216-DRUM,1,1,MA-720-65216-DRUM,0,0,,0,0,,0,0,
