品目コード,番号,工順,工程コード
00-1005E,10,10,CAFIN
00-1041E26,10,10,CAFIN
00-1041E30,10,10,CAFIN
00-1041G2-30,10,10,CAFIN
00-1041G230,10,10,CAFIN
00-1041G26,10,10,CAFIN
00-1041G30,10,10,CAFIN
00-1041G32,10,10,CAFIN
00-1041H34,10,10,CAFIN
00-1041J,10,10,CAFIN
00-1041KA28,10,10,CAFIN
00-1041KA30,10,10,CAFIN
00-1041LA30,10,10,CAFIN
00-1049A34,10,10,CAFIN
00-1049B34,10,10,CAFIN
00-1049C34,10,10,CAFIN
00-1049D34,10,10,CAFIN
00-1054A26,10,10,CAFIN
00-1054A30,10,10,CAFIN
00-1054B26,10,10,CAFIN
00-1054B30,10,10,CAFIN
00-1054C30,10,10,CAFIN
00-1078,10,10,CAFIN
00-1085A,10,10,CAFIN
00-1085B,10,10,CAFIN
00-1090AA20,10,10,CAFIN
00-1090AA34,10,10,CAFIN
00-1090AA38,10,10,CAFIN
00-1090AB30,10,10,CAFIN
00-1090AB34,10,10,CAFIN
00-1090CA30,10,10,CAFIN
00-1090CA34,10,10,CAFIN
00-1090FA30,10,10,CAFIN
00-1090HA30,10,10,CAFIN
00-1090HA34,10,10,CAFIN
00-1090MA34,10,10,CAFIN
00-1092,10,10,CAFIN
00-1101AE,10,10,CAFIN
00-1101AF,10,10,CAFIN
00-1101DA,10,10,CAFIN
00-1101DC,10,10,CAFIN
00-1101EA,10,10,CAFIN
00-1101HA,10,10,CAFIN
00-1101JA,10,10,CAFIN
00-1101LA,10,10,CAFIN
00-1101PA,10,10,CAFIN
00-1101QA26,10,10,CAFIN
00-1101QA30,10,10,CAFIN
00-1101QA32,10,10,CAFIN
00-1101QA34,10,10,CAFIN
00-1101UA,10,10,CAFIN
00-1101VA34,10,10,CAFIN
00-1101ZA30,10,10,CAFIN
00-1113AA26,10,10,CAFIN
00-1113AA30,10,10,CAFIN
00-1113AA32,10,10,CAFIN
00-1113AA34,10,10,CAFIN
00-1113BA30,10,10,CAFIN
00-1113BA34,10,10,CAFIN
00-1113BB26,10,10,CAFIN
00-1113BB30,10,10,CAFIN
00-1113BB32,10,10,CAFIN
00-1113BB34,10,10,CAFIN
00-1113CA30,10,10,CAFIN
00-1113CA34,10,10,CAFIN
00-1113CB30,10,10,CAFIN
00-1113DA26,10,10,CAFIN
00-1113DA30,10,10,CAFIN
00-1113DA34,10,10,CAFIN
00-1113FA26,10,10,CAFIN
00-1113FA30,10,10,CAFIN
00-1113FA34,10,10,CAFIN
00-1113FC26,10,10,CAFIN
00-1113FC34,10,10,CAFIN
00-1113QA26,10,10,CAFIN
00-1113QA30,10,10,CAFIN
00-1113QA32,10,10,CAFIN
00-1113QA34,10,10,CAFIN
00-1128AA26,10,10,CAFIN
00-1128AA30,10,10,CAFIN
00-1128AA32,10,10,CAFIN
00-1128AA34,10,10,CAFIN
00-1128BA30,10,10,CAFIN
00-1128BA32,10,10,CAFIN
00-1128BA34,10,10,CAFIN
00-1144AA26,10,10,CAFIN
00-1144AA30,10,10,CAFIN
00-1144AA34,10,10,CAFIN
00-1144AA36,10,10,CAFIN
00-1144AA38,10,10,CAFIN
00-1150BA30,10,10,CAFIN
00-1150DA30,10,10,CAFIN
00-1152AA,10,10,CAFIN
12-426HS30,10,10,CAFIN
20-511A26,10,10,CAFIN
201-511AA14,10,10,CAFIN
201-511AA16,10,10,CAFIN
201-511AA18,10,10,CAFIN
201-511AA20,10,10,CAFIN
201-511AA21,10,10,CAFIN
201-511AA22,10,10,CAFIN
201-511AA24,10,10,CAFIN
201-511AA26,10,10,CAFIN
201-511BA26,10,10,CAFIN
201-512AA13,10,10,CAFIN
201-512AA14,10,10,CAFIN
201-512AA15,10,10,CAFIN
201-512AA16,10,10,CAFIN
201-512AA17,10,10,CAFIN
201-512AA18,10,10,CAFIN
201-512AA19,10,10,CAFIN
201-512AA20,10,10,CAFIN
201-512AA21,10,10,CAFIN
201-512AA22,10,10,CAFIN
201-512AA24,10,10,CAFIN
201-512AA26,10,10,CAFIN
201-513AA15,10,10,CAFIN
201-513AA16,10,10,CAFIN
201-513AA18,10,10,CAFIN
201-515AA13,10,10,CAFIN
201-515AA14,10,10,CAFIN
201-515AA15,10,10,CAFIN
201-515AA16,10,10,CAFIN
201-515AA17,10,10,CAFIN
201-515AA18,10,10,CAFIN
201-515AA19,10,10,CAFIN
201-515AA20,10,10,CAFIN
201-515AA21,10,10,CAFIN
201-515AA22,10,10,CAFIN
201-515AA24,10,10,CAFIN
201-516AA14,10,10,CAFIN
201-516AA16,10,10,CAFIN
201-516AA18,10,10,CAFIN
201-516AA20,10,10,CAFIN
201-516AA22,10,10,CAFIN
201-516AA24,10,10,CAFIN
201-516AA26,10,10,CAFIN
201-518AA15,10,10,CAFIN
201-518AA16,10,10,CAFIN
201-523AA13,10,10,CAFIN
201-523AA14,10,10,CAFIN
201-523AA15,10,10,CAFIN
201-523AA16,10,10,CAFIN
201-523AA17,10,10,CAFIN
201-523AA18,10,10,CAFIN
201-523AA19,10,10,CAFIN
201-523AA20,10,10,CAFIN
201-523AA21,10,10,CAFIN
201-523AA22,10,10,CAFIN
201-523AA24,10,10,CAFIN
201-523AA26,10,10,CAFIN
201-524AA13,10,10,CAFIN
201-524AA14,10,10,CAFIN
201-524AA15,10,10,CAFIN
201-524AA16,10,10,CAFIN
201-524AA17,10,10,CAFIN
201-524AA18,10,10,CAFIN
201-524AA19,10,10,CAFIN
201-524AA20,10,10,CAFIN
201-524AA21,10,10,CAFIN
201-524AA22,10,10,CAFIN
201-524AA24,10,10,CAFIN
201-524AA26,10,10,CAFIN
201-525AA13,10,10,CAFIN
