"NO","CODE","NAME","GROUP_NO","PALETTE_NUM","SHIFT_NO","WORKING","COLOR","VIEW_NO","TYPE","QRY","FACTOR_NUM","DISABLED_RES","OLD_CODE","HOURS_PER_DAY"
1,"401","TM2-12N-15T",1,0,1,0,4,33,"M","R",1,"0","401",9
27,"215","GF-8(N)",3,0,1,0,2,13,"M","R",1,"0","215",6
3,"404","TM2-10N-6TB",1,0,1,0,4,36,"M","R",1,"0","404",8
4,"405","NCT1-12V",1,0,1,0,4,37,"M","R",1,"0","405",9
5,"406","VTF-12-1",1,0,1,0,4,38,"M","R",1,"0","406",8
6,"407","VTF-12-2",1,0,1,0,4,39,"M","R",1,"0","407",8
7,"408","VTF-12-3",1,0,1,0,4,40,"M","R",1,"0","408",8
8,"412","LHC-2712-2",1,0,1,0,4,44,"M","R",1,"0","412",8
9,"413","LHS-2411",1,0,1,0,4,45,"M","R",1,"0","413",8
10,"710","OK-01(S)",1,0,1,0,7,83,"M","R",1,"0","710",8
28,"216","FNC106-A20-6M(N)",3,0,1,0,2,14,"M","R",1,"0","216",6
12,"421","VTM-1200YB-1",1,2,11,1,7,92,"M","R",1,"0","720",20
13,"423","NEO-16EX-1",1,0,1,0,4,34,"M","R",1,"0","423",9
14,"414","TM2-10NP-15TA",2,2,1,0,4,46,"M","R",1,"0","414",8
15,"415","LNH-411",2,1,1,0,4,47,"M","R",1,"0","415",8
16,"416","LHC-2410",2,1,1,0,4,48,"M","R",1,"0","416",8
17,"417","Omega60",2,2,1,0,4,55,"M","R",1,"0","417",8
18,"502","ICB-1150SG",2,1,1,0,5,53,"M","R",1,"0","502",8
19,"503","ICB-1150SGN",2,1,2,0,5,54,"M","R",1,"0","503",10
20,"506","GK-12",2,1,1,0,5,57,"M","R",1,"0","506",8
21,"507","GK-8",2,1,1,0,5,58,"M","R",1,"0","507",8
22,"508","GK-8V",2,1,1,0,5,59,"M","R",1,"0","508",8
23,"716","FUK-B01",2,1,1,0,7,89,"M","R",1,"0","716",8
24,"422","LNH-35",2,0,1,0,7,90,"M","R",1,"0","422",8
25,"801","ﾎﾞｰﾙ盤バフ",2,0,1,0,7,91,"M","R",1,"0","801",8
26,"103","HG-630-2",3,8,11,1,1,1,"M","R",1,"0","103",20
27,"205","GF-8",3,0,1,0,2,13,"M","R",1,"0","205",6
28,"206","FNC106-A20-6M",3,0,1,0,2,14,"M","R",1,"0","206",6
29,"207","FNC106-A30-11M",3,0,1,0,2,15,"M","R",1,"0","207",8
30,"208","FNC106-A40-15M",3,0,1,0,2,16,"M","R",1,"0","208",8
31,"209","FNC1210-A40-11M",3,0,1,0,2,17,"M","R",1,"0","209",8
32,"210","FNC1210-A40-15M",3,0,1,0,2,18,"M","R",1,"0","210",8
34,"213","V90S",3,0,2,0,2,19,"M","R",1,"0","213",9
35,"602","3ML-P",3,0,1,0,6,62,"M","R",1,"0","602",8
36,"609","KR-1000",3,0,1,0,6,69,"M","R",1,"0","609",8
37,"611","NH-600",3,0,1,0,6,71,"M","R",1,"0","611",8
38,"612","SH100",3,0,1,0,6,72,"M","R",3,"0","612",8
39,"613","SH140",3,0,1,0,6,73,"M","R",4,"0","613",8
40,"614","KS5-A",3,0,1,0,6,74,"M","R",1,"0","614",8
41,"615","SH140-2",3,0,1,0,6,73,"M","R",2,"0","615",8
42,"711","OK-02(O)",3,0,1,0,7,84,"M","R",1,"0","711",8
43,"221","VTM-1200YB-2",3,8,10,1,7,93,"M","R",1,"0","721",20
44,"616","HF1600",3,0,5,0,6,69,"M","R",1,"0","616",12
45,"102","HC-400",4,2,1,0,1,2,"M","R",1,"0","102",8
46,"107","HG-400-3",4,8,11,1,1,1,"M","R",1,"0","107",20
60,"001","生産技術",6,0,1,0,8,99,"G","N",1,"0","001",
48,"110","A55-8P",4,8,5,0,1,7,"M","R",1,"0","110",12
49,"111","A82M",4,8,8,0,1,9,"M","R",1,"0","111",15
50,"113","MAM72",4,40,11,3,1,8,"M","R",1,"0","212",20
52,"604","SS-1200-NC(V)",4,0,1,0,6,64,"M","R",1,"0","604",8
54,"114","A55-E",4,8,2,3,7,96,"M","R",1,"0","723",20
55,"115","A51Nx-14P-1",4,14,11,1,7,95,"M","R",1,"0","724",20
56,"116","A51Nx-14P-2",4,14,11,1,7,94,"M","R",1,"0","725",20
57,"112","A71NX-14P",4,8,8,0,1,9,"M","R",1,"0","112",20
58,"790","シリンダ課",5,0,1,0,8,99,"M","R",1,"0","790",8
59,"000","外注",6,0,1,0,8,99,"G","N",1,"0","000",
61,"509","VM125",2,1,1,0,5,59,"M","R",1,"0","509",8
62,"002","中村工業",6,0,1,0,8,99,"G","N",1,"0","002",
63,"003","兵庫精密",6,0,1,0,8,99,"G","N",1,"0","003",
64,"004","ジェイテック",6,0,1,0,8,99,"G","N",1,"0","004",
65,"005","伸和鉄工所",6,0,1,0,8,99,"G","N",1,"0","005",
66,"006","門本",6,0,1,0,8,99,"G","N",1,"0","006",
67,"007","石川製作所",6,0,1,0,8,99,"G","N",1,"0","007",
68,"008","山名",6,0,1,0,8,99,"G","N",1,"0","008",
69,"009","ダイセン",6,0,1,0,8,99,"G","N",1,"0","009",
70,"010","トミナガ",6,0,1,0,8,99,"G","N",1,"0","010",
71,"011","コルク",6,0,1,0,8,99,"G","N",1,"0","011",
72,"012","衣浦",6,0,1,0,8,99,"G","N",1,"0","012",
73,"013","協栄",6,0,1,0,8,99,"G","N",1,"0","013",
74,"231","VTM-1200YB-2(N)",3,8,10,1,7,93,"M","R",1,"0","231",11
75,"431","VTM-1200YB-1(N)",1,2,11,1,7,92,"M","R",1,"0","431",127
76,"014","常盤鋳造所",6,0,1,0,8,99,"G","N",1,"0","014",
77,"015","ミヨシキャスティング",6,0,1,0,8,99,"G","N",1,"0","014",
78,"117","INTEGREX",4,8,8,0,1,9,"M","R",1,"0","",20
79,"118","DA300",4,8,8,0,1,9,"M","R",1,"0","",20
80,"211","FNC1210-A20-Pro3",3,0,1,0,2,18,"M","R",1,"0","211",8
82,"590","カム課",6,0,1,0,8,99,"G","N",1,"0","590",
