区分コード,完成部番,単位数分子1,単位数分母1,前工程1,単位数分子2,単位数分母2,前工程2,単位数分子3,単位数分母3,前工程3,単位数分子4,単位数分母4,前工程4,単位数分子5,単位数分母5,前工程5,単位数分子6,単位数分母6,前工程6
W,00-1160AA,1.0,1,PEFIN-00-1160AA,1.0,1.0,MC-00-1160AA,1.0,1.0,MA-00-1160AA,0.0,0.0,,0.0,0.0,,0.0,0.0,
2,100-276B,1.0,1,PEFIN-100-276B,1.0,1.0,L-100-276B,1.0,1.0,MA-100-276B,0.0,0.0,,0.0,0.0,,0.0,0.0,
W,1631-141BA,1.0,1,PEFIN-1631-141BA,1.0,1.0,PA-1631-141BA,1.0,1.0,MA-1631-141BA,0.0,0.0,,0.0,0.0,,0.0,0.0,
L,2172-204AA,1.0,1,PEFIN-2172-204AA,1.0,1.0,PA-2172-204AA,1.0,1.0,MC-2172-204AA,1.0,1.0,MA-2172-204AA,0.0,0.0,,0.0,0.0,
L,2172-205AA,1.0,1,PEFIN-2172-205AA,1.0,1.0,PA-2172-205AA,1.0,1.0,MC-2172-205AA,1.0,1.0,MA-2172-205AA,0.0,0.0,,0.0,0.0,
W,220-680-B,1.0,1,PEFIN-220-680-B,1.0,1.0,PL-220-680-B,1.0,1.0,MA-220-680-B,0.0,0.0,,0.0,0.0,,0.0,0.0,
W,225-680-A,1.0,1,PEFIN-225-680-A,1.0,1.0,PL-225-680-A,1.0,1.0,MA-225-680-A,0.0,0.0,,0.0,0.0,,0.0,0.0,
W,225-681-A,1.0,1,PEFIN-225-681-A,1.0,1.0,PL-225-681-A,1.0,1.0,MA-225-681-A,0.0,0.0,,0.0,0.0,,0.0,0.0,
W,225-681-B,1.0,1,PEFIN-225-681-B,1.0,1.0,PL-225-681-B,1.0,1.0,MA-225-681-B,0.0,0.0,,0.0,0.0,,0.0,0.0,
3,90-231S,1.0,1,PEFIN-90-231S,1.0,1.0,PA-90-231S,1.0,1.0,MC-90-231S,1.0,1.0,MA-90-231S,0.0,0.0,,0.0,0.0,
W,E-19001FB,1.0,1,PEFIN-E-19001FB,1.0,1.0,PA-E-19001FB,1.0,1.0,MA-E-19001FB,0.0,0.0,,0.0,0.0,,0.0,0.0,
F,E-5304,1.0,1,PEFIN-E-5304,1.0,1.0,MC-E-5304,1.0,1.0,MA-E-5304,0.0,0.0,,0.0,0.0,,0.0,0.0,
Q,G-2924BA,1.0,1,PEFIN-G-2924BA,1.0,1.0,PA-G-2924BA,1.0,1.0,MA-G-2924BA,0.0,0.0,,0.0,0.0,,0.0,0.0,
W,G-3515J,1.0,1,PEFIN-G-3515J,1.0,1.0,MC-G-3515J,1.0,1.0,MA-G-512,0.0,0.0,,0.0,0.0,,0.0,0.0,
W,G-3801H,1.0,1,PEFIN-G-3801H,1.0,1.0,PA-G-3801H,1.0,1.0,MC-G-3801H,1.0,1.0,MA-G-3801H,0.0,0.0,,0.0,0.0,
3,K-14901,1.0,1,PEFIN-K-14901,1.0,1.0,PA-K-14901,1.0,1.0,MC-K-14901,1.0,1.0,MA-K-14901,0.0,0.0,,0.0,0.0,
G,K-19001GA,1.0,1,PEFIN-K-19001GA,1.0,1.0,PL-K-19001GA,1.0,1.0,MA-K-19001GA,0.0,0.0,,0.0,0.0,,0.0,0.0,
