HMCD,SEQ,KTSEQ,KTCD,SRCD,SGNCD,DDTIME,SGTIME,LDTIME,SRPRICE,CSBCD,SUPCLSCD,SUPCD,RCVTSTKBN,RCVCHKKBN,INSTID,INSTDT,UPDTID,UPDTDT
00-1153AA,1,10,PL,1973,仮,0,0,0,0,10,,,2,2,,,,
00-1157AA,1,10,MC,1042,仮,0,0,0,0,10,,,2,2,,,,
00-1160AA,1,10,MC,無し,仮,0,0,15,0,10,,,2,2,,,,
00-717U,1,10,PL,3297,仮,0,0,5,0,10,,,2,2,,,,
00-757B,1,10,PA,1515,仮,0,0,14,0,10,,,2,2,,,,
00-757C,1,10,PA,1515,仮,0,0,14,0,10,,,2,2,,,,
00-757E,1,10,PA,1515,仮,0,0,14,0,10,,,2,2,,,,
00-757FA,1,10,PA,1515,仮,0,0,14,0,10,,,2,2,,,,
01-702AA,1,10,PL,1973,仮,0,0,20,0,10,,,2,2,,,,
01-702AB,1,10,PL,1973,仮,0,0,0,0,10,,,2,2,,,,
01-707AA,1,10,PL,3861,仮,0,0,0,0,10,,,2,2,,,,
0105-12A01AA48,1,10,PA,3406,仮,0,0,0,0,10,,,2,2,,,,
0105-12A01AA56,1,10,PA,9999,仮,0,0,0,0,10,,,2,2,,,,
0105-12A01AB48,1,10,PA,3406,仮,0,0,0,0,10,,,2,2,,,,
0105-12A01AB56,1,10,PA,9999,仮,0,0,0,0,10,,,2,2,,,,
0105-12A01AC48,1,10,PA,3406,仮,0,0,0,0,10,,,2,2,,,,
0105-12A01BA48,1,10,PA,1515,仮,0,0,0,0,10,,,2,2,,,,
0105-12A01CC48,1,10,PA,3406,仮,0,0,0,0,10,,,2,2,,,,
0105-12A01DA56,1,10,PA,1515,仮,0,0,0,0,10,,,2,2,,,,
0105-12A01DB48,1,10,PA,1515,仮,0,0,0,0,10,,,2,2,,,,
0105-12A01DC48,1,10,PA,3406,仮,0,0,0,0,10,,,2,2,,,,
0105-12A03GA56,1,10,PA,無し,仮,0,0,0,0,10,,,2,2,,,,
0106-12A01CA20,1,10,PA,3406,仮,0,0,20,0,10,,,2,2,,,,
100-105-4ASB,1,10,PA,3406,仮,0,0,0,0,10,,,2,2,,,,
100-105-4DC,1,10,WE（無）,無し,仮,0,0,0,0,10,,,2,2,,,,
100-105-4EBS,1,10,WE（無）,無し,仮,0,0,0,0,10,,,2,2,,,,
100-105BA26,1,10,PA,1515,仮,0,0,30,0,10,,,2,2,,,,
100-105BA30,1,10,PA,1515,仮,0,0,40,0,10,,,2,2,,,,
