FINAL_ITEM_CODE,PROCESS_ORDER,PROCESS_CODE,RES_CODE1,CAPACITY1,INF_CHANGE1,RES_CODE2,CAPACITY2,INF_CHANGE2,RES_CODE3,CAPACITY3,INF_CHANGE3,VERSION,OPE_NAME,UP_DATE,CHK_VAL_FLG,SETU_F,PACK_DATE,VERSION_ASP
1151-402AA,1,B,0,1,0,,,,,,,1,森友　宏幸,2025-05-15,0,1151-402AA,2024/07/24,1.0
1151-443AA,1,MC,0,1,0,,,,,,,1,森友　宏幸,2025-05-15,0,1151-443AA,2024/07/24,1.0
1155-111AA,1,MC,0,1,0,,,,,,,1,森友　宏幸,2025-05-15,0,1155-111AA,2024/04/18,1.0
1155-413AB48,1,MCT,0,1,0,,,,,,,1,森友　宏幸,2025-05-15,0,1155-413AB48,2024/12/18,1.0
12-302,1,GAI,0,1,0,,,,,,,1,初崎　和広,2025-05-30,0,12-302,2025/07/11,1.0
12-303,1,GAI,0,1,0,,,,,,,1,初崎　和広,2025-05-30,0,12-303,2025/07/11,1.0
12-304C,1,GAI,0,1,0,,,,,,,1,藤浪　克彦,2019-07-17,0,12-304C,2024/08/07,1.0
12-305,1,GAI,0,1,0,,,,,,,1,初崎　和広,2025-05-30,0,12-305,2025/07/11,1.0
120-404CA,1,MC,0,1,0,,,,,,,1,森友　宏幸,2025-05-15,0,120-404CA,2024/12/18,1.0
120-404DA,1,MC,0,1,0,,,,,,,1,森友　宏幸,2025-05-15,0,120-404DA,2024/12/18,1.0
120-404KA,1,MC,0,1,0,,,,,,,1,森友　宏幸,2025-05-15,0,120-404KA,2024/12/18,1.0
1231-103DB38,1,MC,0,1,0,,,,,,,1,森友　宏幸,2025-05-15,0,1231-103DB38,2024/02/27,1.0
1231-103GB38,1,MC,0,1,0,,,,,,,2,森友　宏幸,2025-05-15,0,1231-103GB38,2024/09/26,2.0
1231-142AB,1,MC,0,1,0,,,,,,,1,森友　宏幸,2025-05-15,0,1231-142AB,2024/02/27,1.0
1231-142CA,1,MC,0,1,0,,,,,,,1,森友　宏幸,2025-05-15,0,1231-142CA,2024/09/26,1.0
1331-102PA,1,MC,0,1,0,,,,,,,1,初崎　和広,2024-01-16,0,1331-102PA,2024/02/27,1.0
1331-210JA,1,MCW,0,1,0,,,,,,,1,森友　宏幸,2025-05-15,0,1331-210JA,2020/10/01,1.0
1331-211JA,1,MCW,0,1,0,,,,,,,1,森友　宏幸,2025-05-15,0,1331-211JA,2020/10/01,1.0
1531-128BA,1,GAI,0,1,0,,,,,,,1,初崎　和広,2021-01-19,0,1531-128BA,2021/03/01,1.0
161-402CA30,1,B,14,1,0,,,,,,,1,森友　宏幸,2025-05-15,0,161-402CA30,2025/01/29,1.0
161-402CA38,1,B,14,1,0,,,,,,,1,森友　宏幸,2025-05-15,0,161-402CA38,2025/08/01,1.0
161-403CA30,1,MC,14,1,0,,,,,,,1,森友　宏幸,2025-05-15,0,161-403CA30,2021/06/01,1.0
161-403CA38,1,MC,14,1,0,,,,,,,1,森友　宏幸,2025-05-15,0,161-403CA38,2021/06/01,1.0
161-403CB30,1,MCW,14,1,0,,,,,,,1,森友　宏幸,2025-05-15,0,161-403CB30,2025/01/29,1.0
161-403CB38,1,MCW,14,1,0,,,,,,,1,森友　宏幸,2025-05-15,0,161-403CB38,2025/08/01,1.0
161-403DB38,1,MCW,14,1,0,,,,,,,1,森友　宏幸,2025-05-15,0,161-403DB38,2025/09/10,1.0
161-403HB38,1,MCW,14,1,0,,,,,,,1,森友　宏幸,2025-05-15,0,161-403HB38,2024/12/04,1.0
161-404AAC,1,MC,4,1,0,,,,,,,1,初崎　和広,2024-03-07,0,161-404AAC,2025/01/29,1.0
1631-111AA,1,MC,4,1,0,,,,,,,1,森友　宏幸,2025-05-15,0,1631-111AA,2025/08/01,1.0
1631-111BA,1,MC,4,1,0,,,,,,,1,森友　宏幸,2025-05-15,0,1631-111BA,2025/08/01,1.0
1631-111CA,1,MC,0,1,0,,,,,,,1,森友　宏幸,2025-05-15,0,1631-111CA,2025/04/10,1.0
1631-111DA,1,MC,0,1,0,,,,,,,1,森友　宏幸,2025-05-15,0,1631-111DA,2025/04/10,1.0
1631-111EA,1,MC,0,1,0,,,,,,,1,森友　宏幸,2025-05-15,0,1631-111EA,2024/07/29,1.0
1631-111FA,1,MC,0,1,0,,,,,,,1,森友　宏幸,2025-05-15,0,1631-111FA,2024/07/29,1.0
