No,完成部番,単位数分子,単位数分母,前工程
6,105-420BB48,1.0,1.0,SKD323270
5,00-1090AA30,55.0,1000.0,SUJ3038068
6,00-1090AA30,1.0,1.0,S6H3822
5,00-1090GA30,200.0,1000.0,SUJ3019019
6,00-1090GA30,1.0,1.0,S191960
5,00-1113D34,133.0,1000.0,SKD11032072
6,00-1113D34,1.0,1.0,SKD7B3270
5,2.4PS-MB1AA30,77.0,1000.0,SKD11035067
6,2.4PS-MB1AA30,1.0,1.0,SKD6G3540
5,2.4PS-MB1AA32,87.0,1000.0,SKD11035067
6,2.4PS-MB1AA32,1.0,1.0,SKD6G3545
5,2.4PS-MY3AA30,108.0,1000.0,SKD11040082
6,2.4PS-MY3AA30,1.0,1.0,SKD8B4040
5,2.4PS-MY4AA30,140.0,1000.0,SKD11050085
6,2.4PS-MY4AA30,1.0,1.0,SKD8E5040
4,2.4S-DB1,61.0,1000.0,SKD11030055
5,2.4S-DB1,1.0,1.0,SKD5E3045
6,2.4S-DB1,1.0,1.0,2.4S-MB1
4,2.4S-DY130,53.0,1000.0,SKD11025067
5,2.4S-DY130,1.0,1.0,SKD6G2538
6,2.4S-DY130,1.0,1.0,2.4S-MY130
4,2.4S-DY330,53.0,1000.0,SKD11025067
5,2.4S-DY330,1.0,1.0,SKD6G2538
6,2.4S-DY330,1.0,1.0,2.4S-MY130
4,224-512AA33-L,68.0,1000.0,SKD11035067
5,224-512AA33-L,1.0,1.0,SKD6G3535
6,224-512AA33-L,1.0,1.0,LPJNY-MY2AA33
3,224-513AA33-L,79.0,1000.0,SKD11027067
4,224-513AA33-L,1.0,1.0,SKD6G2753
5,224-513AA33-L,1.0,1.0,LPJNY-MY3AA33
6,224-513AA33-L,1.0,1.0,LPJNY-DY3AA33
3,224-514AA33-L,106.0,1000.0,SKD11035067
4,224-514AA33-L,1.0,1.0,SKD6G3555
5,224-514AA33-L,1.0,1.0,LPJNY-MY4AA33
6,224-514AA33-L,1.0,1.0,LPJNY-DY4AA33
4,2FAC-DB1,70.0,1000.0,SKD11030055
5,2FAC-DB1,1.0,1.0,SKD5E3050
6,2FAC-DB1,1.0,1.0,2FAC-MB1
4,2FAC-DB1A,79.0,1000.0,SKD11027067
5,2FAC-DB1A,1.0,1.0,SKD6G2753
6,2FAC-DB1A,1.0,1.0,2FAC-MB1A
4,2FAC-DB1D,70.0,1000.0,SKD11030055
5,2FAC-DB1D,1.0,1.0,SKD5E3050
6,2FAC-DB1D,1.0,1.0,2FAC-MB1D
4,2FAC-DY1AA32,87.0,1000.0,SKD11035067
5,2FAC-DY1AA32,1.0,1.0,SKD6G3545
6,2FAC-DY1AA32,1.0,1.0,2FAC-MY1AA32
4,2FAC-DY1AA38,87.0,1000.0,SKD11035067
5,2FAC-DY1AA38,1.0,1.0,SKD6G3545
6,2FAC-DY1AA38,1.0,1.0,2FAC-MY1AA38
4,2FAC-DY3AA32,86.0,1000.0,SKD11029082
5,2FAC-DY3AA32,1.0,1.0,SKD8B2944
6,2FAC-DY3AA32,1.0,1.0,2FAC-MY3AA32
5,2FAC-MY3B32,86.0,1000.0,SKD11029082
6,2FAC-MY3B32,1.0,1.0,SKD8B2944
4,2FA-DC1B,55.0,1000.0,SKD11025055
5,2FA-DC1B,1.0,1.0,SKD5E2548
6,2FA-DC1B,1.0,1.0,2FA-MC1B
4,2FA-DY1,59.0,1000.0,SKD11022067
5,2FA-DY1,1.0,1.0,SKD6G2248
6,2FA-DY1,1.0,1.0,2FA-MY1
4,2FA-DY3,63.0,1000.0,SKD11021082
5,2FA-DY3,1.0,1.0,SKD8B2144
6,2FA-DY3,1.0,1.0,2FA-MY3
