No,完成部番,単位数分子,単位数分母,前工程
6,00-1073D,1.0,1.0,PL-00-1073D
5,RE-SPL-17.19,1.0,1.0,HT-SPS-17A
6,RE-SPL-17.19,1.0,1.0,SPS-17A
5,11-206A,1.0,1.0,M-11-206A
6,11-206A,1.0,1.0,HT-11-206A
5,11-206E,1.0,1.0,M-11-206E
6,11-206E,1.0,1.0,HT-11-206E
5,11-206F,1.0,1.0,M-11-206F
6,11-206F,1.0,1.0,HT-11-206F
5,11-206G,1.0,1.0,M-11-206G
6,11-206G,1.0,1.0,HT-11-206G
5,11-206H,1.0,1.0,M-11-206H
6,11-206H,1.0,1.0,HT-11-206H
6,165-204EA-3A,1.0,1.0,PA-165-204EA-3A
6,165-209AA,1.0,1.0,M-165-209AA
6,165-209BA,1.0,1.0,M-165-209BA
6,K-17707KB,1.0,1.0,PL-K-17707KB
6,K-19012AG,1.0,1.0,MC-K-19012AG
6,K-19012BG,1.0,1.0,MC-K-19012BG
6,K-22206,1.0,1.0,PL-K-22206
6,K-22207,1.0,1.0,PL-K-22207
6,K-22208,1.0,1.0,PL-K-22208
6,K-22209,1.0,1.0,PL-K-22209
6,K-29606AA,1.0,1.0,PL-K-29606AA
6,K-29607AA,1.0,1.0,PL-K-29607AA
6,K-29608AA,1.0,1.0,PL-K-29608AA
6,K-29609AA,1.0,1.0,PL-K-29609AA
6,165-209CA,1.0,1.0,M-165-209CA
6,165-209DA,1.0,1.0,M-165-209DA
5,165-209EA,1.0,1.0,M-165-209EA
6,165-209EA,1.0,1.0,HT-165-209EA
5,165-209FA,1.0,1.0,M-165-209FA
6,165-209FA,1.0,1.0,HT-165-209FA
5,165-209GA,1.0,1.0,M-165-209GA
6,165-209GA,1.0,1.0,HT-165-209GA
5,165-209HA,1.0,1.0,M-165-209HA
6,165-209HA,1.0,1.0,HT-165-209HA
5,165-209JA,1.0,1.0,M-165-209JA
6,165-209JA,1.0,1.0,HT-165-209JA
5,165-209KA,1.0,1.0,M-165-209KA
6,165-209KA,1.0,1.0,HT-165-209KA
5,K-22210,1.0,1.0,SW-K-29610AA
6,K-22210,1.0,1.0,NC-K-22210-NC-FINISH
5,K-29610AA,1.0,1.0,SW-K-29610AA
6,K-29610AA,1.0,1.0,NC-K-29610AA-NC-FINISH
5,11-206J,1.0,1.0,M-11-206J
6,11-206J,1.0,1.0,HT-11-206J
5,11-206B,1.0,1.0,M-11-206B
6,11-206B,1.0,1.0,HT-11-206B
5,11-206C,1.0,1.0,M-11-206C
6,11-206C,1.0,1.0,HT-11-206C
5,11-206D,1.0,1.0,M-11-206D
6,11-206D,1.0,1.0,HT-11-206D
4,K-22205,1.0,1.0,MC-K-22205
5,K-22205,1.0,1.0,SL-K-22205
6,K-22205,1.0,1.0,PL-K-22205
4,K-29605BA,1.0,1.0,MC-K-29605BA
5,K-29605BA,1.0,1.0,SL-K-29605BA
6,K-29605BA,1.0,1.0,PL-K-29605BA
4,K-22205EA,1.0,1.0,MC-K-22205EA
5,K-22205EA,1.0,1.0,SL-K-22205EA
6,K-22205EA,1.0,1.0,PL-K-22205EA
6,12-224C,1.0,1.0,PL-12-224C
4,KD53-00501AA,1.0,1.0,MC-KD53-00501AA
5,KD53-00501AA,1.0,1.0,SL-KD53-00501AA
6,KD53-00501AA,1.0,1.0,PL-KD53-00501AA
4,K-22205A,1.0,1.0,MC-K-22205A
5,K-22205A,1.0,1.0,SL-K-22205A
6,K-22205A,1.0,1.0,PL-K-22205A
6,5128-607AA33,1.0,1.0,COM-5128-607AA33
