HMCD,SEQ,KTSEQ,KTCD,SRCD,SGNCD,DDTIME,SGTIME,LDTIME,SRPRICE,CSBCD,SUPCLSCD,SUPCD,RCVTSTKBN,RCVCHKKBN
00-1160AA,1,10,MC,,,0,0,15,0.0,13,5,,1,1
00-1160AA,2,20,PEFIN,,,0,0,0,0.0,10,5,,2,2
100-276B,1,10,L,3990,,0,0,30,6500.0,13,5,,1,1
100-276B,2,20,PEFIN,,,0,0,0,0.0,10,5,,2,2
100-609JB4,1,10,PA,1515,,0,0,0,315.0,13,5,,1,1
100-609JB4,2,20,PEFIN,,,0,0,0,0.0,10,5,,2,2
12-224C,1,10,PL,3861,,0,0,25,120.0,13,5,,1,1
12-224C,2,20,PEFIN,,,0,0,0,0.0,10,5,,2,2
1355-420AA,1,10,PA,1515,,0,0,0,300.0,13,5,,1,1
1355-420AA,2,20,PEFIN,,,0,0,0,0.0,10,5,,2,2
1631-141BA,1,10,PA,1515,,0,0,15,1515.0,13,5,,1,1
1631-141BA,2,20,PEFIN,,,0,0,0,0.0,10,5,,2,2
165-250EA,1,10,PL,,,0,0,30,0.0,13,5,,1,1
165-250EA,2,20,PEFIN,,,0,0,0,0.0,10,5,,2,2
2172-204AA,1,10,MC,3993,,0,0,0,35000.0,13,5,,1,1
2172-204AA,2,20,PA,3406,,0,0,0,3500.0,13,5,,1,1
2172-204AA,3,30,PEFIN,,,0,0,0,0.0,10,5,,2,2
2172-205AA,1,10,MC,3993,,0,0,0,35000.0,13,5,,1,1
2172-205AA,2,20,PA,3406,,0,0,0,3500.0,13,5,,1,1
2172-205AA,3,30,PEFIN,,,0,0,0,0.0,10,5,,2,2
2172-276AA,1,10,PA,1515,,0,0,75,115.0,13,5,,1,1
2172-276AA,2,20,PEFIN,,,0,0,0,0.0,10,5,,2,2
2172-276BA,1,10,PA,1515,,0,0,75,115.0,13,5,,1,1
2172-276BA,2,20,PEFIN,,,0,0,0,0.0,10,5,,2,2
2172-277AA,1,10,PA,1515,,0,0,75,195.0,13,5,,1,1
2172-277AA,2,20,PEFIN,,,0,0,0,0.0,10,5,,2,2
220-680-B,1,10,PL,3861,,0,0,20,60.0,13,5,,1,1
220-680-B,2,20,PEFIN,,,0,0,0,0.0,10,5,,2,2
225-680-A,1,10,PL,3861,,0,0,20,50.0,13,5,,1,1
225-680-A,2,20,PEFIN,,,0,0,0,0.0,10,5,,2,2
225-681-A,1,10,PL,3861,,0,0,20,180.0,13,5,,1,1
225-681-A,2,20,PEFIN,,,0,0,0,0.0,10,5,,2,2
225-681-B,1,10,PL,3861,,0,0,20,50.0,13,5,,1,1
225-681-B,2,20,PEFIN,,,0,0,0,0.0,10,5,,2,2
90-231S,1,10,MC,3994,,0,0,0,380.0,13,5,,1,1
90-231S,2,20,PA,3994,,0,0,0,263.0,13,5,,1,1
90-231S,3,30,PEFIN,,,0,0,0,0.0,10,5,,2,2
E-19001FB,1,10,PA,1515,,0,0,0,300.0,13,5,,1,1
E-19001FB,2,20,PEFIN,,,0,0,0,0.0,10,5,,2,2
E-5304,1,10,MC,,,0,0,50,0.0,13,5,,1,1
E-5304,2,20,PEFIN,,,0,0,0,0.0,10,5,,2,2
G-2924BA,1,10,PA,1515,,0,0,23,170.0,13,5,,1,1
G-2924BA,2,20,PEFIN,,,0,0,0,0.0,10,5,,2,2
G-3515J,1,10,MC,1380,,0,0,0,2000.0,13,5,,1,1
G-3515J,2,20,PEFIN,,,0,0,0,0.0,10,5,,2,2
G-3801H,1,10,MC,1978,,0,0,5,3500.0,13,5,,1,1
G-3801H,2,20,PA,1515,,0,0,5,255.0,13,5,,1,1
G-3801H,3,30,PEFIN,,,0,0,0,0.0,10,5,,2,2
K-14901,1,10,MC,1205,,0,0,0,11000.0,13,5,,1,1
K-14901,2,20,PA,1515,,0,0,0,362.0,13,5,,1,1
K-14901,3,30,PEFIN,,,0,0,0,0.0,10,5,,2,2
K-17301GA,1,10,MC,3994,,0,0,25,7500.0,13,5,,1,1
K-17301GA,2,20,PA,1515,,0,0,25,515.0,13,5,,1,1
K-17301GA,3,30,PEFIN,,,0,0,0,0.0,10,5,,2,2
K-19001GA,1,10,PL,,,0,0,75,0.0,13,5,,1,1
K-19001GA,2,20,PEFIN,,,0,0,0,0.0,10,5,,2,2
K-22210,1,10,SW,3253,,0,0,60,5.9,13,5,,1,1
K-22210,2,20,NC,2829,,0,0,60,680.0,13,5,,1,1
K-22210,3,30,PEFIN,,,0,0,0,0.0,10,5,,2,2
K-24913AB,1,10,MC,PT,,0,0,40,1.0,13,5,,1,1
K-24913AB,2,20,PEFIN,,,0,0,0,0.0,10,5,,2,2
K-25102DA,1,10,WE,1592,,0,0,0,5000.0,13,5,,1,1
K-25102DA,2,20,PEFIN,,,0,0,0,0.0,10,5,,2,2
K-26719EA,1,10,PA,1515,,0,0,40,683.0,13,5,,1,1
K-26719EA,2,20,PEFIN,,,0,0,0,0.0,10,5,,2,2
K-29610AA,1,10,SW,3253,,0,0,70,5.9,13,5,,1,1
K-29610AA,2,20,NC,2829,,0,0,70,714.0,13,5,,1,1
K-29610AA,3,30,PEFIN,,,0,0,0,0.0,10,5,,2,2
KA65-00101AA,1,10,AO,3956,,0,0,23,300.0,13,6,,1,1
KA65-00101AA,2,20,PL,3733,,0,0,23,18.0,13,5,,1,1
KA65-00101AA,3,30,PEFIN,,,0,0,0,0.0,10,5,,2,2
KF20-01313EA1240,1,10,L,3254,,0,0,30,210.0,13,5,,1,1
KF20-01313EA1240,2,20,AO,3070,,0,0,30,9000.0,13,6,,1,1
KF20-01313EA1240,3,30,PEFIN,,,0,0,0,0.0,10,5,,2,2
KF20-02229AA,1,10,PL,3861,,0,0,20,120.0,13,5,,1,1
KF20-02229AA,2,20,PEFIN,,,0,0,0,0.0,10,5,,2,2
KF20-08304AC,1,10,PL,3861,,0,0,40,200.0,13,5,,1,1
KF20-08304AC,2,20,PEFIN,,,0,0,0,0.0,10,5,,2,2
KF43-00101AA,1,10,HT,1092,,0,0,0,13500.0,13,5,,1,1
KF43-00101AA,2,20,GA,3400,,0,0,0,55000.0,13,5,,1,1
KF43-00101AA,3,30,PA,3406,,0,0,0,7500.0,13,5,,1,1
KF43-00101AA,4,40,PEFIN,,,0,0,0,0.0,10,5,,2,2
KF43-00102AA,1,10,PA,3406,,0,0,20,3800.0,13,5,,1,1
KF43-00102AA,2,20,PEFIN,,,0,0,0,0.0,10,5,,2,2
KF43-00103AA,1,10,PA,3406,,0,0,20,2500.0,13,5,,1,1
KF43-00103AA,2,20,PEFIN,,,0,0,0,0.0,10,5,,2,2
KF43-00103BA,1,10,PA,3406,,0,0,0,2500.0,13,5,,1,1
KF43-00103BA,2,20,PEFIN,,,0,0,0,0.0,10,5,,2,2
KF43-00201AA,1,10,PA,3406,,0,0,20,3500.0,13,5,,1,1
KF43-00201AA,2,20,PEFIN,,,0,0,0,0.0,10,5,,2,2
KF43-00202AA,1,10,PA,3406,,0,0,20,3800.0,13,5,,1,1
KF43-00202AA,2,20,PEFIN,,,0,0,0,0.0,10,5,,2,2
KF77-00402BA,1,10,PL,9999,,0,0,0,1800.0,13,5,,1,1
KF77-00402BA,2,20,PEFIN,,,0,0,0,0.0,10,5,,2,2
LU-2004BA,1,10,PL,3861,,0,0,15,50.0,13,5,,1,1
LU-2004BA,2,20,PEFIN,,,0,0,0,0.0,10,5,,2,2
SPL-1987AA,1,10,PL,3861,,0,0,30,150.0,13,5,,1,1
SPL-1987AA,2,20,PEFIN,,,0,0,0,0.0,10,5,,2,2
SPL-1987MA,1,10,PL,3861,,0,0,30,150.0,13,5,,1,1
SPL-1987MA,2,20,PEFIN,,,0,0,0,0.0,10,5,,2,2
SPL-2249BA,1,10,PL,3297,,0,0,5,80.0,13,5,,1,1
SPL-2249BA,2,20,PEFIN,,,0,0,0,0.0,10,5,,2,2
SPL-2357AA,1,10,PL,3861,,0,0,20,2000.0,13,5,,1,1
SPL-2357AA,2,20,PEFIN,,,0,0,0,0.0,10,5,,2,2
SPL-2357DA,1,10,PL,3861,,0,0,20,100.0,13,5,,1,1
SPL-2357DA,2,20,PEFIN,,,0,0,0,0.0,10,5,,2,2
SPL-2388BA,1,10,PL,1973,,0,0,0,200.0,13,5,,1,1
SPL-2388BA,2,20,PEFIN,,,0,0,0,0.0,10,5,,2,2
SPL-2388BB,1,10,PL,1973,,0,0,0,300.0,13,5,,1,1
SPL-2388BB,2,20,PEFIN,,,0,0,0,0.0,10,5,,2,2
SPL-2456CB,1,10,L2,3994,,0,0,50,13800.0,13,5,,1,1
SPL-2456CB,2,20,TH,3052,,0,0,50,25960.0,13,5,,1,1
SPL-2456CB,3,30,PEFIN,,,0,0,0,0.0,10,5,,2,2
YS65-13804CA,1,10,PL,3861,,0,0,90,40.0,13,5,,1,1
YS65-13804CA,2,20,PEFIN,,,0,0,0,0.0,10,5,,2,2
