区分コード,完成部番,単位数分子1,単位数分母1,前工程1,単位数分子2,単位数分母2,前工程2,単位数分子3,単位数分母3,前工程3,単位数分子4,単位数分母4,前工程4,単位数分子5,単位数分母5,前工程5,単位数分子6,単位数分母6,前工程6
2,00-1143AA300,1,1,MA-00-1143AA300,0,0,,0,0,,0,0,,0,0,,0,0,
2,00-1143AA303,1,1,MA-00-1143AA303,0,0,,0,0,,0,0,,0,0,,0,0,
2,00-1143AA306,1,1,MA-00-1143AA306,0,0,,0,0,,0,0,,0,0,,0,0,
W,00-771D,1,1,MA-00-771D,0,0,,0,0,,0,0,,0,0,,0,0,
2,100-210C,1,1,MA-100-210C,0,0,,0,0,,0,0,,0,0,,0,0,
2,100-210CS,1,1,MA-100-210C,0,0,,0,0,,0,0,,0,0,,0,0,
2,100-211B,1,1,MA-100-211B,0,0,,0,0,,0,0,,0,0,,0,0,
3,100-213,1,1,MA-100-213,0,0,,0,0,,0,0,,0,0,,0,0,
3,100-213CA,1,1,MA-100-213CA,0,0,,0,0,,0,0,,0,0,,0,0,
T,100-249,1,25,MA-100-249,0,0,,0,0,,0,0,,0,0,,0,0,
T,100-261CA1333,1,3,MA-100-261CA1333,0,0,,0,0,,0,0,,0,0,,0,0,
2,100-272,1,1,MA-100-272,0,0,,0,0,,0,0,,0,0,,0,0,
2,100-272DA,1,1,MA-100-272DA,0,0,,0,0,,0,0,,0,0,,0,0,
Q,100-304-240,1,1,MA-100-304-240,0,0,,0,0,,0,0,,0,0,,0,0,
Q,100-304-270,1,1,MA-100-304-270,0,0,,0,0,,0,0,,0,0,,0,0,
Q,100-304-280,1,1,MA-100-304-280,0,0,,0,0,,0,0,,0,0,,0,0,
W,100-306,1,1,MA-100-306,0,0,,0,0,,0,0,,0,0,,0,0,
G,101-116C,1,1,MA-101-116C,0,0,,0,0,,0,0,,0,0,,0,0,
Q,103-304-270,1,1,MA-103-304-270,0,0,,0,0,,0,0,,0,0,,0,0,
3,105-213AA,1,1,MA-105-213AA,0,0,,0,0,,0,0,,0,0,,0,0,
3,105-213CA,1,1,MA-105-213CA,0,0,,0,0,,0,0,,0,0,,0,0,
W,110-306,1,1,MA-110-306,0,0,,0,0,,0,0,,0,0,,0,0,
W,110-443,1,1,MA-110-443,0,0,,0,0,,0,0,,0,0,,0,0,
W,110-446,1,1,MA-110-446,0,0,,0,0,,0,0,,0,0,,0,0,
G,11-126,1,1,MA-11-126,0,0,,0,0,,0,0,,0,0,,0,0,
2,1151-232AA0280,1,1,MA-1151-232AA0280,0,0,,0,0,,0,0,,0,0,,0,0,
3,115-204BB,1,1,MA-115-204BB,0,0,,0,0,,0,0,,0,0,,0,0,
2,115-204CC,1,1,MA-115-204CC,0,0,,0,0,,0,0,,0,0,,0,0,
3,115-205BB,1,1,MA-115-205BB,0,0,,0,0,,0,0,,0,0,,0,0,
2,115-205CC,1,1,MA-115-205CC,0,0,,0,0,,0,0,,0,0,,0,0,
R,12-112E,1,1,MA-12-112E,0,0,,0,0,,0,0,,0,0,,0,0,
W,1231-122CA,1,1,MA-1231-122CA,0,0,,0,0,,0,0,,0,0,,0,0,
W,1231-310AA,1,1,MA-1231-310AA,0,0,,0,0,,0,0,,0,0,,0,0,
W,1231-310BA,1,1,MA-1231-310BA,0,0,,0,0,,0,0,,0,0,,0,0,
L,12-319A,1,1,MA-12-319A,0,0,,0,0,,0,0,,0,0,,0,0,
L,12-319C,1,1,MA-12-319C,0,0,,0,0,,0,0,,0,0,,0,0,
W,12-365BB,1,1,MA-12-365BB,0,0,,0,0,,0,0,,0,0,,0,0,
W,12-365EA,1,1,MA-12-365EA,0,0,,0,0,,0,0,,0,0,,0,0,
L,12-426HSR,1,1,MA-12-426HSR,0,0,,0,0,,0,0,,0,0,,0,0,
W,12-451,1,1,MA-12-451,0,0,,0,0,,0,0,,0,0,,0,0,
2,12-468DB,1,1,MA-12-468DB,0,0,,0,0,,0,0,,0,0,,0,0,
G,12-469T,1,1,MA-12-469T,0,0,,0,0,,0,0,,0,0,,0,0,
G,12-477B,1,1,MA-12-477B,0,0,,0,0,,0,0,,0,0,,0,0,
G,12-477F,1,1,MA-12-477F,0,0,,0,0,,0,0,,0,0,,0,0,
R,12-478AN,1,1,MA-12-478AN,0,0,,0,0,,0,0,,0,0,,0,0,
G,12-478AQ,1,1,MA-12-478AQ,0,0,,0,0,,0,0,,0,0,,0,0,
Q,1251-446CA,1,1,MA-1251-446CA,0,0,,0,0,,0,0,,0,0,,0,0,
Q,1251-446DA,1,1,MA-1251-446DA,0,0,,0,0,,0,0,,0,0,,0,0,
D,130-106CA,1,1,MA-130-106CA,0,0,,0,0,,0,0,,0,0,,0,0,
U,130-430AA20,1,1,MA-130-430AA20,0,0,,0,0,,0,0,,0,0,,0,0,
W,130-482AA,1,1,MA-130-482AA,0,0,,0,0,,0,0,,0,0,,0,0,
W,13-114,1,1,MA-13-114,0,0,,0,0,,0,0,,0,0,,0,0,
L,1331-213GA,1,1,MA-1331-213GA,0,0,,0,0,,0,0,,0,0,,0,0,
L,1332-710BA,1,1,MA-1332-710BA,0,0,,0,0,,0,0,,0,0,,0,0,
W,13-458C,1,1,MA-13-458C,0,0,,0,0,,0,0,,0,0,,0,0,
W,13-458D,1,1,MA-13-458D,0,0,,0,0,,0,0,,0,0,,0,0,
W,13-480CB,1,1,MA-13-480CB,0,0,,0,0,,0,0,,0,0,,0,0,
W,13-480FA,1,1,MA-13-480FA,0,0,,0,0,,0,0,,0,0,,0,0,
G,1535-444AA,1,1,MA-1535-444AA,0,0,,0,0,,0,0,,0,0,,0,0,
L,161-438AA,1,1,MA-161-438AA,0,0,,0,0,,0,0,,0,0,,0,0,
W,161-443DA30,1,1,MA-161-443DA30,0,0,,0,0,,0,0,,0,0,,0,0,
L,161-481AA30,1,1,MA-161-481AA30,0,0,,0,0,,0,0,,0,0,,0,0,
G,162-120AA30-4,1,1,MA-162-120AA30-4,0,0,,0,0,,0,0,,0,0,,0,0,
2,165-232AA0490,1,1,MA-165-232AA0490,0,0,,0,0,,0,0,,0,0,,0,0,
2,165-232AA0700,1,1,MA-165-232AA0700,0,0,,0,0,,0,0,,0,0,,0,0,
2,165-232AA0800,1,1,MA-165-232AA0800,0,0,,0,0,,0,0,,0,0,,0,0,
2,165-232AA1081,1,1,MA-165-232AA1081,0,0,,0,0,,0,0,,0,0,,0,0,
2,165-232AA1150,1,1,MA-165-232AA1150,0,0,,0,0,,0,0,,0,0,,0,0,
2,165-232AA1333,1,1,MA-165-232AA1333,0,0,,0,0,,0,0,,0,0,,0,0,
2,165-232AA1531,1,1,MA-165-232AA1531,0,0,,0,0,,0,0,,0,0,,0,0,
2,165-232AA1680,1,1,MA-165-232AA1680,0,0,,0,0,,0,0,,0,0,,0,0,
L,1751-420AC17,1,1,MA-1751-420AC17,0,0,,0,0,,0,0,,0,0,,0,0,
L,1751-420AC24,1,1,MA-1751-420AC24,0,0,,0,0,,0,0,,0,0,,0,0,
G,19B-444DA,1,1,MA-19B-444DA,0,0,,0,0,,0,0,,0,0,,0,0,
2,20-275BHB,1,1,MA-20-275BHB,0,0,,0,0,,0,0,,0,0,,0,0,
W,225-666B,1,1,MA-225-666B,0,0,,0,0,,0,0,,0,0,,0,0,
L,267-651,1,1,MA-267-651,0,0,,0,0,,0,0,,0,0,,0,0,
U,274-502AA,1,1,MA-274-502AA,0,0,,0,0,,0,0,,0,0,,0,0,
D,283-610AA33,1,1,MA-283-610AA33,0,0,,0,0,,0,0,,0,0,,0,0,
U,3120-605AA,1,1,MA-3120-605AA,0,0,,0,0,,0,0,,0,0,,0,0,
U,3139-605AA,1,1,MA-3139-605AA,0,0,,0,0,,0,0,,0,0,,0,0,
U,3237-508AA26,1,1,MA-3237-508AA26,0,0,,,,,,,,,,,,,
U,354-631,1,1,MA-354-631,0,0,,0,0,,0,0,,0,0,,0,0,
U,3662-662AC,1,1,MA-3662-662AC,0,0,,,,,,,,,,,,,
U,4104-607AA,1,1,MA-4104-607AA,0,0,,0,0,,0,0,,0,0,,0,0,
U,4104-607AB,1,1,MA-4104-607AB,0,0,,0,0,,0,0,,0,0,,0,0,
L,5207-641AB,1,1,MA-5207-641AB,0,0,,0,0,,0,0,,0,0,,0,0,
U,521-607BA,1,1,MA-521-607BA,0,0,,0,0,,0,0,,0,0,,0,0,
U,600-507AB30,1,1,MA-600-507AB30,0,0,,,,,,,,,,,,,
U,600-507BB30,1,1,MA-600-507BB30,0,0,,,,,,,,,,,,,
U,603-605KA,1,1,MA-603-605KA,0,0,,0,0,,0,0,,0,0,,0,0,
U,603-605L,1,1,MA-603-605L,0,0,,0,0,,0,0,,0,0,,0,0,
