区分コード,完成部番,単位数分子1,単位数分母1,前工程1,単位数分子2,単位数分母2,前工程2,単位数分子3,単位数分母3,前工程3,単位数分子4,単位数分母4,前工程4,単位数分子5,単位数分母5,前工程5,単位数分子6,単位数分母6,前工程6
W,00-757D,1.0,1,PA-00-757D,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
W,00-757GA,1.0,1,PA-00-757GA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
G,00-918BA,1.0,1,FPP-16-002AA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
G,00-918CA,1.0,1,FPP-16-002BA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
L,100-105-3-120,12.0,100,100-105-3,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
L,100-105-3-160,16.0,100,100-105-3,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
L,100-105-3-220,22.0,100,100-105-3,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
2,100-201E0290,1.0,1,AO-100-201E0290,1.0,1.0,L-100-201E0290,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
2,100-202EC0290,1.0,1,AO-100-202EC0290,1.0,1.0,L-100-202EC0290,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
2,100-202F0290,1.0,1,AO-100-202F0290,1.0,1.0,L-100-202F0290,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
3,100-226CA,1.0,5,SS400-100X400X36.7,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
2,100-270EA0490-1,1.0,1,L-100-270EA0490-1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
2,100-270EA0700-1,1.0,1,L-100-270EA0700-1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
2,100-270EA0800-1,1.0,1,L-100-270EA0800-1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
2,100-270EA0930-1,1.0,1,L-100-270EA0930-1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
2,100-270EA1081-1,1.0,1,L-100-270EA1081-1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
2,100-270EA1150-1,1.0,1,L-100-270EA1150-1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
2,100-270EA1240-1,1.0,1,L-100-270EA1240-1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
2,100-270EA1333-1,1.0,1,L-100-270EA1333-1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
2,100-270EA1411-1,1.0,1,L-100-270EA1411-1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
2,100-270EA1531-1,1.0,1,L-100-270EA1531-1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
2,100-270EA1587-1,1.0,1,L-100-270EA1587-1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
2,100-270EA1680-1,1.0,1,L-100-270EA1680-1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
2,100-271EA,1.0,1,PL-100-271EA,1.0,1.0,L-100-271EA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
W,100-609GA,1.0,1,PA-100-609GA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
D,103-482,1.0,1,PL-103-482,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
Q,105-303BA08038,1.0,1,SL-105-303BA08038,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
W,110-469,1.0,1,L2-110-469,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
2,1151-201AA0280,1.0,1,L-1151-201AA0280,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
2,1151-202AA0280,1.0,1,L-1151-202AA0280,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
2,1151-202BA0280,1.0,1,L-1151-202BA0280,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
W,130-422AA22,1.0,1,HT-130-422AA22,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
L,1331-105-9CW38,1.0,1,PA-1331-105-9CW38,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
L,1331-12A01BA38,1.0,1,PA-1331-12A01BA38,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
W,150-437B,1.0,1,PA-150-437B,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
G,162-120AA30,1.0,1,PA-162-120AA30,1.0,1.0,MA-162-120AA30,1.0,1.0,SMA-162-120AA30,0.0,0.0,,0.0,0.0,,0.0,0.0,
D,162-120BA26,1.0,1,PA-162-120BA26,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
L,162-307KA,1.0,1,PA-162-307KA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
G,1731-12A01BA18,1.0,1,PA-1731-12A01BA18,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
L,19B-111NB,1.0,1,PL-19B-111NB,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
R,3501-61051AA30,1.0,1,PA-3501-61051AA30,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
R,3501-61051BA30,1.0,1,PA-3501-61051BA30,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
G,3501-66052BA30,1.0,1,PA-3501-66052BA30,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
G,3501-66053EB30,1.0,1,PA-3501-66053EB30,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
G,3501-66053FA30,1.0,1,PA-3501-66053FA30,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
W,358-503,1.0,1,PA-358-503,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
G,5202-545AA,1.0,1,PL-5202-545AA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
E,582-503C,1.0,1,S50C-6.35X120X390,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
W,603-609B,1.0,1,PA-603-609B,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
U,700-579B,1.0,1,NC-700-579B,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
U,720-605B,1.0,1,HT-720-605B,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
L,720-607BA,1.0,1,720-607BA-1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
S,90-305,1.0,1,PL-90-305,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
U,960-578BA,1.0,1,NC-960-578BA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
G,CMS-46A,1.0,1,MB-757-0-A009,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
W,DC-5808BA,1.0,1,PA-DC-5808BA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
W,DC-5812BA,1.0,1,PA-DC-5812BA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
G,DC-7110GA21,1.0,1,PA-DC-7110GA21,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
G,DC-7110GB21,1.0,1,PA-DC-7110GB21,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
G,DC-7110GC21,1.0,1,PA-DC-7110GC21,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
G,DC-7110GD21,1.0,1,PA-DC-7110GD21,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
G,DC-7110HA30,1.0,1,PA-DC-7110HA30,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
L,DC-757UVB,1.0,1,AO-DC-757UVB,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
L,E-16752D,1.0,1,MV-E-16752D,1.0,1.0,E-16764C,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
W,E-16764E,1.0,1,E-16764C,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
W,E-16764F,1.0,1,E-16764C,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
D,E-26816DA,1.0,1,PL-E-26816DA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
Q,E-26820EA38,1.0,1,S45C-20X130X200,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
K,EF80-00102AA,1.0,1,E-16764C,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
G,EF80-00701BA,1.0,1,PL-EF80-00701BA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,ES64-004UA,1.0,1,JU-ES64-00110CA,1.0,1.0,H0-ES64-00110CA,1.0,1.0,PL-ES64-00110CA,1.0,1.0,YO-ES64-00110CA,1.0,1.0,ES64-00110CA,0.0,0.0,
G,G-3001VH38,1.0,1,AO-G-3001VH38,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
Q,G-5108BB,1.0,1,G-5108BB-1,1.0,1.0,G-5108BB-2,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
Q,G-5112AJ,1.0,1,SL-G-5112AJ,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
W,G-9501AC,1.0,1,PA-G-9501AC,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
D,GP-121AA,1.0,1,GP-74,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
L,GR-KF30-00904AA,1.0,1,HT-KF30-00904AA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,K-12405,1.0,1,MV-K-12405,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,K-12405B,1.0,1,MV-K-12405B,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
