No.,記入日,記入者,発注部番（数字・ｶﾀｶﾅは半角）,品名（数字・ｶﾀｶﾅは半角）,個数,単価,納期（必須）,工具受領日,業者コード,業者名略称,合計金額,備考,注文書発行日,注文番号,検収日,部品注文番号／組立番号／製作依頼番号,完成部番,比率（分子（素材））,比率（分母（完成部番））,備考
1 ,6/12,宮木,SKD11-7.9X50X200,SKD11 7.9(±0.02)×50(±0.1)×200(±0.1) ,66 ,"2,400",2018/6/18,済,3045,大同DMソリューション（株）,"158,400",6/12植木殿メール,2018/6/12,E3071894,2018/6/26,,,,,
2,6/12,宮木,SKD11-4.8X50X200,SKD11 4.8(±0.02)×50(±0.1)×200(±0.1) ,194,"2,350",2018/6/18,済,3315,京阪プレ－ト,"455,900",6/12植木殿メール,2018/6/12,E3071895,2018/6/27,,,,,
3,6/12,宮木,SKD11-5.8X50X200,SKD11 5.8(±0.02)×50(±0.1)×200(±0.1) ?,18,"2,440",2018/6/18,済,3315,京阪プレ－ト,"43,920",6/12植木殿メール,2018/6/12,E3071896,2018/7/10,,,,,
4,6/12,宮木,SKD11-6.0X50X200,SKD11 6.0(±0.02)×50(±0.1)×200(±0.1) ?,401,"2,070",2018/6/18,済,3315,京阪プレ－ト,"830,070",6/12植木殿メール,2018/6/12,E3071897,2018/7/12,,,,,
5,6/12,宮木,SKD11-6.15X50X200,SKD11 6.15(±0.02)×50(±0.1)×200(±0.1),18,"2,380",2018/6/18,済,3315,京阪プレ－ト,"42,840",6/12植木殿メール,2018/6/12,E3071898,2018/7/6,,,,,
6,6/12,宮木,SKD11-6.4X50X200,SKD11 6.4(±0.02)×50(±0.1)×200(±0.1) ?,19,"2,380",2018/6/18,済,3315,京阪プレ－ト,"45,220",6/12植木殿メール,2018/6/12,E3071900,2018/7/10,,,,,
7,6/14,宮木,SKD11-6.0X50X200,SKD11 6.0(±0.02)×50(±0.1)×200(±0.1) ?,40,"2,070",2018/6/18,済,3315,京阪プレ－ト,"82,800",6/14植木殿メール,2018/6/14,E3075798,2018/6/26,,,,,
8,6/20,宮木,SKD11-6.7X50X200,SKD11 6.7(±0.02)X50(±0.1)X200(±0.1) ,35,"2,380",2018/7/2,済,3315,京阪プレ－ト,"83,300",6/20植木殿メール,2018/6/20,E3085346,2018/7/10,,,,,
9,6/20,宮木,SKD11-6X50X200,SKD11 6(±0.02)X50(±0.1)X200(±0.1) ,50 ,"2,400",2018/6/28,済,3045,大同DMソリューション（株）,"120,000",6/20植木殿メール,2018/6/21,E3087520,2018/6/29,,,,,
10,6/20,宮木,SKD11-6X50X200,SKD11 6(±0.02)X50(±0.1)X200(±0.1) ,50,"2,170",2018/7/12,済,3315,京阪プレ－ト,"108,500",6/20阪本殿メール,2018/6/21,E3087521,2018/7/12,,,,,
11,6/21,宮木,SKD11-4.8X50X200,SKD11 4.8(±0.02)X50(±0.1)X200(±0.1) ,30,"2,570",2018/6/27,済,3315,京阪プレ－ト,"77,100",6/21植木殿メール,2018/6/21,E3087538,2018/6/29,,,,,
12,6/26,宮木,SK3-6X50X390,SK3 4F 6(±0.1)X50(±0.1)X390,7,"2,510",2018/6/27,済,3315,京阪プレ－ト,"17,570",6/26植木殿メール,2018/6/26,E3091463,2018/6/29,,,,,
13,6/26,宮木,SKD11-6X50X200-K,SKD11-6X50X200-K,57,500,2018/6/27,済,3415,丸万工業（株）,"28,500",6/26西原殿メール,2018/6/26,E3091464,2018/6/29,,,,,
14,6/27,宮木,SKD11-6X50X200,SKD11 6.0(±0.02)×50(±0.1)×200(±0.1) ,52,"2,400",2018/7/2,済,3045,大同DMソリューション（株）,"124,800",6/27植木殿メール,2018/6/28,E3094703,2018/7/17,,,,,
15,6/27,宮木,SKD11-6.6X50X200,SKD11 6.6(±0.02)×50(±0.1)×200(±0.1) ,55,"2,400",2018/7/2,済,3045,大同DMソリューション（株）,"132,000",6/27植木殿メール,2018/6/28,E3094704,2018/7/17,,,,,
16,6/27,宮木,SKD11-7.9X50X200,SKD11 7.9(±0.02)×50(±0.1)×200(±0.1) ,15,"2,400",2018/7/2,済,3045,大同DMソリューション（株）,"36,000",6/27植木殿メール,2018/6/28,E3094705,2018/7/17,,,,,
17,6/27,宮木,SKD11-8.4X50X200,SKD11 8.4(±0.02)×50(±0.1)×200(±0.1) ,50,"2,500",2018/7/2,済,3045,大同DMソリューション（株）,"125,000",6/27植木殿メール,2018/6/28,E3094706,2018/7/17,,,,,
18,6/29,宮木,FC250-38.5X75.6X116.7,ﾃﾞﾝｽﾊ6F38.5(±0.1)X75.6(±0.1)X116.7(±0.1),42,"2,840",2018/7/9,済,1130,（株）阪神メタリックス,"119,280",6/29阪本殿メール,2018/6/29,E3096441,2018/7/19,,,,,
19,6/29,宮木,SKD11-5.5X50X200,SKD11 5.5(±0.02)×50(±0.1)×200(±0.1) ?,35,"2,510",2018/7/12,済,3315,京阪プレ－ト,"87,850",6/29植木殿メール,2018/7/2,E3098189,2018/7/18,,,,,
20,6/29,宮木,SKD11-6X50X200,SKD11 6(±0.02)×50(±0.1)×200(±0.1) ?,35,"2,280",2018/7/12,済,3315,京阪プレ－ト,"79,800",6/29植木殿メール,2018/7/2,E3098191,2018/7/18,,,,,
21,6/29,宮木,SKD11-6.15X50X200,SKD11 6.15(±0.02)×50(±0.1)×200(±0.1) ?,15,"2,380",2018/7/12,済,3315,京阪プレ－ト,"35,700",6/29植木殿メール,2018/7/2,E3098192,2018/7/18,,,,,
22,6/29,宮木,SKD11-6.7X50X200,SKD11 6.7(±0.02)×50(±0.1)×200(±0.1) ?,35,"2,380",2018/7/12,済,3315,京阪プレ－ト,"83,300",6/29植木殿メール,2018/7/2,E3098196,2018/7/20,,,,,
23,7/2,宮木,SS400-12X18X32,SS400 12×18×32 6F,40,480,2018/7/5,済,3315,京阪プレ－ト,"19,200",7/2植木殿メール,2018/7/2,E3098235,2018/7/10,,,,,
24,7/2,宮木,SS400-16X78X129,SS400 16×78×129 6F,20,940,2018/7/5,済,3315,京阪プレ－ト,"18,800",7/2植木殿メール,2018/7/2,E3098236,2018/7/10,,,,,
25,7/4,宮木,Q7-25X25X15,非磁性超硬素材Q7-25X25X15,2,"4,500",2018/7/25,済,3999,臨時3,"9,000",7/4伏見殿メール,2018/7/5,E3106909,2018/7/17,,,,,
26,7/4,宮木,QS65-25X25X15,非磁性超硬素材QS65-25X25X15,2,"5,050",2018/7/25,済,3999,臨時3,"10,100",7/4伏見殿メール,2018/7/5,E3106910,2018/7/17,,,,,
27,7/6,宮木,SK3-4.5X80X390,SK3 4F 4.5(±0.05)X80(±0.1)X390,30,"3,030",2018/7/12,済,3315,京阪プレ－ト,"90,900",7/5万代殿メール,2018/7/6,E3109997,2018/7/18,,,,,
28,7/10,宮木,L-P100-9X256X180,L-P100-9X256X180,50,"1,000",2018/7/30,済,3415,丸万工業（株）,"50,000",7/9阪本殿メール,2018/7/10,E3116091,2018/8/17,,,,,
29,7/13,宮木,SKD11-4.8X50X200,SKD11 4.8(±0.02)×50(±0.1)×200(±0.1) ,20,"2,400",2018/7/19,済,3045,大同DMソリューション（株）,,7/13阪本殿メール,2018/7/13,E3124818,2018/7/24,,,,,
30,7/13,宮木,SK3-4.5X80X390,SK3 4F 4.5(±0.05)X80(±0.1)X390,5,"3,030",2018/7/18,済,3315,京阪プレ－ト,"15,150",7/13万代殿メール,2018/7/13,E3124733,2018/7/20,,,,,
31,7/13,宮木,SKD11-6.7X50X200,SKD11 6.7(±0.02)×50(±0.1)×200(±0.1) ,10,"2,380",2018/7/20,済,3315,京阪プレ－ト,"23,800",7/13植木殿メール,2018/7/13,E3124820,2018/7/24,,,,,
32,7/20,宮木,SKD11-9X256X180,SKD11 9(±0.02)×256(±0.1)×180(±0.1) ,40,"8,000",2018/7/30,済,3045,大同DMソリューション（株）,"320,000",7/20阪本殿メール,2018/7/20,E3134773,2018/7/31,,,,,
33,7/26,宮木,SKD11-6.4X50X200,SKD11 6.4(±0.02)×50(±0.1)×200(±0.1) ,100,"2,400",2018/8/6,済,3045,大同DMソリューション（株）,"240,000",7/26阪本殿メール,2018/7/26,E3139620,2018/8/2,,,,,
34,7/30,宮木,SKD11-6.4X50X200,SKD11 6.4(±0.02)×50(±0.1)×200(±0.1) ,150,"2,590",2018/8/20,済,3315,京阪プレ－ト,"388,500",7/30阪本殿メール,2018/7/30,E3141175,2018/8/21,,,,,
35,8/2,宮木,S50C-32X150X300,S50C 6F 32+-0.1X150+-0.1X300+-0.1,1,"4,810",2018/8/3,8/3着,3315,京阪プレ－ト,"4,810",8/2阪本殿メール,2018/8/2,E3145774,2018/8/8,,,,,
36,8/2,宮木,SKD11-7X50X200,SKD11 7(±0.02)×50(±0.1)×200(±0.1) ,64,"2,400",2018/8/8,8/10着,3045,大同DMソリューション（株）,"153,600",8/3植木殿メール,2018/8/3,E3147365,2018/8/9,,,,,
