KTCD,KTNM
B,穴開け
B1,穴開け
B2,穴開け
DF,穴開け
G,研磨
G1,研磨
G2,研磨
L,旋盤
L1,旋盤荒加工
L2,旋盤完成加工
L3,旋盤完成加工
LC,旋盤仕上加工
LV,旋盤仕上・穴開け加工
LS,旋盤片側仕上加工
LA,旋盤穴開け含む
MC,機械加工
MC1,マシニング1工程目
MC2,マシニング2工程目
MC3,マシニング3工程目
SL,溝切
TH,歯切り加工
LM,複合加工(LとMC)
LM2,複合加工(L&MC)
LMS,旋盤+マシニング+切断
MCW,マシニング2工程
MCT,マシニング3工程
MSC,複合加工(MC&SC)
SL1,目切り
SL2,目切り
TY,DK羽口
TQT,胴体焼入
DQT,DK焼入
FL,入れ目
RST,SKレストニング
BF,IPバフ
CYFIN,CYL仕上完了
WC,ワイヤーカット
MV,フライス
M,フライス成形
SC,切断
SC2,切断
SW,切断
ET,CAM刻印
ED,エンドレス
RBR,生バレル
PT,プレス
HT,熱処理
SR,熱処理
QBR,焼バレル
CAFIN,カム完了
NC,NC加工
CO,フッ素樹脂加工
D,歪取り
NV,窒化処理
JU,樹脂成形
PL,メッキ
PA,塗装
MA,素材
H0,本ハンダ
YO,予備ハンダ
RE,修理
DDQT,DIAL焼入
MC9M,機械加工CROSS MEMBER
MC9B,機械加工BED
MC9L,機械加工DRIVE LEG
MC9P,機械加工PLAIN LEG
MC9I,機械加工INNER RACE
MC9R,機械加工CAM RG
MC9G,機械加工GEAR RG
SL9T,溝切TOP GEAR
L9N,旋盤N.D.HUB
MC9U,機械加工DIAL CAP HUB
MC9S,機械加工S.CAP
MC9D,機械加工DCCRG
MC9C,機械加工CAP RG
MC9Y,機械加工YC RG
MC9H,機械加工C.H.
MC9K,機械加工GATE BLOCK
PA9M,塗装CROSS MEMBER
PA9B,塗装BED
PA9L,塗装DRIVE LEG
PA9P,塗装PLAIN LEG
PA9T,塗装TOP GEAR
PA9N,塗装N.D.HUB
PL9S,メッキS.CAP
PL9D,メッキDCCRG
PL9Y,メッキYC RG
PL9H,メッキC.H.
MCW9B,マシニング2工程BED
LM9R,複合加工(L&MC)CAM RG
L9G,旋盤GEAR RG
MC9N,機械加工N.D.HUB
B9U,穴開けDIAL CAP HUB
B9S,穴開けS.CAP
MCW9D,マシニング2工程DCCRG
B9C,穴開けCAP RG
B9Y,穴開けYC RG
LM9H,複合加工(L&MC)C.H.
TH9R,歯切り加工CAM RG
TH9G,歯切り加工GEAR RG
L9U,旋盤DIAL CAP HUB
LM9S,複合加工(L&MC)S.CAP
G9D,研磨DCCRG
G9C,研磨CAP RG
G9Y,研磨YC RG
L9H,旋盤C.H.
SC9S,切断S.CAP
MCT9D,マシニング3工程DCCRG
MCW9H,マシニング2工程C.H.
MSC9S,複合加工(MC&SC)S.CAP
B9D,穴開けDCCRG
B9H,穴開けC.H.
G9S,研磨S.CAP
MSC9D,複合加工(MC&SC)DCCRG
SC9D,切断DCCRG
LM9D,複合加工(L&MC)DCCRG
AJH,53T組立
AYC,ヤーンキャリア組立
AST,ストライパー組立
ATUP,巻取り組立
TBOX,工具箱梱包
AHOL,カムホルダー組立
ACAP,61T62T組立
ADYO,上部アッセン
FASSY,本体組立
KNIT,編機調整
PACK,梱包作業
MARK,プレートマーキング
CHAM,面取り
YAFIN,ヤーンキャリア仕上げ
HOLF,糸穴仕上げ
HOLD,糸穴カエリ取り
CHDE,面取&カエリ取り
SL1ST,目切開始
ASS,SSAct組立
APUN,カードパンチャー組立
AELM,ｱｸﾁｭｴｰﾀ素子組立
ASTAC,ストライパーAct組立
AELC,電気組立
AGBOX,ギアボックス組立
AQAP,QAP組立
INCLD,同梱作業
PAINT,塗装作業
ULM,ULM作成
DIFIN,DIAL仕上完了
ACDR,幅出し装置組立
