HMCD,BUCD,SRCD,UNIT,VALDTF,VALQTY,PRICE,NOTE,SYOKAIHINKBN
MA-00-1160AA,100,,PC,,0.0,0.0,,1
MA-0105-12A01BA48,100,,PC,,0.0,0.0,,1
MA-0105-12A03GA56,100,,PC,,0.0,0.0,,1
MA-100-105-4ASB,100,,PC,,0.0,0.0,,1
MA-100-105-4DC,100,,PC,,0.0,0.0,,1
MA-100-105-4EBS,100,,PC,,0.0,0.0,,1
MA-100-201E0290,100,,PC,,0.0,0.0,,1
MA-100-202EC0290,100,,PC,,0.0,0.0,,1
MA-100-202F0290,100,,PC,,0.0,0.0,,1
MA-100-206C,100,,PC,,0.0,0.0,,1
MA-100-208-AA2650,100,,PC,,0.0,0.0,,1
MA-100-270EA0490-1,100,,PC,,0.0,0.0,,1
MA-100-270EA0700-1,100,,PC,,0.0,0.0,,1
MA-100-270EA0800-1,100,,PC,,0.0,0.0,,1
MA-100-270EA0930-1,100,,PC,,0.0,0.0,,1
MA-100-270EA1081-1,100,,PC,,0.0,0.0,,1
MA-100-270EA1150-1,100,,PC,,0.0,0.0,,1
MA-100-270EA1240-1,100,,PC,,0.0,0.0,,1
MA-100-270EA1333-1,100,,PC,,0.0,0.0,,1
MA-100-270EA1411-1,100,,PC,,0.0,0.0,,1
MA-100-270EA1531-1,100,,PC,,0.0,0.0,,1
MA-100-270EA1587-1,100,,PC,,0.0,0.0,,1
MA-100-270EA1680-1,100,,PC,,0.0,0.0,,1
MA-100-271EA,100,,PC,,0.0,0.0,,1
MA-100-304-240,100,,PC,,0.0,0.0,,1
MA-100-304-280,100,,PC,,0.0,0.0,,1
MA-100-609W,100,,PC,,0.0,0.0,,1
MA-101-105-3ZCA,100,,PC,,0.0,0.0,,1
MA-103-304-270,100,,PC,,0.0,0.0,,1
MA-1035-12A01BA30,100,,PC,,0.0,0.0,,1
MA-105-12A01AB48,100,,PC,,0.0,0.0,,1
MA-105-232HA,100,,PC,,0.0,0.0,,1
MA-105-232HB,100,,PC,,0.0,0.0,,1
MA-105-232HC,100,,PC,,0.0,0.0,,1
MA-1151-202BA0280,100,,PC,,0.0,0.0,,1
MA-115-232AA,100,,PC,,0.0,0.0,,1
MA-115-232BA,100,,PC,,0.0,0.0,,1
MA-115-232CA,100,,PC,,0.0,0.0,,1
MA-1155-131BA,100,,PC,,0.0,0.0,,1
MA-1155-131BB,100,,PC,,0.0,0.0,,1
MA-12-319A,100,,PC,,0.0,0.0,,1
MA-12-420FB,100,,PC,,0.0,0.0,,1
MA-12-426HSR,100,,PC,,0.0,0.0,,1
MA-130-106CA,100,,PC,,0.0,0.0,,1
MA-130-482AA,100,,PC,,0.0,0.0,,1
MA-13-114,100,,PC,,0.0,0.0,,1
MA-1331-105-9DW30,100,,PC,,0.0,0.0,,1
MA-1331-105-9DW38,100,,PC,,0.0,0.0,,1
MA-1331-12A02BA38,100,,PC,,0.0,0.0,,1
MA-1331-12A11CA38,100,,PC,,0.0,0.0,,1
MA-1331-253EC,100,,PC,,0.0,0.0,,1
MA-1351-443DA38,100,,PC,,0.0,0.0,,1
MA-150-233DC,100,,PC,,0.0,0.0,,1
MA-150-233EA,100,,PC,,0.0,0.0,,1
MA-150-233EB,100,,PC,,0.0,0.0,,1
MA-150-233EC,100,,PC,,0.0,0.0,,1
MA-150-233ED,100,,PC,,0.0,0.0,,1
MA-161-481AA30,100,,PC,,0.0,0.0,,1
MA-162-105-4BE,100,,PC,,0.0,0.0,,1
MA-162-105-4BF,100,,PC,,0.0,0.0,,1
MA-162-105-4CE,100,,PC,,0.0,0.0,,1
MA-161-444GA,100,,PC,,0.0,0.0,,1
MA-165-241AB1150,100,,PC,,0.0,0.0,,1
MA-165-241AB1333,100,,PC,,0.0,0.0,,1
MA-1731-127BA,100,,PC,,0.0,0.0,,1
MA-1731-307BA,100,,PC,,0.0,0.0,,1
MA-19B-112,100,,PC,,0.0,0.0,,1
MA-20-207-1251,100,,PC,,0.0,0.0,,1
MA-220-680-B,100,,PC,,0.0,0.0,,1
MA-225-680-A,100,,PC,,0.0,0.0,,1
MA-225-681-A,100,,PC,,0.0,0.0,,1
MA-225-681-B,100,,PC,,0.0,0.0,,1
MA-267-651,100,,PC,,0.0,0.0,,1
MA-3151-508AA34,100,,PC,,0.0,0.0,,1
MA-3154-609AA3,100,,PC,,0.0,0.0,,1
MA-3154-609AA7,100,,PC,,0.0,0.0,,1
MA-3340-609AA3,100,,PC,,0.0,0.0,,1
MA-3501-61051AA36,100,,PC,,0.0,0.0,,1
MA-3501-61051CA36,100,,PC,,0.0,0.0,,1
MA-3501-66002AA00,100,,PC,,0.0,0.0,,1
MA-3501-66052AA36,100,,PC,,0.0,0.0,,1
MA-3501-66052BA36,100,,PC,,0.0,0.0,,1
MA-350-503,100,,PC,,0.0,0.0,,1
MA-352B-633BA33,100,,PC,,0.0,0.0,,1
MA-352B-633CA30,100,,PC,,0.0,0.0,,1
MA-352B-633CA33,100,,PC,,0.0,0.0,,1
MA-4412-435BA30,100,,PC,,0.0,0.0,,1
MA-5202-545BA,100,,PC,,0.0,0.0,,1
MA-521-607BA,100,,PC,,0.0,0.0,,1
MA-580-609DC,100,,PC,,0.0,0.0,,1
MA-606-604A,100,,PC,,0.0,0.0,,1
MA-606-604B,100,,PC,,0.0,0.0,,1
MA-606-605A,100,,PC,,0.0,0.0,,1
MA-607-605AA,100,,PC,,0.0,0.0,,1
MA-625-605B,100,,PC,,0.0,0.0,,1
MA-625-605C,100,,PC,,0.0,0.0,,1
MA-73-643CA38,100,,PC,,0.0,0.0,,1
MA-73-646AA38,100,,PC,,0.0,0.0,,1
MA-740-605,100,,PC,,0.0,0.0,,1
MA-816-652,100,,PC,,0.0,0.0,,1
MA-816-653,100,,PC,,0.0,0.0,,1
MA-82-431,100,,PC,,0.0,0.0,,1
MA-880-605,100,,PC,,0.0,0.0,,1
MA-880-605B,100,,PC,,0.0,0.0,,1
MA-90-461B,100,,PC,,0.0,0.0,,1
MA-920-661,100,,PC,,0.0,0.0,,1
MA-956-641L,100,,PC,,0.0,0.0,,1
MA-956-641R,100,,PC,,0.0,0.0,,1
MA-972-671AA,100,,PC,,0.0,0.0,,1
MA-980-605,100,,PC,,0.0,0.0,,1
MA-980-609DB,100,,PC,,0.0,0.0,,1
MA-CR-330-1930,100,,PC,,0.0,0.0,,1
MA-DC-2405-3,100,,PC,,0.0,0.0,,1
MA-DC-2405J-3CB,100,,PC,,0.0,0.0,,1
MA-DC-2409A,100,,PC,,0.0,0.0,,1
MA-DC-3801B,100,,PC,,0.0,0.0,,1
MA-DC-3903HB,100,,PC,,0.0,0.0,,1
MA-DC-3903MA,100,,PC,,0.0,0.0,,1
MA-DC-6900CA,100,,PC,,0.0,0.0,,1
MA-DC-753XA,100,,PC,,0.0,0.0,,1
MA-E-17002K,100,,PC,,0.0,0.0,,1
MA-E-17003KA,100,,PC,,0.0,0.0,,1
MA-E-17003KB,100,,PC,,0.0,0.0,,1
MA-E-17006PB,100,,PC,,0.0,0.0,,1
MA-E-18301N26,100,,PC,,0.0,0.0,,1
MA-E-19002G,100,,PC,,0.0,0.0,,1
MA-E-20614,100,,PC,,0.0,0.0,,1
MA-E-2203HA,100,,PC,,0.0,0.0,,1
MA-E-23101AC,100,,PC,,0.0,0.0,,1
MA-E-6607AA,100,,PC,,0.0,0.0,,1
MA-EP-216C1,100,,PC,,0.0,0.0,,1
MA-ES64-00112AA,100,,PC,,0.0,0.0,,1
MA-G-3411,100,,PC,,0.0,0.0,,1
MA-G-3413N,100,,PC,,0.0,0.0,,1
MA-G-3413P,100,,PC,,0.0,0.0,,1
MA-G-3515E,100,,PC,,0.0,0.0,,1
MA-G-402A,100,,PC,,0.0,0.0,,1
MA-G-6403FB,100,,PC,,0.0,0.0,,1
MA-G-8050,100,,PC,,0.0,0.0,,1
MA-G-9602EB,100,,PC,,0.0,0.0,,1
MA-G-9901LB28,100,,PC,,0.0,0.0,,1
MA-K-11801D,100,,PC,,0.0,0.0,,1
MA-K-12401HD,100,,PC,,0.0,0.0,,1
MA-K-15301K,100,,PC,,0.0,0.0,,1
MA-K-20604ＦA,100,,PC,,0.0,0.0,,1
MA-K-21203,100,,PC,,0.0,0.0,,1
MA-K-23002B,100,,PC,,0.0,0.0,,1
MA-K-23205BA,100,,PC,,0.0,0.0,,1
MA-K-24801BC,100,,PC,,0.0,0.0,,1
MA-K-25015BA,100,,PC,,0.0,0.0,,1
MA-K-26007BA,100,,PC,,0.0,0.0,,1
MA-K-27101MB30-7A,100,,PC,,0.0,0.0,,1
