OYAHMCD,SEQ,STRNO,OYAREVNO,STRSEQ,KOHMCD,SIZEX,SIZEY,SIZEZ,SHAPEQTY,OYAQTYKBN,OYAQTY,OYAUNIT,KOQTY,KOUNIT,VALDEC,HASUKBN,NOTE,REVNOTE,REVDT,REVTANCD,VALFLG,INSTID,INSTDT,UPDTID,UPDTDT
00-1143AA300,1,1,1,1,MA-00-1143AA300,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
00-1143AA303,1,1,1,1,MA-00-1143AA303,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
00-1143AA306,1,1,1,1,MA-00-1143AA306,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
00-1153AA,1,1,1,1,MA-00-1153AA,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
00-1157AA,1,1,1,1,MA-00-1157AA,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
00-1160AA,1,1,1,1,MA-00-1160AA,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
00-757B,1,1,1,1,MA-00-757B,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
00-757C,1,1,1,1,MA-00-757C,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
00-757E,1,1,1,1,MA-00-757E,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
00-757FA,1,1,1,1,MA-00-757FA,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
00-771D,1,1,1,1,MA-00-771D,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
0105-12A01AA48,1,1,1,1,MA-0105-12A01AA48,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
0105-12A01AA56,1,1,1,1,MA-0105-12A01AA56,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
0105-12A01AB48,1,1,1,1,MA-0105-12A01AB48,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
0105-12A01AB56,1,1,1,1,MA-0105-12A01AB56,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
0105-12A01AC48,1,1,1,1,MA-0105-12A01AC48,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
0105-12A01BA48,1,1,1,1,MA-0105-12A01BA48,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
0105-12A01CC48,1,1,1,1,MA-0105-12A01CC48,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
0105-12A01DA56,1,1,1,1,MA-0105-12A01DA56,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
0105-12A01DB48,1,1,1,1,MA-0105-12A01DB48,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
0105-12A01DC48,1,1,1,1,MA-0105-12A01DC48,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
0105-12A03GA56,1,1,1,1,MA-0105-12A03GA56,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
0106-12A01CA20,1,1,1,1,MA-0106-12A01CA20,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
01-702AA,1,1,1,1,MA-01-702AA,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
01-702AB,1,1,1,1,MA-01-702AB,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
01-707AA,1,1,1,1,MA-01-707AA,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-105-4ASB,1,1,1,1,MA-100-105-4ASB,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-105-4DC,1,1,1,1,MA-100-105-4DC,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-105-4EBS,1,1,1,1,MA-100-105-4EBS,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-105BA26,1,1,1,1,MA-100-105BA26,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-105BA30,1,1,1,1,MA-100-105BA30,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-105BA38,1,1,1,1,MA-100-105BA38,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-105BB26,1,1,1,1,MA-100-105BB26,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-105BB30,1,1,1,1,MA-100-105BB30,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-105BB38,1,1,1,1,MA-100-105BB38,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-110C,1,1,1,1,MA-100-110C,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-12A01DA30,1,1,1,1,MA-100-12A01DA30,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-201B0800,1,1,1,1,MA-165-201-202CA1531,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-201B0930,1,1,1,1,MA-165-201-202CA1531,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-201B1150,1,1,1,1,MA-165-202AA1333,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-201B1333,1,1,1,1,MA-165-202AA1531,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-201C1081,1,1,1,1,MA-165-202AA1333,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-201C1150,1,1,1,1,MA-165-202AA1333,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-201C1240,1,1,1,1,MA-165-202AA1333,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-201C1333,1,1,1,1,MA-165-202AA1333,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-201E1150,1,1,1,1,MA-165-202AA1333,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-201F1081,1,1,1,1,MA-165-202AA1333,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-201F1150,1,1,1,1,MA-165-202AA1333,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-201F1240,1,1,1,1,MA-165-202AA1333,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-201F1333,1,1,1,1,MA-165-202AA1531,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-201F1411,1,1,1,1,MA-165-202AA1531,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-201JA1333T,1,1,1,1,MA-165-201202CA1150-1333T,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-202A0800,1,1,1,1,MA-165-201202CA1150-1333T,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-202A0930,1,1,1,1,MA-165-201202CA1150-1333T,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-202A1081,1,1,1,1,MA-165-201202CA1081-1081T,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-202A1150,1,1,1,1,MA-165-201202CA1150-1333T,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-202A1150S,1,1,1,1,MA-100-202A1150S,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-202A1240,1,1,1,1,MA-165-201202CA1333-1531T,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-202A1240S,1,1,1,1,MA-165-201202CA1150-1333T,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-202A1333,1,1,1,1,MA-165-201202CA1333-1531T,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-202AB1240S,1,1,1,1,MA-165-201202CA1150-1333T,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-202B0800,1,1,1,1,MA-165-201-202CA1531,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-202B0930,1,1,1,1,MA-165-201-202CA1531,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-202B1081,1,1,1,1,MA-165-202AA1333,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-202B1150,1,1,1,1,MA-165-202AA1333,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-202B1240,1,1,1,1,MA-165-202AA1333,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-202B1333,1,1,1,1,MA-165-202AA1531,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-202E1150,1,1,1,1,MA-165-201202CA1150-1333T,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-202EB1081,1,1,1,1,MA-165-201202CA1150-1333T,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-202EB1150,1,1,1,1,MA-165-201202CA1150-1333T,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-202EB1240,1,1,1,1,MA-165-201202CA1333-1531T,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-202EB1240S,1,1,1,1,MA-165-201202CA1150-1333T,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-202EB1333,1,1,1,1,MA-165-201202CA1333-1531T,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-202EB1333T,1,1,1,1,MA-165-201202CA1150-1333T,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-202EB1411,1,1,1,1,MA-165-201202CA1333-1531T,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-202F1081,1,1,1,1,MA-165-202AA1333,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-202F1150,1,1,1,1,MA-165-202AA1333,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-202F1240,1,1,1,1,MA-165-202AA1333,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
