差分状態,差分詳細,HMCD,SEQ,KTSEQ,KTCD,SRCD,SGNCD,DDTIME,SGTIME,LDTIME,SRPRICE,CSBCD,SUPCLSCD,SUPCD,RCVTSTKBN,RCVCHKKBN
新ファイルのみ,旧ファイルには存在しません,KF12-00501KA30,2,20,PA,3406,,0,0,5,4000.0,13,5,,1,1
新ファイルのみ,旧ファイルには存在しません,631-609BB,1,10,MC,3399,,0,0,25,1700.0,13,5,,1,1
新ファイルのみ,旧ファイルには存在しません,KF12-00501LA30,2,20,PA,3406,,0,0,5,4000.0,13,5,,1,1
新ファイルのみ,旧ファイルには存在しません,KF12-00501MA30,2,20,PA,3406,,0,0,5,4000.0,13,5,,1,1
新ファイルのみ,旧ファイルには存在しません,631-609DC,1,10,PA,,,0,0,25,0.0,13,5,,1,1
新ファイルのみ,旧ファイルには存在しません,SPL-2966-165-201CA1333,1,10,L,3254,,0,0,55,8243.0,13,5,,1,1
新ファイルのみ,旧ファイルには存在しません,KF12-00501KA30,1,10,AO,3784,,0,0,10,9400.0,13,6,,1,1
新ファイルのみ,旧ファイルには存在しません,631-609BB,2,20,PA,1515,,0,0,25,315.0,13,5,,1,1
新ファイルのみ,旧ファイルには存在しません,KF12-00501LA30,1,10,AO,3784,,0,0,10,9400.0,13,6,,1,1
新ファイルのみ,旧ファイルには存在しません,KF12-00501JA30,2,20,PA,3406,,0,0,5,4000.0,13,5,,1,1
新ファイルのみ,旧ファイルには存在しません,1631-307ZA30,1,10,PA,3406,,0,0,5,4200.0,13,5,,1,1
新ファイルのみ,旧ファイルには存在しません,165-256AA1150,1,10,L,3254,,0,0,40,13500.0,13,5,,1,1
新ファイルのみ,旧ファイルには存在しません,KF12-00501JA30,1,10,AO,3784,,0,0,10,9400.0,13,6,,1,1
新ファイルのみ,旧ファイルには存在しません,435-503AA,2,20,PA,1515,,0,0,25,315.0,13,5,,1,1
新ファイルのみ,旧ファイルには存在しません,KUT-206TA,1,10,AO,1042,,0,0,0,6000.0,13,6,,1,1
新ファイルのみ,旧ファイルには存在しません,SPL-2966-165-201CA1333,2,20,AO,,,0,0,75,0.0,13,6,,1,1
新ファイルのみ,旧ファイルには存在しません,2190-250BA2200,1,10,PA,3406,,0,0,5,12000.0,13,5,,1,1
新ファイルのみ,旧ファイルには存在しません,SPL-3015AA01,1,10,PL,,,0,0,10,0.0,13,5,,1,1
新ファイルのみ,旧ファイルには存在しません,1651-290NA,1,10,PA,1515,,0,0,10,3558.0,13,5,,1,1
新ファイルのみ,旧ファイルには存在しません,SPL-3015AA02,1,10,PL,,,0,0,10,0.0,13,5,,1,1
新ファイルのみ,旧ファイルには存在しません,1651-290MA,1,10,PA,1515,,0,0,10,2955.0,13,5,,1,1
新ファイルのみ,旧ファイルには存在しません,KF12-00501MA30,1,10,AO,3784,,0,0,10,9400.0,13,6,,1,1
新ファイルのみ,旧ファイルには存在しません,435-503AA,1,10,MC,3399,,0,0,25,1700.0,13,5,,1,1
値が変更,SRCD: [] → [1515] | SRPRICE: [0.0] → [30.0],K-22802CA,2,20,PA,1515,,0,0,50,30.0,13,5,,1,1
値が変更,SRCD: [3279] → [3994] | SRPRICE: [19000.0] → [15500.0],5548-405BA34,1,10,L1,3994,,0,0,40,15500.0,13,5,,1,1
値が変更,SRCD: [] → [3070] | SRPRICE: [0.0] → [25925.0],1331-201LA2300,2,20,AO,3070,,0,0,75,25925.0,13,6,,1,1
値が変更,SRCD: [] → [1515] | SRPRICE: [0.0] → [406.0],G-2102H,1,10,PA,1515,,0,0,75,406.0,13,5,,1,1
値が変更,SRCD: [] → [1515] | SRPRICE: [0.0] → [456.0],G-2103NA,1,10,PA,1515,,0,0,75,456.0,13,5,,1,1
値が変更,SRCD: [] → [3254] | SRPRICE: [0.0] → [5000.0],1331-257DB2300-1,1,10,L,3254,,0,0,45,5000.0,13,5,,1,1
値が変更,SRCD: [] → [1515] | SRPRICE: [0.0] → [456.0],G-2103PA,1,10,PA,1515,,0,0,75,456.0,13,5,,1,1
値が変更,SRCD: [3279] → [3994] | SRPRICE: [19000.0] → [15500.0],5548-405AA3418,1,10,L1,3994,,0,0,40,15500.0,13,5,,1,1
値が変更,SRCD: [] → [1515] | SRPRICE: [0.0] → [420.0],G-2102LB,1,10,PA,1515,,0,0,75,420.0,13,5,,1,1
値が変更,SRPRICE: [6800.0] → [6000.0],KUT-206PB,1,10,AO,1042,,0,0,0,6000.0,13,6,,1,1
値が変更,SRCD: [] → [3070] | SRPRICE: [0.0] → [16900.0],1331-204LA2300,2,20,AO,3070,,0,0,75,16900.0,13,6,,1,1
値が変更,SRCD: [] → [1515] | SRPRICE: [0.0] → [70.0],K-22801CB,2,20,PA,1515,,0,0,50,70.0,13,5,,1,1
