差分状態,差分詳細,OYAHMCD,SEQ,STRNO,OYAREVNO,STRSEQ,KOHMCD,SIZEX,SIZEY,SIZEZ,SHAPEQTY,OYAQTYKBN,OYAQTY,OYAUNIT,KOQTY,KOUNIT,VALDEC,HASUKBN,NOTE,REVNOTE,REVDT,REVTANCD,VALFLG
旧ファイルのみ,新ファイルには存在しません,3237-508AA26,1,1,1,1,MA-3237-508AA26,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1
旧ファイルのみ,新ファイルには存在しません,5145-602EA24,1,1,1,1,MA-RH-0031A-07E,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1
新ファイルのみ,旧ファイルには存在しません,KF12-00501MA30,1,1,1,1,MA-KF12-00501MA30,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1
新ファイルのみ,旧ファイルには存在しません,435-503AA,1,1,1,1,MA-435-503AA,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1
新ファイルのみ,旧ファイルには存在しません,SPL-3018-102BD,1,1,1,1,MA-1631-102BD,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1
新ファイルのみ,旧ファイルには存在しません,1651-290NA,1,1,1,1,MA-1651-290NA,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1
新ファイルのみ,旧ファイルには存在しません,KUT-206TA,1,1,1,1,MA-KUT-206PB,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1
新ファイルのみ,旧ファイルには存在しません,SPL-2966-165-201CA1333,1,1,1,1,MA-165-201202CA1333-1531T,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1
新ファイルのみ,旧ファイルには存在しません,SPL-3018-102AD,1,1,1,1,MA-1631-102AD,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1
新ファイルのみ,旧ファイルには存在しません,KF12-00501JA30,1,1,1,1,MA-KF12-00501JA30,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1
新ファイルのみ,旧ファイルには存在しません,631-609DC,1,1,1,1,MA-631-609DC,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1
新ファイルのみ,旧ファイルには存在しません,KF12-00501KA30,1,1,1,1,MA-KF12-00501KA30,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1
新ファイルのみ,旧ファイルには存在しません,SPL-3017-102BD,1,1,1,1,MA-1631-102BD,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1
新ファイルのみ,旧ファイルには存在しません,SPL-3015AA01,1,1,1,1,MA-SPL-3015AA01,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1
新ファイルのみ,旧ファイルには存在しません,1651-290MA,1,1,1,1,MA-1651-290MA,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1
新ファイルのみ,旧ファイルには存在しません,KF12-00501LA30,1,1,1,1,MA-KF12-00501LA30,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1
新ファイルのみ,旧ファイルには存在しません,SPL-3015AA02,1,1,1,1,MA-SPL-3015AA02,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1
新ファイルのみ,旧ファイルには存在しません,631-609BB,1,1,1,1,MA-631-609BB,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1
新ファイルのみ,旧ファイルには存在しません,1631-307ZA30,1,1,1,1,MA-1631-307ZA30,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1
新ファイルのみ,旧ファイルには存在しません,165-256AA1150,1,1,1,1,MA-165-256BA1531,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1
新ファイルのみ,旧ファイルには存在しません,2190-250BA2200,1,1,1,1,MA-2190-250BA2200,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1
値が変更,KOHMCD: [MA-880-601AA26] → [MA-880-601AA26-DRUM] | OYAQTY: [1.0] → [3.0],3240-601EA26,1,1,1,1,MA-880-601AA26-DRUM,,,,1,1,3.0,PC,1.0,PC,0,1,,,,,1
値が変更,KOHMCD: [MA-880-601AA26] → [MA-880-601AA26-DRUM] | OYAQTY: [1.0] → [3.0],3237-601EA26,1,1,1,1,MA-880-601AA26-DRUM,,,,1,1,3.0,PC,1.0,PC,0,1,,,,,1
