FINAL_ITEM_CODE,PROCESS_ORDER,PROCESS_CODE,RES_CODE1,CAPACITY1,INF_CHANGE1,RES_CODE2,CAPACITY2,INF_CHANGE2,RES_CODE3,CAPACITY3,INF_CHANGE3,VERSION,OPE_NAME,UP_DATE,CHK_VAL_FLG
1151-402AA,1,B,000,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
1151-402AA,2,L,000,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
1151-402AA,3,L,000,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
1151-402AA,4,MC,000,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
1151-443AA,1,MC,000,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
1155-111AA,1,MC,000,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
1155-403AA48,1,MC,000,1,0,,,,,,,2,森友　宏幸,2025-05-15,0
1155-413AB48,1,MCT,000,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
12-302,1,GAI,000,1,0,,,,,,,1,初崎　和広,2025-05-30,0
12-303,1,GAI,000,1,0,,,,,,,1,初崎　和広,2025-05-30,0
12-304C,1,GAI,000,1,0,,,,,,,1,藤浪　克彦,2019-07-17,0
12-305,1,GAI,000,1,0,,,,,,,1,初崎　和広,2025-05-30,0
120-404CA,1,MC,000,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
120-404DA,1,MC,000,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
120-404KA,1,MC,000,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
1231-103DB38,1,MC,000,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
1231-103GB38,1,MC,000,1,0,,,,,,,2,森友　宏幸,2025-05-15,0
1231-103GB38,1,GAI,000,1,0,,,,,,,99,CROSS MEMBER,2019-01-26,0
1231-142AB,1,MC,000,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
1231-142CA,1,MC,000,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
1231-142CA,1,GAI,000,1,0,,,,,,,99,BASE,2019-01-26,0
1331-102PA,1,MC,000,1,0,,,,,,,1,初崎　和広,2024-01-16,0
1331-210JA,1,MCW,000,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
1331-211JA,1,MCW,000,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
1331-211JA,1,MC,000,1,0,,,,,,,99,LEFT SIDE FRAME,2019-02-07,0
