区分コード,完成部番,単位数分子1,単位数分母1,前工程1,単位数分子2,単位数分母2,前工程2,単位数分子3,単位数分母3,前工程3,単位数分子4,単位数分母4,前工程4,単位数分子5,単位数分母5,前工程5,単位数分子6,単位数分母6,前工程6
W,00-1073D,1,1,PL-00-1073D,1,1,MA-00-1073D,0,0,,0,0,,0,0,,0,0,
2,00-1143AA300,1,1,MA-00-1143AA300,0,0,,0,0,,0,0,,0,0,,0,0,
2,00-1143AA303,1,1,MA-00-1143AA303,0,0,,0,0,,0,0,,0,0,,0,0,
2,00-1143AA306,1,1,MA-00-1143AA306,0,0,,0,0,,0,0,,0,0,,0,0,
Q,00-1153AA,1,1,PL-00-1153AA,1,1,MA-00-1153AA,0,0,,0,0,,0,0,,0,0,
L,00-1157AA,1,1,MC-00-1157AA,1,1,MA-00-1157AA,0,0,,0,0,,0,0,,0,0,
W,00-1160AA,1,1,PEFIN-00-1160AA,1,1,MC-00-1160AA,1,1,MA-00-1160AA,0,0,,0,0,,0,0,
W,00-757B,1,1,PA-00-757B,1,1,MA-00-757B,0,0,,0,0,,0,0,,0,0,
W,00-757C,1,1,PA-00-757C,1,1,MA-00-757C,0,0,,0,0,,0,0,,0,0,
W,00-757D,1,1,PA-00-757D,0,0,,0,0,,0,0,,0,0,,0,0,
W,00-757E,1,1,PA-00-757E,1,1,MA-00-757E,0,0,,0,0,,0,0,,0,0,
W,00-757FA,1,1,PA-00-757FA,1,1,MA-00-757FA,0,0,,0,0,,0,0,,0,0,
W,00-757GA,1,1,PA-00-757GA,0,0,,0,0,,0,0,,0,0,,0,0,
W,00-771D,1,1,MA-00-771D,0,0,,0,0,,0,0,,0,0,,0,0,
G,00-918BA,1,1,FPP-16-002AA,0,0,,0,0,,0,0,,0,0,,0,0,
G,00-918CA,1,1,FPP-16-002BA,0,0,,0,0,,0,0,,0,0,,0,0,
L,0105-12A01AA48,1,1,PA-0105-12A01AA48,1,1,MA-0105-12A01AA48,0,0,,0,0,,0,0,,0,0,
L,0105-12A01AA56,1,1,PA-0105-12A01AA56,1,1,MA-0105-12A01AA56,0,0,,0,0,,0,0,,0,0,
L,0105-12A01AB48,1,1,PA-0105-12A01AB48,1,1,MA-0105-12A01AB48,0,0,,0,0,,0,0,,0,0,
L,0105-12A01AB56,1,1,PA-0105-12A01AB56,1,1,MA-0105-12A01AB56,0,0,,0,0,,0,0,,0,0,
L,0105-12A01AC48,1,1,PA-0105-12A01AC48,1,1,MA-0105-12A01AC48,0,0,,0,0,,0,0,,0,0,
