No,完成部番,単位数分子,単位数分母,前工程
1,00-1143AA300,0.0,0.0,
2,00-1143AA300,0.0,0.0,
3,00-1143AA300,0.0,0.0,
4,00-1143AA300,0.0,0.0,
5,00-1143AA300,0.0,0.0,
6,00-1143AA300,1.0,1,MA-00-1143AA300
1,00-1143AA303,0.0,0.0,
2,00-1143AA303,0.0,0.0,
3,00-1143AA303,0.0,0.0,
4,00-1143AA303,0.0,0.0,
5,00-1143AA303,0.0,0.0,
6,00-1143AA303,1.0,1,MA-00-1143AA303
1,00-1143AA306,0.0,0.0,
2,00-1143AA306,0.0,0.0,
3,00-1143AA306,0.0,0.0,
4,00-1143AA306,0.0,0.0,
5,00-1143AA306,0.0,0.0,
6,00-1143AA306,1.0,1,MA-00-1143AA306
1,00-1153AA,0.0,0.0,
2,00-1153AA,0.0,0.0,
3,00-1153AA,0.0,0.0,
4,00-1153AA,0.0,0.0,
5,00-1153AA,1.0,1.0,MA-00-1153AA
6,00-1153AA,1.0,1,PL-00-1153AA
1,00-1157AA,0.0,0.0,
2,00-1157AA,0.0,0.0,
3,00-1157AA,0.0,0.0,
4,00-1157AA,0.0,0.0,
5,00-1157AA,1.0,1.0,MA-00-1157AA
6,00-1157AA,1.0,1,MC-00-1157AA
1,00-1160AA,0.0,0.0,
2,00-1160AA,0.0,0.0,
3,00-1160AA,0.0,0.0,
4,00-1160AA,1.0,1.0,MA-00-1160AA
5,00-1160AA,1.0,1.0,MC-00-1160AA
6,00-1160AA,1.0,1,PEFIN-00-1160AA
1,00-757B,0.0,0.0,
2,00-757B,0.0,0.0,
3,00-757B,0.0,0.0,
4,00-757B,0.0,0.0,
5,00-757B,1.0,1.0,MA-00-757B
6,00-757B,1.0,1,PA-00-757B
1,00-757C,0.0,0.0,
2,00-757C,0.0,0.0,
3,00-757C,0.0,0.0,
4,00-757C,0.0,0.0,
5,00-757C,1.0,1.0,MA-00-757C
6,00-757C,1.0,1,PA-00-757C
1,00-757E,0.0,0.0,
2,00-757E,0.0,0.0,
3,00-757E,0.0,0.0,
4,00-757E,0.0,0.0,
5,00-757E,1.0,1.0,MA-00-757E
6,00-757E,1.0,1,PA-00-757E
1,00-757FA,0.0,0.0,
2,00-757FA,0.0,0.0,
3,00-757FA,0.0,0.0,
4,00-757FA,0.0,0.0,
5,00-757FA,1.0,1.0,MA-00-757FA
6,00-757FA,1.0,1,PA-00-757FA
1,00-771D,0.0,0.0,
2,00-771D,0.0,0.0,
3,00-771D,0.0,0.0,
4,00-771D,0.0,0.0,
5,00-771D,0.0,0.0,
6,00-771D,1.0,1,MA-00-771D
1,00-918BA,0.0,0.0,
2,00-918BA,0.0,0.0,
3,00-918BA,0.0,0.0,
4,00-918BA,0.0,0.0,
5,00-918BA,0.0,0.0,
6,00-918BA,1.0,1,FPP-16-002AA
1,00-918CA,0.0,0.0,
2,00-918CA,0.0,0.0,
