No,完成部番,単位数分子,単位数分母,前工程
6,00-757D,1.0,1.0,PA-00-757D
6,00-757GA,1.0,1.0,PA-00-757GA
6,00-918BA,1.0,1.0,FPP-16-002AA
6,00-918CA,1.0,1.0,FPP-16-002BA
6,100-105-3-120,12.0,100.0,100-105-3
6,100-105-3-160,16.0,100.0,100-105-3
6,100-105-3-220,22.0,100.0,100-105-3
5,100-201E0290,1.0,1.0,L-100-201E0290
6,100-201E0290,1.0,1.0,AO-100-201E0290
5,100-202EC0290,1.0,1.0,L-100-202EC0290
6,100-202EC0290,1.0,1.0,AO-100-202EC0290
5,100-202F0290,1.0,1.0,L-100-202F0290
6,100-202F0290,1.0,1.0,AO-100-202F0290
6,100-226CA,1.0,5.0,SS400-100X400X36.7
6,100-270EA0490-1,1.0,1.0,L-100-270EA0490-1
6,100-270EA0700-1,1.0,1.0,L-100-270EA0700-1
6,100-270EA0800-1,1.0,1.0,L-100-270EA0800-1
6,100-270EA0930-1,1.0,1.0,L-100-270EA0930-1
6,100-270EA1081-1,1.0,1.0,L-100-270EA1081-1
6,100-270EA1150-1,1.0,1.0,L-100-270EA1150-1
6,100-270EA1240-1,1.0,1.0,L-100-270EA1240-1
6,100-270EA1333-1,1.0,1.0,L-100-270EA1333-1
6,100-270EA1411-1,1.0,1.0,L-100-270EA1411-1
6,100-270EA1531-1,1.0,1.0,L-100-270EA1531-1
6,100-270EA1587-1,1.0,1.0,L-100-270EA1587-1
6,100-270EA1680-1,1.0,1.0,L-100-270EA1680-1
5,100-271EA,1.0,1.0,L-100-271EA
6,100-271EA,1.0,1.0,PL-100-271EA
6,100-609GA,1.0,1.0,PA-100-609GA
6,103-482,1.0,1.0,PL-103-482
6,105-303BA08038,1.0,1.0,SL-105-303BA08038
6,110-469,1.0,1.0,L2-110-469
6,1151-201AA0280,1.0,1.0,L-1151-201AA0280
6,1151-202AA0280,1.0,1.0,L-1151-202AA0280
6,1151-202BA0280,1.0,1.0,L-1151-202BA0280
6,130-422AA22,1.0,1.0,HT-130-422AA22
