HMCD,SEQ,KTSEQ,KTCD,SRCD,SGNCD,DDTIME,SGTIME,LDTIME,SRPRICE,CSBCD,SUPCLSCD,SUPCD,RCVTSTKBN,RCVCHKKBN
100-201B0800,2,20,AO,3070,,0,0,75,11400.0,13,6,,1,1
100-201B0930,2,20,AO,3070,,0,0,75,10000.0,13,6,,1,1
100-201B1150,2,20,AO,3070,,0,0,75,12000.0,13,6,,1,1
100-201B1333,2,20,AO,3070,,0,0,75,15000.0,13,6,,1,1
100-201C1081,2,20,AO,3070,,0,0,75,0.0,13,6,,1,1
100-201C1150,2,20,AO,3070,,0,0,75,12000.0,13,6,,1,1
100-201C1240,2,20,AO,3070,,0,0,75,12000.0,13,6,,1,1
100-201C1333,2,20,AO,3070,,0,0,0,15000.0,13,6,,1,1
100-201E0290,1,10,AO,3070,,0,0,75,9000.0,13,6,,1,1
100-201E1150,2,20,AO,3070,,0,0,75,12000.0,13,6,,1,1
100-201F1081,2,20,AO,3070,,0,0,75,12600.0,13,6,,1,1
100-201F1150,2,20,AO,3070,,0,0,75,12000.0,13,6,,1,1
100-201F1240,2,20,AO,3070,,0,0,75,0.0,13,6,,1,1
100-201F1333,2,20,AO,3070,,0,0,75,21000.0,13,6,,1,1
100-201F1411,2,20,AO,3070,,0,0,75,21500.0,13,6,,1,1
100-201JA1333T,2,20,AO,3070,,0,0,75,13750.0,13,6,,1,1
100-202A0800,2,20,AO,3070,,0,0,75,9500.0,13,6,,1,1
100-202A0930,2,20,AO,3070,,0,0,75,10000.0,13,6,,1,1
100-202A1081,2,20,AO,3070,,0,0,75,12000.0,13,6,,1,1
100-202A1150,2,20,AO,3070,,0,0,75,12000.0,13,6,,1,1
100-202A1150S,2,20,AO,3070,,0,0,75,0.0,13,6,,1,1
100-202A1240,2,20,AO,3070,,0,0,75,12000.0,13,6,,1,1
100-202A1333,2,20,AO,3070,,0,0,75,15000.0,13,6,,1,1
100-202AB1240S,2,20,AO,3070,,0,0,0,15000.0,13,6,,1,1
100-202B0800,2,20,AO,3070,,0,0,75,11400.0,13,6,,1,1
100-202B0930,2,20,AO,3070,,0,0,75,10000.0,13,6,,1,1
100-202B1081,2,20,AO,3070,,0,0,75,0.0,13,6,,1,1
100-202B1150,2,20,AO,3070,,0,0,75,12000.0,13,6,,1,1
100-202B1240,2,20,AO,3070,,0,0,75,12000.0,13,6,,1,1
100-202B1333,2,20,AO,3070,,0,0,75,15000.0,13,6,,1,1
100-202E1150,2,20,AO,3070,,0,0,75,12000.0,13,6,,1,1
100-202EB1081,2,20,AO,3070,,0,0,75,12500.0,13,6,,1,1
100-202EB1150,2,20,AO,3070,,0,0,75,12500.0,13,6,,1,1
100-202EB1240,2,20,AO,3070,,0,0,75,0.0,13,6,,1,1
100-202EB1240S,2,20,AO,3070,,0,0,75,0.0,13,6,,1,1
100-202EB1333,2,20,AO,3070,,0,0,75,15500.0,13,6,,1,1
100-202EB1333T,2,20,AO,3070,,0,0,75,13750.0,13,6,,1,1
100-202EB1411,2,20,AO,3070,,0,0,75,21500.0,13,6,,1,1
100-202EC0290,1,10,AO,3070,,0,0,75,5000.0,13,6,,1,1
100-202F0290,1,10,AO,3070,,0,0,75,9000.0,13,6,,1,1
100-202F1081,2,20,AO,3070,,0,0,75,12600.0,13,6,,1,1
100-202F1150,2,20,AO,3070,,0,0,75,12000.0,13,6,,1,1
100-202F1240,2,20,AO,3070,,0,0,75,0.0,13,6,,1,1
100-202F1333,2,20,AO,3070,,0,0,75,21000.0,13,6,,1,1
100-202F1411,2,20,AO,3070,,0,0,75,21500.0,13,6,,1,1
100-220QA1150,1,10,AO,3994,,0,0,75,1832.0,13,6,,1,1
100-220QA1240,1,10,AO,3994,,0,0,75,1832.0,13,6,,1,1
100-220QB1150,1,10,AO,3994,,0,0,75,1832.0,13,6,,1,1
100-220QB1240,1,10,AO,3994,,0,0,75,1661.0,13,6,,1,1
100-220TA0700,1,10,AO,3994,,0,0,75,5299.0,13,6,,1,1
100-220TB0700,1,10,AO,3994,,0,0,75,4199.0,13,6,,1,1
105-201AA56,2,20,AO,3070,,0,0,75,24500.0,13,6,,1,1
105-201BA1333,2,20,AO,3070,,0,0,75,15500.0,13,6,,1,1
105-201BA1531,2,20,AO,3070,,0,0,75,0.0,13,6,,1,1
105-201BA2000,2,20,AO,3070,,0,0,75,0.0,13,6,,1,1
105-202AB2300,2,20,AO,3070,,0,0,75,28500.0,13,6,,1,1
105-202BA56,2,20,AO,3070,,0,0,75,24500.0,13,6,,1,1
105-202DA1333,2,20,AO,3070,,0,0,75,15500.0,13,6,,1,1
105-202DA1531,2,20,AO,3070,,0,0,75,15500.0,13,6,,1,1
105-202DA2000,2,20,AO,3070,,0,0,75,0.0,13,6,,1,1
105-202EA1333,2,20,AO,3070,,0,0,75,15500.0,13,6,,1,1
105-202EA1531,2,20,AO,3070,,0,0,75,15500.0,13,6,,1,1
105-202EA1531T,2,20,AO,3070,,0,0,75,15500.0,13,6,,1,1
105-202EA2000,2,20,AO,3070,,0,0,75,0.0,13,6,,1,1
105-220EA1333,2,20,AO,3994,,0,0,75,7991.0,13,6,,1,1
105-220EA1531,2,20,AO,3994,,0,0,75,11797.0,13,6,,1,1
105-220FA1333,2,20,AO,3994,,0,0,75,7843.0,13,6,,1,1
105-220FA1531,2,20,AO,3994,,0,0,75,9597.0,13,6,,1,1
115-203-1,1,10,AO,3994,,0,0,75,3850.0,13,6,,1,1
1151-220AA0280,1,10,AO,3994,,0,0,75,3098.0,13,6,,1,1
1151-220BA0280,1,10,AO,3994,,0,0,75,2911.0,13,6,,1,1
1155-105AA38,1,10,AO,1592,,0,0,0,4600.0,13,6,,1,1
1155-105AA48,1,10,AO,1592,,0,0,0,4858.0,13,6,,1,1
1155-105AAL38,1,10,AO,1592,,0,0,0,6500.0,13,6,,1,1
1155-105AAL48,1,10,AO,1592,,0,0,0,6240.0,13,6,,1,1
1155-105AB48,1,10,AO,1592,,0,0,0,10800.0,13,6,,1,1
1155-105ABL48,1,10,AO,1592,,0,0,0,6864.0,13,6,,1,1
1155-105BA48,1,10,AO,1592,,0,0,0,4858.0,13,6,,1,1
1155-105BAL38,1,10,AO,1592,,0,0,0,6500.0,13,6,,1,1
1155-105BAL48,1,10,AO,1592,,0,0,0,6240.0,13,6,,1,1
1155-105BB48,1,10,AO,1592,,0,0,0,10800.0,13,6,,1,1
1155-105BBL48,1,10,AO,1592,,0,0,0,6864.0,13,6,,1,1
1155-105CA48,1,10,AO,1592,,0,0,0,4600.0,13,6,,1,1
1155-105CAL38,1,10,AO,1592,,0,0,0,6500.0,13,6,,1,1
1155-105CAL48,1,10,AO,1592,,0,0,0,6500.0,13,6,,1,1
1155-105CB48,1,10,AO,1592,,0,0,0,4858.0,13,6,,1,1
1155-105CBL48,1,10,AO,1592,,0,0,0,6240.0,13,6,,1,1
1155-105CC48,1,10,AO,1592,,0,0,0,10200.0,13,6,,1,1
1155-105CCL48,1,10,AO,1592,,0,0,0,6864.0,13,6,,1,1
1155-105DA48,1,10,AO,1592,,0,0,0,4600.0,13,6,,1,1
1155-105DAL38,1,10,AO,1592,,0,0,0,6500.0,13,6,,1,1
1155-105DAL48,1,10,AO,1592,,0,0,0,6500.0,13,6,,1,1
1155-105DB48,1,10,AO,1592,,0,0,0,4858.0,13,6,,1,1
1155-105DBL48,1,10,AO,1592,,0,0,0,6240.0,13,6,,1,1
1155-105DC48,1,10,AO,1592,,0,0,0,10200.0,13,6,,1,1
1155-105DCL48,1,10,AO,1592,,0,0,0,6864.0,13,6,,1,1
1155-201AA1900,2,20,AO,3070,,0,0,75,23600.0,13,6,,1,1
1155-202AA1900,2,20,AO,3070,,0,0,75,23200.0,13,6,,1,1
1155-202BA1900,2,20,AO,3070,,0,0,75,23600.0,13,6,,1,1
12-201E-1133,2,20,AO,3070,,0,0,75,17000.0,13,6,,1,1
12-201K1133,2,20,AO,3070,,0,0,40,14500.0,13,6,,1,1
12-201K1353,2,20,AO,3070,,0,0,75,12500.0,13,6,,1,1
12-201L1133,2,20,AO,3070,,0,0,75,14725.0,13,6,,1,1
12-201L1353,2,20,AO,3070,,0,0,75,15200.0,13,6,,1,1
12-201L1353J,2,20,AO,3070,,0,0,75,14725.0,13,6,,1,1
12-201L1353S,2,20,AO,3070,,0,0,75,15200.0,13,6,,1,1
12A-105EAL38,1,10,AO,9999,,0,0,0,58000.0,13,6,,1,1
130-202AA0670,2,20,AO,3070,,0,0,75,21000.0,13,6,,1,1
1331-201EA2200,2,20,AO,3070,,0,0,75,0.0,13,6,,1,1
1331-201EA2650,2,20,AO,3070,,0,0,75,0.0,13,6,,1,1
1331-201GA2500-1,2,20,AO,3070,,0,0,75,28500.0,13,6,,1,1
1331-201HA2200,2,20,AO,3070,,0,0,75,25455.0,13,6,,1,1
1331-201HA2500,2,20,AO,3070,,0,0,75,28605.0,13,6,,1,1
1331-201HA2650,2,20,AO,3070,,0,0,75,32620.0,13,6,,1,1
1331-201HA2900,2,20,AO,3070,,0,0,75,40000.0,13,6,,1,1
1331-201JA2200-1,2,20,AO,3070,,0,0,75,31000.0,13,6,,1,1
1331-201JA2200S-1,2,20,AO,3070,,0,0,75,31000.0,13,6,,1,1
1331-201JA2500-1,2,20,AO,3070,,0,0,75,29410.0,13,6,,1,1
1331-201JA2500S-1,2,20,AO,3070,,0,0,75,28400.0,13,6,,1,1
1331-201JA2500T-1,2,20,AO,3070,,0,0,75,28400.0,13,6,,1,1
1331-201JA2650-1,2,20,AO,3070,,0,0,75,33060.0,13,6,,1,1
1331-201KA2200,2,20,AO,3070,,0,0,40,29355.0,13,6,,1,1
1331-201KA2300,2,20,AO,3070,,0,0,40,29480.0,13,6,,1,1
1331-201KA2500,2,20,AO,3070,,0,0,40,29730.0,13,6,,1,1
1331-201LA2200,2,20,AO,3070,,0,0,75,24755.0,13,6,,1,1
1331-201LA2350,2,20,AO,3070,,0,0,75,26425.0,13,6,,1,1
1331-201LA2500,2,20,AO,3070,,0,0,75,27820.0,13,6,,1,1
