HMCD,BUCD,SRCD,UNIT,VALDTF,VALQTY,PRICE,NOTE,SYOKAIHINKBN
ES64-01009AB,100,1009,PC,2022/2/19,1,8650,,2
ES64-01009BB,100,1009,PC,2022/2/19,1,7200,,2
ES64-01009BB,100,1009,PC,2025/5/2,200,7350,,2
00-1030,100,1011,PC,2013/6/1,1,246,,2
00-1030DA,100,1011,PC,2013/6/1,1,889.2,,2
00-1030E,100,1011,PC,2013/6/1,1,175,,2
00-1030F,100,1011,PC,2013/6/1,1,113,,2
00-1095CA12,100,1011,PC,2013/6/1,1,216,,2
00-1095CA24,100,1011,PC,2013/6/1,1,216,,2
00-1095CA36,100,1011,PC,2013/6/1,1,216,,2
00-1095CA48,100,1011,PC,2013/6/1,1,216,,2
00-1095CA60,100,1011,PC,2000/1/1,1,216,,2
00-1095CA60,100,1011,PC,2013/6/1,1,481,,2
00-1095CA72,100,1011,PC,2000/1/1,1,216,,2
00-1095CA72,100,1011,PC,2013/6/1,1,481,,2
00-1095CA84,100,1011,PC,2000/1/1,1,216,,2
00-1095CA84,100,1011,PC,2013/6/1,1,481,,2
00-1095CA96,100,1011,PC,2000/1/1,1,216,,2
00-1095CA96,100,1011,PC,2013/6/1,1,481,,2
00-1095CB12,100,1011,PC,2000/1/1,1,216,,2
00-1095CB12,100,1011,PC,2013/6/1,1,481,,2
00-1095CB24,100,1011,PC,2000/1/1,1,216,,2
00-1095CB24,100,1011,PC,2013/6/1,1,481,,2
00-1095CB36,100,1011,PC,2000/1/1,1,216,,2
00-1095CB36,100,1011,PC,2013/6/1,1,481,,2
00-1095CB48,100,1011,PC,2000/1/1,1,216,,2
00-1095CB48,100,1011,PC,2013/6/1,1,481,,2
00-1134AA-4,100,1011,PC,2013/6/1,1,325,,2
00-1134AA-4,100,1011,PC,2021/11/8,50,348,,2
00-1134AA-4,100,1011,PC,2022/9/22,0,382,,2
00-1134BA-4,100,1011,PC,2013/6/1,1,65,,2
00-918AG,100,1011,PC,2013/6/1,1,238,,2
00-918AL,100,1011,PC,2013/6/1,1,309.4,,2
00-918AL,100,1011,PC,2021/8/17,0,715,,2
00-918AL,100,1011,PC,2021/8/18,0,460,,2
00-918AN,100,1011,PC,2013/6/1,1,250,,2
00-918AP,100,1011,PC,2013/6/1,1,309.4,,2
00-918AP,100,1011,PC,2021/10/21,100,460,,2
00-918AQ,100,1011,PC,2013/6/1,1,309.4,,2
00-918AQ,100,1011,PC,2021/10/21,100,460,,2
00-918AR,100,1011,PC,2013/6/1,1,309.4,,2
00-918AR,100,1011,PC,2021/10/21,100,460,,2
00-918AT,100,1011,PC,2021/9/7,0,805,,2
00-918AT,100,1011,PC,2021/10/18,100,460,,2
00-961AP,100,1011,PC,2013/6/1,1,36.7,,2
00-961AP,100,1011,PC,2021/11/8,300,65,,2
00-961AQ,100,1011,PC,2013/6/1,1,35.9,,2
00-961AQ,100,1011,PC,2021/11/8,300,65,,2
00-961CG,100,1011,PC,2013/6/1,1,3.8,,2
00-961CL,100,1011,PC,2013/6/1,1,14.3,,2
00-961H,100,1011,PC,2013/6/1,1,2.37,,2
100-253C,100,1011,PC,2013/6/1,1,240,,2
100-253E,100,1011,PC,2013/6/1,1,300,,2
100-253H,100,1011,PC,2013/6/1,1,231,,2
100-253J,100,1011,PC,2013/6/1,1,231,,2
100-253L,100,1011,PC,2013/6/1,1,333,,2
100-253M,100,1011,PC,2013/6/1,1,400,,2
100-253N,100,1011,PC,2013/6/1,1,400,,2
100-253Q,100,1011,PC,2013/6/1,1,243,,2
100-253RA,100,1011,PC,2013/6/1,1,325,,2
100-253SA,100,1011,PC,2013/6/1,1,325,,2
100-253SB,100,1011,PC,2013/6/1,1,325,,2
100-253TA,100,1011,PC,2013/6/1,1,333,,2
100-253UA,100,1011,PC,2013/6/1,1,160,,2
100-253VA,100,1011,PC,2013/6/1,1,200,,2
100-253WA,100,1011,PC,2013/6/1,1,243,,2
100-253XA,100,1011,PC,2013/6/1,1,885,,2
100-253XA,100,1011,PC,2021/11/8,100,950,,2
105-253AA,100,1011,PC,2013/6/1,1,285,,2
105-253FA,100,1011,PC,2013/6/1,1,760,,2
130-253BA,100,1011,PC,2013/6/1,1,285,,2
130-253CA,100,1011,PC,2013/6/1,1,285,,2
2172-253AA,100,1011,PC,2013/6/1,1,780,,2
2172-253BA,100,1011,PC,2013/6/1,1,780,,2
2188-253AA,100,1011,PC,2019/7/11,0,720,,2
2188-253AA,100,1011,PC,2021/11/8,100,775,,2
2188-253AA-KATA,100,1011,PC,2019/7/11,0,58000,,2
2188-253BA,100,1011,PC,2019/8/13,100,720,,2
226-633BA36,100,1011,PC,2013/6/1,1,599,,2
226-633C30,100,1011,PC,2013/6/1,1,700,,2
266-633HA33,100,1011,PC,2013/6/1,1,599,,2
266-633KA33,100,1011,PC,2013/6/1,1,1012,,2
266-633RA33,100,1011,PC,2013/6/1,1,598,,2
266-633SA33,100,1011,PC,2013/6/1,1,700,,2
266-633TA33,100,1011,PC,2013/6/1,1,700,,2
269-633AA38,100,1011,PC,2013/6/1,1,700,,2
269-633BA38,100,1011,PC,2013/6/1,1,700,,2
269-633GA30,100,1011,PC,2013/6/1,1,1135,,2
352A-633AA30,100,1011,PC,2013/6/1,1,750,,2
352A-633BA30,100,1011,PC,2013/6/1,1,750,,2
352A-633CA30,100,1011,PC,2013/6/1,1,750,,2
352A-633DA30,100,1011,PC,2013/6/1,1,700,,2
389-235AA,100,1011,PC,2013/6/1,1,400,,2
606-660,100,1011,PC,2013/6/1,1,138,,2
620-447ASC,100,1011,PC,2013/6/1,1,200,,2
620-448Y,100,1011,PC,2013/6/1,1,38,,2
623-660,100,1011,PC,2013/6/1,1,181,,2
631-606,100,1011,PC,2013/6/1,1,741,,2
631-606BA,100,1011,PC,2013/6/1,1,741,,2
890-505C-1-24,100,1011,PC,2013/6/1,1,525,,2
890-505C-25-48,100,1011,PC,2013/6/1,1,525,,2
890-505CX48,100,1011,PC,2013/6/1,1,958,,2
890-505CX48,100,1011,PC,2016/2/1,0,1741.92,,2
890-505CX72,100,1011,PC,2013/6/1,1,1868,,2
890-505CX72,100,1011,PC,2018/6/13,20,2613,,2
890-505CX84,100,1011,PC,2013/6/1,1,1676,,2
890-505CX84,100,1011,PC,2016/2/1,0,3048.36,,2
890-505CX96,100,1011,PC,2013/6/1,1,2016,,2
950-670,100,1011,PC,2013/6/1,1,570,,2
DC-2405I-4,100,1011,PC,2000/1/1,1,455,,2
DC-2405I-4,100,1011,PC,2013/6/1,1,1000,,2
DC-2405L-4,100,1011,PC,2013/6/1,1,1250,,2
DC-2405M-4,100,1011,PC,2013/6/1,1,455,,2
DC-2405M-4,100,1011,PC,2015/10/7,0,3570,,2
DS64-00601AA,100,1011,PC,2013/6/1,1,1930,,2
E-20618B,100,1011,PC,2013/6/1,1,22.75,,2
E-26463AA,100,1011,PC,2013/6/1,1,995,,2
EE-ASAHIMEIBAN,100,1011,PC,2013/6/1,1,22,,2
EE-SHIM-BSP-0.1,100,1011,PC,2013/6/1,1,127.5,,2
EE-SHIM-BSP-0.2,100,1011,PC,2013/6/1,1,127.5,,2
FPL-001,100,1011,PC,2013/6/1,1,174,,2
FPL-001,100,1011,PC,2021/10/27,300,214,,2
FPL-002,100,1011,PC,2013/6/1,1,174,,2
FPL-002,100,1011,PC,2021/10/27,300,214,,2
FPL-002C,100,1011,PC,2013/6/1,1,174,,2
FPL-002C,100,1011,PC,2021/10/27,300,214,,2
FPL-003,100,1011,PC,2013/6/1,1,108,,2
FPL-003,100,1011,PC,2021/10/27,300,156,,2
FPL-004,100,1011,PC,2013/6/1,1,108,,2
FPL-004,100,1011,PC,2021/10/27,0,156,,2
FPL-004C,100,1011,PC,2013/6/1,1,108,,2
FPL-004C,100,1011,PC,2021/10/27,300,156,,2
FPL-005,100,1011,PC,2013/6/1,1,150,,2
FPL-005,100,1011,PC,2021/10/27,200,213,,2
FPL-005C,100,1011,PC,2013/6/1,1,125,,2
FPL-005C,100,1011,PC,2021/10/27,200,213,,2
FPL-006,100,1011,PC,2013/6/1,1,162,,2
FPL-006,100,1011,PC,2021/10/27,200,213,,2
FPL-006C,100,1011,PC,2013/6/1,1,150,,2
FPL-006C,100,1011,PC,2021/10/27,200,213,,2
FPL-007,100,1011,PC,2013/6/1,1,174,,2
FPL-007,100,1011,PC,2021/10/27,300,214,,2
FPL-008,100,1011,PC,2013/6/1,1,174,,2
FPL-008,100,1011,PC,2021/10/27,300,214,,2
FPL-008C,100,1011,PC,2013/6/1,1,174,,2
FPL-008C,100,1011,PC,2021/10/27,300,214,,2
FPL-009,100,1011,PC,2013/6/1,1,320,,2
FPL-021AA,100,1011,PC,2013/6/1,1,390,,2
FPL-021AA,100,1011,PC,2022/1/31,0,420,,2
FPL-022AA,100,1011,PC,2013/6/1,1,44,,2
FPL-20C,100,1011,PC,2013/6/1,1,195,,2
FPL-20C,100,1011,PC,2021/11/8,300,210,,2
FPL-20KA,100,1011,PC,2013/6/1,1,100,,2
FPL-20KA,100,1011,PC,2022/1/31,0,108,,2
K-14936C,100,1011,PC,2013/6/1,1,14.9,,2
MA-DC-2405A-7,100,1011,PC,2013/6/1,1,99.8,,2
MA-DC-2405B-7,100,1011,PC,2013/6/1,1,175,,2
MA-DC-2451A,100,1011,PC,2013/6/1,1,228,,2
MA-DC-2451B,100,1011,PC,2013/6/1,1,227.5,,2
MA-DC-2451E,100,1011,PC,2013/6/1,1,175,,2
MA-DC-2451F,100,1011,PC,2013/6/1,1,227.5,,2
SH-100AA,100,1011,PC,2013/6/1,1,95,,2
SH-100BA,100,1011,PC,2013/6/1,1,95,,2
SH-100CA,100,1011,PC,2013/6/1,1,90,,2
SH-100DA,100,1011,PC,2013/6/1,1,90,,2
SH-102AA,100,1011,PC,2016/6/27,0,217,,2
SH-102AA,100,1011,PC,2021/11/1,30,217.3,,2
SH-102BA,100,1011,PC,2016/6/27,0,217,,2
SH-102BA,100,1011,PC,2021/11/1,30,217.4,,2
SH-102CA,100,1011,PC,2016/6/27,0,217,,2
SH-102CA,100,1011,PC,2021/11/1,30,217.3,,2
SH-103AA,100,1011,PC,2013/6/1,1,101.4,,2
SH-103AA,100,1011,PC,2020/1/6,0,250,,2
SH-103AA,100,1011,PC,2021/11/1,30,250.3,,2
SH-103BA,100,1011,PC,2013/6/1,1,101.4,,2
SH-103BA,100,1011,PC,2020/1/6,0,250,,2
SH-103BA,100,1011,PC,2021/11/1,30,250.3,,2
SH-103CA,100,1011,PC,2013/6/1,1,101.4,,2
SH-103CA,100,1011,PC,2020/1/6,0,250,,2
SH-103CA,100,1011,PC,2021/11/1,30,250.3,,2
SH-104AA,100,1011,PC,2013/6/1,1,520,,2
SH-104AA,100,1011,PC,2021/11/1,500,521.1,,2
SH-104BA,100,1011,PC,2013/6/1,1,520,,2
SH-104BA,100,1011,PC,2021/11/1,500,520.8,,2
SH-104CA,100,1011,PC,2013/6/1,1,520,,2
SH-104CA,100,1011,PC,2021/11/1,500,521.7,,2
SH-105AA,100,1011,PC,2013/6/1,1,110.5,,2
SH-105AA,100,1011,PC,2020/1/6,0,222,,2
SH-105AA,100,1011,PC,2021/11/1,100,222.7,,2
SH-105BA,100,1011,PC,2013/6/1,1,110.5,,2
SH-105BA,100,1011,PC,2020/1/6,0,224,,2
SH-105BA,100,1011,PC,2021/11/1,100,224.9,,2
SH-105CA,100,1011,PC,2013/6/1,1,135,,2
SH-105CA,100,1011,PC,2021/11/1,100,182.4,,2
SH-105DA,100,1011,PC,2013/6/1,1,135.2,,2
SH-105DA,100,1011,PC,2020/1/6,0,181,,2
SH-105EA,100,1011,PC,2013/6/1,1,165.1,,2
SH-106AA,100,1011,PC,2013/6/1,1,98,,2
SH-106AA,100,1011,PC,2020/1/6,0,139,,2
SH-106AA,100,1011,PC,2021/11/1,100,139.4,,2
SH-106BA,100,1011,PC,2013/6/1,1,98,,2
SH-106BA,100,1011,PC,2020/1/6,0,140,,2
SH-106BA,100,1011,PC,2021/11/1,100,140.6,,2
SH-106CA,100,1011,PC,2013/6/1,1,110.5,,2
SH-106DA,100,1011,PC,2013/6/1,1,110.5,,2
SH-106EA,100,1011,PC,2013/6/1,1,135.2,,2
SH-110AA,100,1011,PC,2013/6/1,1,487.5,,2
SH-110AA,100,1011,PC,2021/11/1,200,489.2,,2
SH-111A,100,1011,PC,2013/6/1,1,84.5,,2
SH-111B,100,1011,PC,2013/6/1,1,84.5,,2
SH-111C,100,1011,PC,2013/6/1,1,84.5,,2
SH-112AA,100,1011,PC,2013/6/1,1,169,,2
SH-112AA,100,1011,PC,2021/11/1,600,172.6,,2
SH-112BA,100,1011,PC,2013/6/1,1,169,,2
SH-112BA,100,1011,PC,2015/10/7,0,175.16,,2
SH-112BA,100,1011,PC,2016/7/1,0,143,,2
SH-112BA,100,1011,PC,2021/11/1,200,148.6,,2
SH-113AA,100,1011,PC,2000/1/1,1,182,,2
SH-113AA,100,1011,PC,2013/6/1,1,58.2,,2
SH-113AA,100,1011,PC,2021/11/1,1000,59,,2
SH-113BA,100,1011,PC,2000/1/1,1,182,,2
SH-113BA,100,1011,PC,2013/6/1,1,59.35,,2
SH-113BA,100,1011,PC,2021/11/1,2000,182.6,,2
SH-113CA,100,1011,PC,2013/6/1,1,182,,2
SH-113CA,100,1011,PC,2021/11/1,1000,184.7,,2
SH-114AA,100,1011,PC,2013/6/1,1,90,,2
SH-114BA,100,1011,PC,2000/1/1,1,127,,2
SH-114BA,100,1011,PC,2021/11/1,100,128.8,,2
SH-116AA,100,1011,PC,2013/6/1,1,60.2,,2
SH-116BA,100,1011,PC,2013/6/1,1,61.52,,2
SH-116CA,100,1011,PC,2013/6/1,1,55.18,,2
SH-118AA,100,1011,PC,2021/10/6,100,306,,2
SH-118AA,100,1011,PC,2021/11/1,100,129.9,,2
SH-118BA,100,1011,PC,2021/10/6,100,306,,2
SH-118BA,100,1011,PC,2021/11/1,100,130.9,,2
SH-118CA,100,1011,PC,2021/10/6,100,287,,2
SH-118CA,100,1011,PC,2021/11/1,100,111.3,,2
SH-118DA,100,1011,PC,2021/10/6,100,287,,2
SH-118DA,100,1011,PC,2021/11/1,100,110,,2
SH-120AA,100,1011,PC,2013/6/1,1,80,,2
SH-120AA,100,1011,PC,2021/11/1,200,80.3,,2
SH-120BA,100,1011,PC,2013/6/1,1,85,,2
SH-120BA,100,1011,PC,2021/11/1,200,86,,2
SH-130AA,100,1011,PC,2022/7/26,200,314.19,,2
SH-130BA,100,1011,PC,2022/7/26,200,316.04,,2
SH-32A,100,1011,PC,2021/11/1,1000,69.4,,2
SH-32B,100,1011,PC,2021/11/1,1000,52,,2
SH-32C,100,1011,PC,2021/11/1,1000,53.3,,2
SH-32D,100,1011,PC,2021/11/1,1000,53.1,,2
SH-32E,100,1011,PC,2021/11/1,1000,70.7,,2
SH-32F,100,1011,PC,2016/8/5,0,89.27,,2
SH-32F,100,1011,PC,2016/8/18,0,54.27,,2
SH-32F,100,1011,PC,2018/7/4,0,54.27,,2
SH-32F,100,1011,PC,2021/11/1,1000,55.8,,2
SH-32G,100,1011,PC,2016/8/5,0,124.82,,2
SH-32G,100,1011,PC,2016/8/18,0,89.82,,2
SH-32G,100,1011,PC,2021/11/1,1000,94.1,,2
