HMCD,BUCD,SRCD,UNIT,VALDTF,VALQTY,PRICE,NOTE,SYOKAIHINKBN
MA-DC-2405A-7,100,1011,PC,2013/6/1,1,99.8,,2
MA-DC-2405B-7,100,1011,PC,2013/6/1,1,175.0,,2
MA-DC-2451A,100,1011,PC,2013/6/1,1,228.0,,2
MA-DC-2451B,100,1011,PC,2013/6/1,1,227.5,,2
MA-DC-2451E,100,1011,PC,2013/6/1,1,175.0,,2
MA-DC-2451F,100,1011,PC,2013/6/1,1,227.5,,2
MA-1331-274AA,100,1042,PC,2017/4/6,1,2000.0,,2
MA-K-14902-3,100,1042,PC,2016/3/8,0,2762.0,,2
MA-K-14903D,100,1042,PC,2016/3/8,0,1430.0,,2
MA-K-14913JA,100,1042,PC,2016/3/8,0,5346.0,,2
MA-YD65-13402AA,100,1042,PC,2021/4/7,0,280.0,,2
MA-YD65-13402HA,100,1042,PC,2021/3/23,0,350.0,,2
MA-YS65-07906CB,100,1042,PC,2022/9/5,0,800.0,,2
MA-YS65-14402AA,100,1042,PC,2021/10/25,0,310.0,,2
MA-77-641B,100,1045,PC,2013/6/1,1,230.0,,2
MA-G-1111UA,100,1071,PC,2023/10/18,250,112.0,,2
MA-G-1111UA,100,1071,PC,2024/3/19,250,112.0,,2
MA-G-1111VA,100,1071,PC,2023/10/18,250,112.0,,2
MA-G-1111VA,100,1071,PC,2024/3/19,250,112.0,,2
MA-DC-2453B,100,1086,PC,2013/6/1,1,180.0,,2
MA-SN-98B,100,1086,PC,2016/3/8,0,11.0,,2
MA-120-420CA,100,1111,PC,2025/1/10,1,5500.0,,2
MA-355-541,100,1128,PC,2013/6/1,1,320.0,,2
MA-355-541,100,1128,PC,2015/6/1,1,352.0,,2
MA-100-704AA26,100,1130,PC,2013/6/1,1,15000.0,,2
MA-100-704AA26Y,100,1130,PC,2013/6/1,1,16000.0,,2
MA-100-704AA30,100,1130,PC,2013/6/1,1,15000.0,,2
MA-100-704AA30P,100,1130,PC,2013/6/1,1,16200.0,,2
MA-100-704AA30Y,100,1130,PC,2013/6/1,1,17500.0,,2
MA-100-704AA38,100,1130,PC,2013/6/1,1,17150.0,,2
MA-105-701DA,100,1130,PC,2013/6/1,1,19500.0,,2
MA-105-701EA,100,1130,PC,2013/6/1,1,20700.0,,2
MA-105-701FA,100,1130,PC,2013/6/1,1,21600.0,,2
MA-105-701FA,100,1130,PC,2021/3/18,1,30600.0,,2
MA-105-701FA,100,1130,PC,2021/10/14,1,31600.0,,2
MA-79-634,100,1137,PC,2013/6/1,1,750.0,,2
MA-79-63438,100,1137,PC,2013/6/1,1,750.0,,2
MA-90-213,100,1137,PC,2013/6/1,1,1060.0,,2
MA-00-1153AA,100,1205,PC,2013/6/1,1,3500.0,,2
MA-01-707AA,100,1205,PC,2013/6/1,1,800.0,,2
MA-100-303AA071288N,100,1205,PC,2019/1/8,1,4000.0,,2
MA-100-303AA080288N,100,1205,PC,2013/6/1,1,4000.0,,2
MA-100-303AA080288N,100,1205,PC,2022/10/20,1,4500.0,,2
MA-100-303AA0803810N,100,1205,PC,2013/6/1,1,4200.0,,2
MA-100-303AA0803810N,100,1205,PC,2016/8/1,1,3150.0,,2
MA-100-303AA0803810N,100,1205,PC,2022/10/20,1,4800.0,,2
MA-100-303AA090288N,100,1205,PC,2013/6/1,1,3800.0,,2
MA-100-303AA090288N,100,1205,PC,2022/10/20,1,4700.0,,2
MA-100-303AA0903810N,100,1205,PC,2013/6/1,1,4200.0,,2
MA-100-303AA0903810N,100,1205,PC,2016/8/1,1,3350.0,,2
MA-100-303AA0903810N,100,1205,PC,2022/10/20,1,5200.0,,2
MA-100-303AA100288N,100,1205,PC,2013/6/1,1,7200.0,,2
MA-100-303AA1003810N,100,1205,PC,2013/6/1,1,6000.0,,2
MA-100-303AA1003810N,100,1205,PC,2016/8/1,1,4700.0,,2
MA-100-303AA1003810N,100,1205,PC,2022/10/20,1,5700.0,,2
MA-100-303AA112288N,100,1205,PC,2000/1/1,1,1800.0,,2
MA-100-303AA112288N,100,1205,PC,2013/6/1,1,6800.0,,2
MA-100-303AA1253810N,100,1205,PC,2013/6/1,1,7200.0,,2
MA-100-303AA1403810N,100,1205,PC,2013/6/1,1,7400.0,,2
MA-100-304-200,100,1205,PC,2013/6/1,1,11000.0,,2
MA-100-304-200,100,1205,PC,2022/10/20,1,21000.0,,2
MA-100-304-230,100,1205,PC,2013/6/1,1,12000.0,,2
MA-100-304-230,100,1205,PC,2022/10/20,1,22000.0,,2
MA-1045-432AA,100,1205,PC,2013/6/1,1,12000.0,,2
MA-1045-455AA,100,1205,PC,2013/6/1,1,12000.0,,2
MA-1045-460AA,100,1205,PC,2013/6/1,1,6800.0,,2
MA-105-303BA09038,100,1205,PC,2013/6/1,1,4200.0,,2
MA-162-304BA230,100,1205,PC,2013/6/1,1,9500.0,,2
MA-162-304BA230,100,1205,PC,2018/4/25,1,20000.0,,2
MA-162-304BA230,100,1205,PC,2018/4/25,10,12200.0,,2
MA-162-304BA230,100,1205,PC,2022/10/20,1,26000.0,,2
MA-162-304CA140,100,1205,PC,2013/6/1,1,5800.0,,2
MA-162-304CA140,100,1205,PC,2022/10/20,1,6900.0,,2
MA-162-304CA170,100,1205,PC,2013/6/1,1,6000.0,,2
MA-19B-304-230,100,1205,PC,2023/6/7,0,52000.0,,2
MA-19B-304B-160,100,1205,PC,2013/6/1,1,12000.0,,2
