OYAHMCD,KTCD,BUCD,SRCD,VALDTF,VALQTY,PRICE,NOTE,SYOKAIHINKBN
00-1153AA,PL,100,3861,2013/06/01,0.0,300.0,,1
00-1153AA,PL,100,1973,2013/06/01,0.0,500.0,,1
00-1153AA,PL,100,9999,2000/01/01,0.0,300.0,,1
00-1157AA,MC,100,1042,2018/03/27,0.0,3200.0,,1
00-1157AA,MC,100,9999,2000/01/01,0.0,3200.0,,1
00-757B,PA,100,1515,2022/08/25,0.0,315.0,,1
00-757B,PA,100,1515,2013/06/01,0.0,300.0,,1
00-757C,PA,100,1515,2013/06/01,0.0,300.0,,1
00-757C,PA,100,9999,2000/01/01,0.0,300.0,,1
00-757E,PA,100,1515,2013/06/01,0.0,800.0,,1
00-757E,PA,100,9999,2000/01/01,0.0,300.0,,1
00-757FA,PA,100,1515,2013/06/01,0.0,300.0,,1
00-757FA,PA,100,9999,2000/01/01,0.0,300.0,,1
0105-12A01AA48,PA,100,3406,2013/06/01,0.0,25360.0,,1
0105-12A01AA48,PA,100,9999,2000/01/01,0.0,24150.0,,1
0105-12A01AA56,PA,100,9999,2000/01/01,0.0,35000.0,,1
0105-12A01AB48,PA,100,3406,2013/06/01,0.0,25360.0,,1
0105-12A01AB48,PA,100,9999,2000/01/01,0.0,24150.0,,1
0105-12A01AB56,PA,100,9999,2000/01/01,0.0,36750.0,,1
0105-12A01AC48,PA,100,3406,2013/06/01,0.0,25400.0,,1
0105-12A01AC48,PA,100,9999,2000/01/01,0.0,25400.0,,1
0105-12A01BA48,PA,100,1515,2013/06/01,0.0,18000.0,,1
0105-12A01CC48,PA,100,3406,2013/06/01,0.0,25360.0,,1
0105-12A01CC48,PA,100,9999,2000/01/01,0.0,25360.0,,1
0105-12A01DA56,PA,100,1515,2013/06/01,0.0,18000.0,,1
0105-12A01DB48,PA,100,1515,2013/06/01,0.0,18000.0,,1
0105-12A01DC48,PA,100,3406,2013/06/01,0.0,18000.0,,1
0105-12A01DC48,PA,100,9999,2000/01/01,0.0,18000.0,,1
0106-12A01CA20,PA,100,3406,2013/06/01,0.0,14100.0,,1
0106-12A01CA20,PA,100,9999,2000/01/01,0.0,12770.0,,1
01-702AA,PL,100,1973,2013/06/01,0.0,457.0,,1
01-702AB,PL,100,1973,2013/06/01,0.0,801.0,,1
01-707AA,PL,100,3861,2013/06/01,0.0,200.0,,1
01-707AA,PL,100,9999,2000/01/01,0.0,200.0,,1
100-105-4ASB,PA,100,3406,2013/06/01,0.0,75.0,,1
100-105BA26,PA,100,1515,2013/06/01,0.0,2000.0,,1
100-105BA26,PA,100,9999,2000/01/01,0.0,2000.0,,1
100-105BA30,PA,100,1515,2013/06/01,0.0,2000.0,,1
100-105BA30,PA,100,9999,2000/01/01,0.0,2000.0,,1
100-105BA38,PA,100,1515,2013/06/01,0.0,2000.0,,1
100-105BA38,PA,100,9999,2000/01/01,0.0,2000.0,,1
100-105BB26,PA,100,1515,2013/06/01,0.0,2000.0,,1
100-105BB26,PA,100,9999,2000/01/01,0.0,2000.0,,1
100-105BB30,PA,100,1515,2013/06/01,0.0,2000.0,,1
100-105BB30,PA,100,9999,2000/01/01,0.0,2000.0,,1
100-105BB38,PA,100,1515,2013/06/01,0.0,2000.0,,1
100-105BB38,PA,100,9999,2000/01/01,0.0,2000.0,,1
100-12A01DA30,PA,100,3406,2018/08/28,0.0,9500.0,,1
100-12A01DA30,PA,100,9999,2000/01/01,0.0,9500.0,,1
100-201B0800,L,100,3254,2018/06/21,0.0,2950.0,,1
100-201B0800,L,100,3254,2016/03/08,0.0,2907.0,,1
100-201B0800,L,100,9999,2000/01/01,0.0,2950.0,,1
100-201B0800,AO,100,3070,2021/02/15,0.0,11400.0,,1
100-201B0800,AO,100,3070,2016/03/08,0.0,0.0,,1
100-201B0800,AO,100,9999,2000/01/01,0.0,11400.0,,1
100-201B0930,L,100,3254,2018/06/21,0.0,2995.0,,1
100-201B0930,L,100,3254,2016/03/08,0.0,2952.0,,1
100-201B0930,L,100,9999,2000/01/01,0.0,2995.0,,1
100-201B0930,AO,100,3070,2016/03/08,0.0,10000.0,,1
100-201B0930,AO,100,9999,2000/01/01,0.0,10000.0,,1
100-201B1150,L,100,3254,2022/12/23,0.0,2693.0,,1
100-201B1150,L,100,3254,2018/06/21,0.0,2573.0,,1
100-201B1150,L,100,3254,2016/03/08,0.0,2530.0,,1
100-201B1150,L,100,9999,2000/01/01,0.0,2693.0,,1
100-201B1150,AO,100,3070,2017/07/04,0.0,12000.0,,1
100-201B1150,AO,100,3070,2016/03/08,0.0,0.0,,1
100-201B1150,AO,100,9999,2000/01/01,0.0,12000.0,,1
100-201B1333,L,100,3254,2022/12/23,0.0,2837.0,,1
100-201B1333,L,100,3254,2018/06/21,0.0,2717.0,,1
100-201B1333,L,100,3254,2016/03/08,0.0,2674.0,,1
100-201B1333,L,100,9999,2000/01/01,0.0,2837.0,,1
100-201B1333,AO,100,3070,2016/10/28,0.0,15000.0,,1
100-201B1333,AO,100,3070,2016/03/08,0.0,21000.0,,1
100-201B1333,AO,100,9999,2000/01/01,0.0,15000.0,,1
100-201C1081,L,100,3254,2018/06/21,0.0,2503.0,,1
100-201C1081,L,100,3254,2016/03/08,0.0,2459.0,,1
100-201C1081,AO,100,3070,2016/03/08,0.0,0.0,,1
100-201C1150,L,100,3254,2022/12/23,0.0,2782.0,,1
100-201C1150,L,100,3254,2018/06/21,0.0,2662.0,,1
100-201C1150,L,100,3254,2016/03/08,0.0,2618.0,,1
100-201C1150,L,100,9999,2000/01/01,0.0,2782.0,,1
100-201C1150,AO,100,3070,2016/09/08,0.0,12000.0,,1
100-201C1150,AO,100,3070,2016/03/08,0.0,0.0,,1
100-201C1150,AO,100,9999,2000/01/01,0.0,12000.0,,1
100-201C1240,L,100,3254,2018/06/21,0.0,3476.0,,1
100-201C1240,L,100,3254,2016/03/08,0.0,3432.0,,1
100-201C1240,L,100,9999,2000/01/01,0.0,3476.0,,1
100-201C1240,AO,100,3070,2017/05/26,0.0,12000.0,,1
100-201C1240,AO,100,3070,2016/03/08,0.0,0.0,,1
100-201C1240,AO,100,9999,2000/01/01,0.0,12000.0,,1
100-201C1333,L,100,3254,2017/02/06,0.0,2618.0,,1
100-201C1333,L,100,9999,2000/01/01,0.0,2618.0,,1
100-201C1333,AO,100,3070,2016/12/13,0.0,15000.0,,1
100-201C1333,AO,100,9999,2000/01/01,0.0,15000.0,,1
100-201E0290,AO,100,3070,2019/01/15,0.0,9000.0,,1
100-201E0290,AO,100,9999,2000/01/01,0.0,9000.0,,1
100-201E1150,L,100,3254,2022/12/23,0.0,6735.0,,1
100-201E1150,L,100,3254,2022/04/27,0.0,6300.0,,1
100-201E1150,L,100,9999,2000/01/01,0.0,6735.0,,1
100-201E1150,AO,100,3070,2022/05/10,0.0,12000.0,,1
100-201E1150,AO,100,9999,2000/01/01,0.0,12000.0,,1
100-201F1081,L,100,3254,2022/12/23,0.0,8685.0,,1
100-201F1081,L,100,3254,2021/07/01,0.0,8250.0,,1
100-201F1081,L,100,9999,2000/01/01,0.0,8250.0,,1
