HMCD,BUCD,SRCD,UNIT,VALDTF,VALQTY,PRICE,NOTE,SYOKAIHINKBN
00-1143AA300,100,3994,PC,2017/12/20,0.0,1800.0,,1
00-1143AA303,100,3994,PC,2019/08/09,0.0,1800.0,,1
00-1143AA306,100,3994,PC,2017/12/20,0.0,1800.0,,1
00-1153AA,100,1205,PC,2013/06/01,0.0,3500.0,,1
00-1157AA,100,2660,PC,2024/10/22,0.0,6460.0,,1
00-1160AA,100,,PC,,0.0,0.0,,1
00-757B,100,1380,PC,2013/06/01,0.0,5347.0,,1
00-757C,100,1380,PC,2013/06/01,0.0,5347.0,,1
00-757E,100,1380,PC,2013/06/01,0.0,5347.0,,1
00-757FA,100,1380,PC,2013/06/01,0.0,5723.0,,1
00-771D,100,1380,PC,2013/06/01,0.0,1809.0,,1
00-918BA,100,3999,PC,2024/08/22,0.0,1410.0,,1
00-918CA,100,3999,PC,2021/08/24,0.0,504.0,,1
0105-12A01AA48,100,3305,PC,2013/06/01,0.0,170500.0,,1
0105-12A01AA56,100,3305,PC,2013/06/01,0.0,209000.0,,1
0105-12A01AB48,100,3305,PC,2013/06/01,0.0,241000.0,,1
0105-12A01AB56,100,3305,PC,2013/06/01,0.0,212300.0,,1
0105-12A01AC48,100,3305,PC,2013/06/01,0.0,233500.0,,1
0105-12A01BA48,100,,PC,,0.0,0.0,,1
0105-12A01CC48,100,3305,PC,2013/06/01,0.0,251000.0,,1
0105-12A01DA56,100,3305,PC,2013/06/01,0.0,62000.0,,1
0105-12A01DB48,100,3305,PC,2013/06/01,0.0,58000.0,,1
0105-12A01DC48,100,3305,PC,2013/06/01,0.0,310000.0,,1
0105-12A03GA56,100,,PC,,0.0,0.0,,1
0106-12A01CA20,100,1592,PC,2013/06/01,0.0,77700.0,,1
01-702AA,100,2959,PC,2013/06/01,0.0,1696.0,,1
01-702AB,100,2959,PC,2013/06/01,0.0,2100.0,,1
01-707AA,100,1205,PC,2013/06/01,0.0,800.0,,1
100-105-4ASB,100,,PC,,0.0,0.0,,1
100-105-4DC,100,,PC,,0.0,0.0,,1
100-105-4EBS,100,,PC,,0.0,0.0,,1
100-105BA26,100,1592,PC,2013/06/01,0.0,60500.0,,1
100-105BA30,100,1592,PC,2013/06/01,0.0,51000.0,,1
100-105BA38,100,1592,PC,2013/06/01,0.0,65000.0,,1
100-105BB26,100,1592,PC,2013/06/01,0.0,60500.0,,1
100-105BB30,100,1592,PC,2013/06/01,0.0,51000.0,,1
100-105BB38,100,1592,PC,2013/06/01,0.0,65000.0,,1
100-110C,100,1484,PC,2013/06/01,0.0,590.0,,1
100-12A01DA30,100,3305,PC,2022/02/21,0.0,104819.0,,1
100-201B0800,100,3142,PC,2025/03/07,0.0,2010.0,,1
100-201B0930,100,3142,PC,2025/03/07,0.0,2010.0,,1
100-201B1150,100,3142,PC,2025/07/14,0.0,2740.0,,1
100-201B1333,100,3142,PC,2025/04/04,0.0,3310.0,,1
100-201C1081,100,3142,PC,2025/07/14,0.0,2740.0,,1
100-201C1150,100,3142,PC,2025/07/14,0.0,2740.0,,1
100-201C1240,100,3142,PC,2025/07/14,0.0,2740.0,,1
100-201C1333,100,3142,PC,2025/07/14,0.0,2740.0,,1
100-201E0290,100,,PC,,0.0,0.0,,1
100-201E1150,100,3142,PC,2025/07/14,0.0,2740.0,,1
