区分コード,完成部番,単位数分子1,単位数分母1,前工程1,単位数分子2,単位数分母2,前工程2,単位数分子3,単位数分母3,前工程3,単位数分子4,単位数分母4,前工程4,単位数分子5,単位数分母5,前工程5,単位数分子6,単位数分母6,前工程6
3,1331-210HB,1.0,1,MA-1331-210HA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
3,1331-210JB,1.0,1,MA-1331-210JB,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
3,1331-211HA,1.0,1,MA-1331-211HA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
3,1331-211HB,1.0,1,MA-1331-211HA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
3,1331-211JB,1.0,1,MA-1331-211JB,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
2,1331-259PA2200,1.0,1,PL-1331-259PA2200,1.0,1.0,L2-1331-259PA2200,1.0,1.0,L1-1331-259NA/PA2200,1.0,1.0,MA-SPL-2779AA/BA-2224ROLL,0.0,0.0,,0.0,0.0,
3,1651-237BA,1.0,1,L1-1651-237BA,1.0,1.0,MA-1651-237BA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
3,2185-210AA,1.0,1,MA-2185-210AA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
3,2185-210AB,1.0,1,MA-2185-210AB,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
3,2185-210AC,1.0,1,MA-2185-210AB,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
3,2185-210BA,1.0,1,MA-2185-210BA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
3,2185-210CA,1.0,1,MA-2185-210AB,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
3,2185-211AA,1.0,1,MA-2185-211AA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
3,2185-211AB,1.0,1,MA-2185-211AB,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
3,2185-211AC,1.0,1,MA-2185-211AB,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
3,2185-211BA,1.0,1,MA-2185-211BA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
3,2185-211CA,1.0,1,MA-2185-211AB,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
3,2185-233AA,1.0,1,MA-2185-233AA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
3,2185-233AB,1.0,1,MA-2185-233AA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
3,2190-210AA,1.0,1,MA-2190-210AA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
3,2190-210AB,1.0,1,MA-2190-210AA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
3,2190-211AA,1.0,1,MA-2190-211AA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
3,2190-211AB,1.0,1,MA-2190-211AA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
