No,完成部番,単位数分子,単位数分母,前工程
1,1331-210HB,0.0,0.0,
2,1331-210HB,0.0,0.0,
3,1331-210HB,0.0,0.0,
4,1331-210HB,0.0,0.0,
5,1331-210HB,0.0,0.0,
6,1331-210HB,1.0,1,MA-1331-210HA
1,1331-210JB,0.0,0.0,
2,1331-210JB,0.0,0.0,
3,1331-210JB,0.0,0.0,
4,1331-210JB,0.0,0.0,
5,1331-210JB,0.0,0.0,
6,1331-210JB,1.0,1,MA-1331-210JB
1,1331-211HA,0.0,0.0,
2,1331-211HA,0.0,0.0,
3,1331-211HA,0.0,0.0,
4,1331-211HA,0.0,0.0,
5,1331-211HA,0.0,0.0,
6,1331-211HA,1.0,1,MA-1331-211HA
1,1331-211HB,0.0,0.0,
2,1331-211HB,0.0,0.0,
3,1331-211HB,0.0,0.0,
4,1331-211HB,0.0,0.0,
5,1331-211HB,0.0,0.0,
6,1331-211HB,1.0,1,MA-1331-211HA
1,1331-211JB,0.0,0.0,
2,1331-211JB,0.0,0.0,
3,1331-211JB,0.0,0.0,
4,1331-211JB,0.0,0.0,
5,1331-211JB,0.0,0.0,
6,1331-211JB,1.0,1,MA-1331-211JB
1,1331-259PA2200,0.0,0.0,
2,1331-259PA2200,0.0,0.0,
3,1331-259PA2200,1.0,1.0,MA-SPL-2779AA/BA-2224ROLL
4,1331-259PA2200,1.0,1.0,L1-1331-259NA/PA2200
5,1331-259PA2200,1.0,1.0,L2-1331-259PA2200
6,1331-259PA2200,1.0,1,PL-1331-259PA2200
1,1651-237BA,0.0,0.0,
2,1651-237BA,0.0,0.0,
3,1651-237BA,0.0,0.0,
4,1651-237BA,0.0,0.0,
5,1651-237BA,1.0,1.0,MA-1651-237BA
6,1651-237BA,1.0,1,L1-1651-237BA
1,2185-210AA,0.0,0.0,
2,2185-210AA,0.0,0.0,
3,2185-210AA,0.0,0.0,
4,2185-210AA,0.0,0.0,
5,2185-210AA,0.0,0.0,
6,2185-210AA,1.0,1,MA-2185-210AA
1,2185-210AB,0.0,0.0,
2,2185-210AB,0.0,0.0,
3,2185-210AB,0.0,0.0,
4,2185-210AB,0.0,0.0,
5,2185-210AB,0.0,0.0,
6,2185-210AB,1.0,1,MA-2185-210AB
1,2185-210AC,0.0,0.0,
2,2185-210AC,0.0,0.0,
3,2185-210AC,0.0,0.0,
4,2185-210AC,0.0,0.0,
5,2185-210AC,0.0,0.0,
6,2185-210AC,1.0,1,MA-2185-210AB
1,2185-210BA,0.0,0.0,
2,2185-210BA,0.0,0.0,
3,2185-210BA,0.0,0.0,
4,2185-210BA,0.0,0.0,
5,2185-210BA,0.0,0.0,
6,2185-210BA,1.0,1,MA-2185-210BA
1,2185-210CA,0.0,0.0,
2,2185-210CA,0.0,0.0,
3,2185-210CA,0.0,0.0,
4,2185-210CA,0.0,0.0,
5,2185-210CA,0.0,0.0,
6,2185-210CA,1.0,1,MA-2185-210AB
1,2185-211AA,0.0,0.0,
2,2185-211AA,0.0,0.0,
3,2185-211AA,0.0,0.0,
4,2185-211AA,0.0,0.0,
5,2185-211AA,0.0,0.0,
6,2185-211AA,1.0,1,MA-2185-211AA
1,2185-211AB,0.0,0.0,
2,2185-211AB,0.0,0.0,
3,2185-211AB,0.0,0.0,
4,2185-211AB,0.0,0.0,
5,2185-211AB,0.0,0.0,
6,2185-211AB,1.0,1,MA-2185-211AB
1,2185-211AC,0.0,0.0,
2,2185-211AC,0.0,0.0,
3,2185-211AC,0.0,0.0,
4,2185-211AC,0.0,0.0,
5,2185-211AC,0.0,0.0,
6,2185-211AC,1.0,1,MA-2185-211AB
1,2185-211BA,0.0,0.0,
2,2185-211BA,0.0,0.0,
3,2185-211BA,0.0,0.0,
4,2185-211BA,0.0,0.0,
5,2185-211BA,0.0,0.0,
6,2185-211BA,1.0,1,MA-2185-211BA
1,2185-211CA,0.0,0.0,
2,2185-211CA,0.0,0.0,
3,2185-211CA,0.0,0.0,
4,2185-211CA,0.0,0.0,
5,2185-211CA,0.0,0.0,
6,2185-211CA,1.0,1,MA-2185-211AB
1,2185-233AA,0.0,0.0,
2,2185-233AA,0.0,0.0,
3,2185-233AA,0.0,0.0,
4,2185-233AA,0.0,0.0,
5,2185-233AA,0.0,0.0,
6,2185-233AA,1.0,1,MA-2185-233AA
1,2185-233AB,0.0,0.0,
2,2185-233AB,0.0,0.0,
3,2185-233AB,0.0,0.0,
4,2185-233AB,0.0,0.0,
5,2185-233AB,0.0,0.0,
6,2185-233AB,1.0,1,MA-2185-233AA
1,2190-210AA,0.0,0.0,
2,2190-210AA,0.0,0.0,
3,2190-210AA,0.0,0.0,
4,2190-210AA,0.0,0.0,
5,2190-210AA,0.0,0.0,
6,2190-210AA,1.0,1,MA-2190-210AA
1,2190-210AB,0.0,0.0,
2,2190-210AB,0.0,0.0,
3,2190-210AB,0.0,0.0,
4,2190-210AB,0.0,0.0,
5,2190-210AB,0.0,0.0,
6,2190-210AB,1.0,1,MA-2190-210AA
1,2190-211AA,0.0,0.0,
2,2190-211AA,0.0,0.0,
3,2190-211AA,0.0,0.0,
4,2190-211AA,0.0,0.0,
5,2190-211AA,0.0,0.0,
6,2190-211AA,1.0,1,MA-2190-211AA
1,2190-211AB,0.0,0.0,
2,2190-211AB,0.0,0.0,
3,2190-211AB,0.0,0.0,
4,2190-211AB,0.0,0.0,
5,2190-211AB,0.0,0.0,
6,2190-211AB,1.0,1,MA-2190-211AA
1,2190-259BA2200-1A,0.0,0.0,
2,2190-259BA2200-1A,0.0,0.0,
3,2190-259BA2200-1A,0.0,0.0,
4,2190-259BA2200-1A,0.0,0.0,
5,2190-259BA2200-1A,1.0,1.0,MA-SPL-2779AA/BA-2224ROLL
6,2190-259BA2200-1A,1.0,1,L1-1331-259NA/PA2200
1,2190-259BA2300-1A,0.0,0.0,
2,2190-259BA2300-1A,0.0,0.0,
3,2190-259BA2300-1A,0.0,0.0,
4,2190-259BA2300-1A,0.0,0.0,
5,2190-259BA2300-1A,1.0,1.0,MA-SPL-2779AA/BA-2324ROLL
6,2190-259BA2300-1A,1.0,1,L1-2190-259BA2300
1,2190-259BA2350-1A,0.0,0.0,
2,2190-259BA2350-1A,0.0,0.0,
3,2190-259BA2350-1A,0.0,0.0,
4,2190-259BA2350-1A,0.0,0.0,
5,2190-259BA2350-1A,1.0,1.0,MA-SPL-2779AA/BA-ROLL
6,2190-259BA2350-1A,1.0,1,L1-2190-259BA2350
1,2190-259BA2500-1A,0.0,0.0,
2,2190-259BA2500-1A,0.0,0.0,
3,2190-259BA2500-1A,0.0,0.0,
4,2190-259BA2500-1A,0.0,0.0,
5,2190-259BA2500-1A,1.0,1.0,MA-SPL-2779AA/BA-ROLL
6,2190-259BA2500-1A,1.0,1,L1-1331-259NA/PA2500
1,2190-259BA2650-1A,0.0,0.0,
2,2190-259BA2650-1A,0.0,0.0,
3,2190-259BA2650-1A,0.0,0.0,
4,2190-259BA2650-1A,0.0,0.0,
5,2190-259BA2650-1A,1.0,1.0,MA-SPL-2779AA/BA-ROLL
6,2190-259BA2650-1A,1.0,1,L1-1331-259NA/PA2650
1,2190-259CA2200-1A,0.0,0.0,
2,2190-259CA2200-1A,0.0,0.0,
3,2190-259CA2200-1A,0.0,0.0,
4,2190-259CA2200-1A,0.0,0.0,
5,2190-259CA2200-1A,1.0,1.0,MA-SPL-2779AA/BA-2224ROLL
6,2190-259CA2200-1A,1.0,1,L1-2190-259CA2200
1,2190-259CA2500-1A,0.0,0.0,
2,2190-259CA2500-1A,0.0,0.0,
3,2190-259CA2500-1A,0.0,0.0,
4,2190-259CA2500-1A,0.0,0.0,
5,2190-259CA2500-1A,1.0,1.0,MA-SPL-2779AA/BA-ROLL
6,2190-259CA2500-1A,1.0,1,L1-2190-259CA2500
1,2190-259CA2650-1A,0.0,0.0,
2,2190-259CA2650-1A,0.0,0.0,
3,2190-259CA2650-1A,0.0,0.0,
4,2190-259CA2650-1A,0.0,0.0,
5,2190-259CA2650-1A,1.0,1.0,MA-SPL-2779AA/BA-ROLL
6,2190-259CA2650-1A,1.0,1,L1-2190-259CA2650
1,21A1-259AA1471-1A,0.0,0.0,
2,21A1-259AA1471-1A,0.0,0.0,
3,21A1-259AA1471-1A,0.0,0.0,
4,21A1-259AA1471-1A,0.0,0.0,
5,21A1-259AA1471-1A,1.0,1.0,MA-SPL-2779AA/BA-ROLL
6,21A1-259AA1471-1A,1.0,1,L-21A1-259AA1471
1,ES61-00101FA,0.0,0.0,
2,ES61-00101FA,0.0,0.0,
3,ES61-00101FA,0.0,0.0,
4,ES61-00101FA,0.0,0.0,
5,ES61-00101FA,0.0,0.0,
6,ES61-00101FA,1.0,1,MA-ES61-00301AC
1,ES61-00301AB,0.0,0.0,
2,ES61-00301AB,0.0,0.0,
3,ES61-00301AB,0.0,0.0,
4,ES61-00301AB,0.0,0.0,
5,ES61-00301AB,0.0,0.0,
6,ES61-00301AB,1.0,1,MA-ES61-00301AC
1,ES61-00301AC,0.0,0.0,
2,ES61-00301AC,0.0,0.0,
3,ES61-00301AC,0.0,0.0,
4,ES61-00301AC,0.0,0.0,
5,ES61-00301AC,0.0,0.0,
6,ES61-00301AC,1.0,1,MA-ES61-00301AC
1,ES61-00301BC,0.0,0.0,
2,ES61-00301BC,0.0,0.0,
3,ES61-00301BC,0.0,0.0,
4,ES61-00301BC,0.0,0.0,
5,ES61-00301BC,1.0,1.0,MA-ES61-00301AC
6,ES61-00301BC,1.0,1,PEFIN-ES61-00301BC
1,ES61-00301BD,0.0,0.0,
2,ES61-00301BD,0.0,0.0,
3,ES61-00301BD,0.0,0.0,
4,ES61-00301BD,0.0,0.0,
5,ES61-00301BD,0.0,0.0,
6,ES61-00301BD,1.0,1,MA-ES61-00301AC
1,ES61-00301EA,0.0,0.0,
2,ES61-00301EA,0.0,0.0,
3,ES61-00301EA,0.0,0.0,
4,ES61-00301EA,0.0,0.0,
5,ES61-00301EA,0.0,0.0,
6,ES61-00301EA,1.0,1,MA-ES61-00301AC
1,ES61-00301FA,0.0,0.0,
2,ES61-00301FA,0.0,0.0,
3,ES61-00301FA,0.0,0.0,
4,ES61-00301FA,0.0,0.0,
5,ES61-00301FA,0.0,0.0,
6,ES61-00301FA,1.0,1,MA-ES61-00301AC
1,ES61-00301FC,0.0,0.0,
2,ES61-00301FC,0.0,0.0,
3,ES61-00301FC,0.0,0.0,
4,ES61-00301FC,0.0,0.0,
5,ES61-00301FC,0.0,0.0,
6,ES61-00301FC,1.0,1,MA-ES61-00301AC
1,ES61-00601AA,0.0,0.0,
2,ES61-00601AA,0.0,0.0,
3,ES61-00601AA,0.0,0.0,
4,ES61-00601AA,0.0,0.0,
5,ES61-00601AA,1.0,1.0,MA-ES61-00601AA
6,ES61-00601AA,1.0,1,PEFIN-ES61-00601AA
1,ES61-00601BA,0.0,0.0,
2,ES61-00601BA,0.0,0.0,
3,ES61-00601BA,0.0,0.0,
4,ES61-00601BA,0.0,0.0,
5,ES61-00601BA,1.0,1.0,MA-ES61-00601BA
6,ES61-00601BA,1.0,1,PEFIN-ES61-00601BA
1,G-6503GD,0.0,0.0,
2,G-6503GD,0.0,0.0,
3,G-6503GD,0.0,0.0,
4,G-6503GD,0.0,0.0,
5,G-6503GD,1.0,0.0,
6,G-6503GD,1.0,1,MA-G-6503GD
1,G-6503HB,0.0,0.0,
2,G-6503HB,0.0,0.0,
3,G-6503HB,0.0,0.0,
4,G-6503HB,0.0,0.0,
5,G-6503HB,1.0,0.0,
