No,完成部番,単位数分子,単位数分母,前工程
6,1331-210HB,1.0,1.0,MA-1331-210HA
6,1331-210JB,1.0,1.0,MA-1331-210JB
6,1331-211HA,1.0,1.0,MA-1331-211HA
6,1331-211HB,1.0,1.0,MA-1331-211HA
6,1331-211JB,1.0,1.0,MA-1331-211JB
3,1331-259PA2200,1.0,1.0,MA-SPL-2779AA/BA-2224ROLL
5,1651-237BA,1.0,1.0,MA-1651-237BA
6,2185-210AA,1.0,1.0,MA-2185-210AA
6,2185-210AB,1.0,1.0,MA-2185-210AB
6,2185-210AC,1.0,1.0,MA-2185-210AB
6,2185-210BA,1.0,1.0,MA-2185-210BA
6,2185-210CA,1.0,1.0,MA-2185-210AB
6,2185-211AA,1.0,1.0,MA-2185-211AA
6,2185-211AB,1.0,1.0,MA-2185-211AB
6,2185-211AC,1.0,1.0,MA-2185-211AB
6,2185-211BA,1.0,1.0,MA-2185-211BA
6,2185-211CA,1.0,1.0,MA-2185-211AB
6,2185-233AA,1.0,1.0,MA-2185-233AA
6,2185-233AB,1.0,1.0,MA-2185-233AA
6,2190-210AA,1.0,1.0,MA-2190-210AA
6,2190-210AB,1.0,1.0,MA-2190-210AA
6,2190-211AA,1.0,1.0,MA-2190-211AA
6,2190-211AB,1.0,1.0,MA-2190-211AA
5,2190-259BA2200-1A,1.0,1.0,MA-SPL-2779AA/BA-2224ROLL
5,2190-259BA2300-1A,1.0,1.0,MA-SPL-2779AA/BA-2324ROLL
5,2190-259BA2350-1A,1.0,1.0,MA-SPL-2779AA/BA-ROLL
5,2190-259BA2500-1A,1.0,1.0,MA-SPL-2779AA/BA-ROLL
5,2190-259BA2650-1A,1.0,1.0,MA-SPL-2779AA/BA-ROLL
5,2190-259CA2200-1A,1.0,1.0,MA-SPL-2779AA/BA-2224ROLL
5,2190-259CA2500-1A,1.0,1.0,MA-SPL-2779AA/BA-ROLL
5,2190-259CA2650-1A,1.0,1.0,MA-SPL-2779AA/BA-ROLL
5,21A1-259AA1471-1A,1.0,1.0,MA-SPL-2779AA/BA-ROLL
6,ES61-00101FA,1.0,1.0,MA-ES61-00301AC
6,ES61-00301AB,1.0,1.0,MA-ES61-00301AC
6,ES61-00301AC,1.0,1.0,MA-ES61-00301AC
5,ES61-00301BC,1.0,1.0,MA-ES61-00301AC
6,ES61-00301BD,1.0,1.0,MA-ES61-00301AC
6,ES61-00301EA,1.0,1.0,MA-ES61-00301AC
6,ES61-00301FA,1.0,1.0,MA-ES61-00301AC
6,ES61-00301FC,1.0,1.0,MA-ES61-00301AC
5,ES61-00601AA,1.0,1.0,MA-ES61-00601AA
5,ES61-00601BA,1.0,1.0,MA-ES61-00601BA
6,G-6503GD,1.0,1.0,MA-G-6503GD
6,G-6503HB,1.0,1.0,MA-G-6503HA
6,G-6503KA,1.0,1.0,MA-G-6503KA
6,G-6503KD,1.0,1.0,MA-G-6503KC
6,KF20-03601EA0560,1.0,1.0,MA-KF20-03601EA0560
6,KF20-03601EB0560,1.0,1.0,MA-KF20-03601EB0800
6,KF20-03601EB0800,1.0,1.0,MA-KF20-03601EB0800
6,KF20-03601EB0850,1.0,1.0,MA-KF20-03601EB0800
6,KF20-03602EA0560,1.0,1.0,MA-KF20-03602EA0560
