HMCD,SEQ,KTSEQ,KTCD,SRCD,SGNCD,DDTIME,SGTIME,LDTIME,SRPRICE,CSBCD,SUPCLSCD,SUPCD,RCVTSTKBN,RCVCHKKBN
YCF-116NAP,4,40,CHDE,CC,,10,0,0,0,10,,,2,2
YCF-116NAP,5,50,HOLF,CC,,10,0,0,0,10,,,2,2
YCF-116NAP,6,60,HT,CC,CA036,30,0,1,0,10,,,2,2
YCF-116NAP,7,70,QBR,CC,CA025,10,0,0,0,10,,,2,2
YCF-116NAP,8,80,HOLD,CC,,10,0,0,0,10,,,2,2
YCF-116NAP,9,60,PL,3861,,10,60,2,999,13,,,2,1
YCF-116NAP,10,100,YAFIN,CC,,10,10,1,0,10,,,2,2
YCF-116MBP,1,10,WC,PT,PT001,60,120,1,0,10,,,2,2
YCF-116MBP,2,20,MC1,CC,CA020,12,30,0,0,10,,,2,2
YCF-116MBP,3,30,MC2,CC,CA020,12,15,1,0,10,,,2,2
YCF-116MBP,4,40,CHDE,CC,,10,0,0,0,10,,,2,2
YCF-116MBP,5,50,HOLF,CC,,10,0,0,0,10,,,2,2
YCF-116MBP,6,60,HT,CC,CA036,30,0,1,0,10,,,2,2
YCF-116MBP,7,70,QBR,CC,CA025,10,0,0,0,10,,,2,2
YCF-116MBP,8,80,HOLD,CC,,10,0,0,0,10,,,2,2
YCF-116MBP,9,90,PL,3861,,10,60,2,999,13,,,2,1
YCF-116MBP,10,100,YAFIN,CC,,10,10,1,0,10,,,2,2
YCF-137YB,1,10,WC,PT,PT001,60,120,1,0,10,,,2,2
YCF-137YB,2,20,MC1,CC,CA020,12,30,0,0,10,,,2,2
YCF-137YB,3,30,MC2,CC,CA020,12,15,1,0,10,,,2,2
YCF-137YB,4,40,CHDE,CC,,10,0,0,0,10,,,2,2
YCF-137YB,5,50,HOLF,CC,,10,0,0,0,10,,,2,2
YCF-137YB,6,60,HT,CC,CA036,30,0,1,0,10,,,2,2
YCF-137YB,7,70,QBR,CC,CA025,10,0,0,0,10,,,2,2
YCF-137YB,8,80,HOLD,CC,,10,0,0,0,10,,,2,2
YCF-137YB,9,90,PL,3861,,10,60,2,999,13,,,2,1
YCF-137YB,10,100,YAFIN,CC,,10,10,1,0,10,,,2,2
