HMCD,HMNM,HMWNM,MODEL,MODELW,MAKER,MATERIAL,PROCESS,HMKBN,HMGUNCD,HMBUNCD,BUCD,CSBCD,ZUNITCD,WEIGHT,HUNITCD,HIRIQTY,PKBN,RCVTSTKBN,RCVCHKKBN,SUPLT,TAXKBN,COST,PRICE,SHAPEKBN,SIZEX,SIZEY,SIZEZ,SHAPEQTY,SHAPEUNIT,KTEXPKBN,ATEXPKBN,EXPSTPKBN,SEIKBN,STOPDT,STOPNOTE,NOTE,VALFLG,MISUMIHNKBN,STDGNKKSKBN,KKNAIBTNKKBN,KTTNKIKBN,SYUKOKBN,CVDOKONKBN,SECTION,CLASSNM,EGROUP,CAT,HEATTRTMT,SURFTRTTMT,NTCD
211-606AA30,,,,,,,,,,,,,,0.0,,0.0,,,,0,,0.0,,,,,,0.0,,,,,,,,,,,1,1,2,1,2,, ,,,,,
211-606AA33,,,,,,,,,,,,,,0.0,,0.0,,,,0,,0.0,,,,,,0.0,,,,,,,,,,,1,1,2,1,2,, ,,,,,
211-606AA38,,,,,,,,,,,,,,0.0,,0.0,,,,0,,0.0,,,,,,0.0,,,,,,,,,,,1,1,2,1,2,, ,,,,,
211-606BA30,,,,,,,,,,,,,,0.0,,0.0,,,,0,,0.0,,,,,,0.0,,,,,,,,,,,1,1,2,1,2,, ,,,,,
211-606BA33,,,,,,,,,,,,,,0.0,,0.0,,,,0,,0.0,,,,,,0.0,,,,,,,,,,,1,1,2,1,2,, ,,,,,
211-606BA38,,,,,,,,,,,,,,0.0,,0.0,,,,0,,0.0,,,,,,0.0,,,,,,,,,,,1,1,2,1,2,, ,,,,,
211-607AB30,,,,,,,,,,,,,,0.0,,0.0,,,,0,,0.0,,,,,,0.0,,,,,,,,,,,1,1,2,1,2,, ,,,,,
211-607AB33,,,,,,,,,,,,,,0.0,,0.0,,,,0,,0.0,,,,,,0.0,,,,,,,,,,,1,1,2,1,2,, ,,,,,
211-607AB38,,,,,,,,,,,,,,0.0,,0.0,,,,0,,0.0,,,,,,0.0,,,,,,,,,,,1,1,2,1,2,, ,,,,,
220-521P,,,,,,,,,,,,,,0.0,,0.0,,,,0,,0.0,,,,,,0.0,,,,,,,,,,,1,1,2,1,2,, ,,,,,
279-629A30,,,,,,,,,,,,,,0.0,,0.0,,,,0,,0.0,,,,,,0.0,,,,,,,,,,,1,1,2,1,2,, ,,,,,
3167-515BA30,,,,,,,,,,,,,,0.0,,0.0,,,,0,,0.0,,,,,,0.0,,,,,,,,,,,1,1,2,1,2,, ,,,,,
3222-505AA30,,,,,,,,,,,,,,0.0,,0.0,,,,0,,0.0,,,,,,0.0,,,,,,,,,,,1,1,2,1,2,, ,,,,,
3222-513AA34,,,,,,,,,,,,,,0.0,,0.0,,,,0,,0.0,,,,,,0.0,,,,,,,,,,,1,1,2,1,2,, ,,,,,
3230-612AA30,,,,,,,,,,,,,,0.0,,0.0,,,,0,,0.0,,,,,,0.0,,,,,,,,,,,1,1,2,1,2,, ,,,,,
3232-516AA30,,,,,,,,,,,,,,0.0,,0.0,,,,0,,0.0,,,,,,0.0,,,,,,,,,,,1,1,2,1,2,, ,,,,,
3513-514AA30,,,,,,,,,,,,,,0.0,,0.0,,,,0,,0.0,,,,,,0.0,,,,,,,,,,,1,1,2,1,2,, ,,,,,
3513-515AA30,,,,,,,,,,,,,,0.0,,0.0,,,,0,,0.0,,,,,,0.0,,,,,,,,,,,1,1,2,1,2,, ,,,,,
