HMCD,SEQ,KTSEQ,KTCD
YCF-116NAP,4,5040,CHDE
YCF-116NAP,5,5050,HOLF
YCF-116NAP,6,5060,HT
YCF-116NAP,7,5070,QBR
YCF-116NAP,8,5080,HOLD
YCF-116NAP,9,5090,PL
YCF-116NAP,10,5100,YAFIN
YCF-116MBP,1,5010,WC
YCF-116MBP,2,5020,MC1
YCF-116MBP,3,5030,MC2
YCF-116MBP,4,5040,CHDE
YCF-116MBP,5,5050,HOLF
YCF-116MBP,6,5060,HT
YCF-116MBP,7,5070,QBR
YCF-116MBP,8,5080,HOLD
YCF-116MBP,9,5090,PL
YCF-116MBP,10,5100,YAFIN
YCF-137YB,1,5010,WC
YCF-137YB,2,5020,MC1
YCF-137YB,3,5030,MC2
YCF-137YB,4,5040,CHDE
YCF-137YB,5,5050,HOLF
YCF-137YB,6,5060,HT
YCF-137YB,7,5070,QBR
YCF-137YB,8,5080,HOLD
YCF-137YB,9,5090,PL
YCF-137YB,10,5100,YAFIN
YS65-00101NA30,1,5010,WC
YS65-00101NA30,2,5020,MC1
YS65-00101NA30,3,5030,CHDE
YS65-00101NA30,4,5040,G
YS65-00101NA30,5,5050,HOLF
YS65-00101NA30,6,5060,HT
YS65-00101NA30,7,5070,QBR
YS65-00101NA30,8,5080,HOLD
YS65-00101NA30,9,5090,PL
YS65-00101NA30,10,5100,YAFIN
YS65-26401AA34,1,5010,WC
YS65-26401AA34,2,5020,MC1
YS65-26401AA34,3,5030,CHDE
YS65-26401AA34,4,5040,G
YS65-26401AA34,5,5050,HOLF
YS65-26401AA34,6,5060,HT
YS65-26401AA34,7,5070,QBR
YS65-26401AA34,8,5080,HOLD
YS65-26401AA34,9,5090,PL
YS65-26401AA34,10,5100,YAFIN
YS65-26401BA34,1,5010,WC
YS65-26401BA34,2,5020,MC1
YS65-26401BA34,3,5030,CHDE
YS65-26401BA34,4,5040,HOLF
YS65-26401BA34,5,5050,HT
YS65-26401BA34,6,5060,QBR
YS65-26401BA34,7,5070,HOLD
YS65-26401BA34,8,5080,PL
YS65-26401BA34,9,5090,YAFIN
YCM-205,1,5010,MC1
YCM-205,2,5020,MC2
YCM-205,3,5030,CHDE
YCM-205,4,5040,HOLF
YCM-205,5,5050,HT
YCM-205,6,5060,QBR
YCM-205,7,5070,HOLD
YCM-205,8,5080,PL
YCM-205,9,5090,YAFIN
YCM-204C,1,5010,MC1
YCM-204C,2,5020,MC2
YCM-204C,3,5030,CHDE
YCM-204C,4,5040,HOLF
YCM-204C,5,5050,HT
YCM-204C,6,5060,QBR
YCM-204C,7,5070,HOLD
YCM-204C,8,5080,PL
YCM-204C,9,5090,YAFIN
YCM-135C,1,5010,MC1
YCM-135C,2,5020,MC2
YCM-135C,3,5030,CHDE
YCM-135C,4,5040,HOLF
YCM-135C,5,5050,HT
YCM-135C,6,5060,QBR
YCM-135C,7,5070,HOLD
YCM-135C,8,5080,PL
YCM-135C,9,5090,YAFIN
YS65-03701AB,1,5010,MC1
YS65-03701AB,2,5020,MC2
YS65-03701AB,3,5030,CHDE
YS65-03701AB,4,5040,HOLF
YS65-03701AB,5,5050,HT
YS65-03701AB,6,5060,QBR
YS65-03701AB,7,5070,HOLD
YS65-03701AB,8,5080,PL
YS65-03701AB,9,5090,YAFIN
C0078B38033600420000,1,5010,FL
C0078B38033600420000,2,5020,G
C0078B38033600420000,3,5030,BF
C0078B38033600420000,4,5040,CYFIN
C5542A34025200420000,1,5010,FL
C5542A34025200420000,2,5020,G
C5542A34025200420000,3,5030,BF
C5542A34025200420000,4,5040,CYFIN
C0274D38024400550000,1,5010,FL
C0274D38024400550000,2,5020,G
C0274D38024400550000,3,5030,BF
C0274D38024400550000,4,5040,CYFIN
C0274D38028080480000,1,5010,FL
C0274D38028080480000,2,5020,G
C0274D38028080480000,3,5030,BF
C0274D38028080480000,4,5040,CYFIN
C0078B36020280480000,1,5010,FL
