OYAHMCD,KTCD,BUCD,SRCD,VALDTF,VALQTY,PRICE,NOTE,SYOKAIHINKBN
00-1153AA,PL,100,3861,2013/6/1,0,300,,2
00-1153AA,PL,100,1973,2013/6/1,0,500,,2
00-1153AA,PL,100,9999,2000/1/1,0,300,,2
00-1157AA,MC,100,1042,2018/3/27,0,3200,,2
00-1157AA,MC,100,9999,2000/1/1,0,3200,,2
00-757B,PA,100,1515,2022/8/25,0,315,,2
00-757B,PA,100,1515,2013/6/1,0,300,,2
00-757C,PA,100,1515,2013/6/1,0,300,,2
00-757C,PA,100,9999,2000/1/1,0,300,,2
00-757E,PA,100,1515,2013/6/1,0,800,,2
00-757E,PA,100,9999,2000/1/1,0,300,,2
00-757FA,PA,100,1515,2013/6/1,0,300,,2
00-757FA,PA,100,9999,2000/1/1,0,300,,2
0105-12A01AA48,PA,100,3406,2013/6/1,0,25360,,2
0105-12A01AA48,PA,100,9999,2000/1/1,0,24150,,2
0105-12A01AA56,PA,100,9999,2000/1/1,0,35000,,2
0105-12A01AB48,PA,100,3406,2013/6/1,0,25360,,2
0105-12A01AB48,PA,100,9999,2000/1/1,0,24150,,2
0105-12A01AB56,PA,100,9999,2000/1/1,0,36750,,2
0105-12A01AC48,PA,100,3406,2013/6/1,0,25400,,2
0105-12A01AC48,PA,100,9999,2000/1/1,0,25400,,2
0105-12A01BA48,PA,100,1515,2013/6/1,0,18000,,2
0105-12A01CC48,PA,100,3406,2013/6/1,0,25360,,2
0105-12A01CC48,PA,100,9999,2000/1/1,0,25360,,2
0105-12A01DA56,PA,100,1515,2013/6/1,0,18000,,2
0105-12A01DB48,PA,100,1515,2013/6/1,0,18000,,2
0105-12A01DC48,PA,100,3406,2013/6/1,0,18000,,2
0105-12A01DC48,PA,100,9999,2000/1/1,0,18000,,2
0106-12A01CA20,PA,100,3406,2013/6/1,0,14100,,2
0106-12A01CA20,PA,100,9999,2000/1/1,0,12770,,2
01-702AA,PL,100,1973,2013/6/1,0,457,,2
01-702AB,PL,100,1973,2013/6/1,0,801,,2
01-707AA,PL,100,3861,2013/6/1,0,200,,2
01-707AA,PL,100,9999,2000/1/1,0,200,,2
100-105-4ASB,PA,100,3406,2013/6/1,0,75,,2
100-105BA26,PA,100,1515,2013/6/1,0,2000,,2
100-105BA26,PA,100,9999,2000/1/1,0,2000,,2
100-105BA30,PA,100,1515,2013/6/1,0,2000,,2
100-105BA30,PA,100,9999,2000/1/1,0,2000,,2
100-105BA38,PA,100,1515,2013/6/1,0,2000,,2
100-105BA38,PA,100,9999,2000/1/1,0,2000,,2
100-105BB26,PA,100,1515,2013/6/1,0,2000,,2
100-105BB26,PA,100,9999,2000/1/1,0,2000,,2
100-105BB30,PA,100,1515,2013/6/1,0,2000,,2
100-105BB30,PA,100,9999,2000/1/1,0,2000,,2
100-105BB38,PA,100,1515,2013/6/1,0,2000,,2
100-105BB38,PA,100,9999,2000/1/1,0,2000,,2
100-12A01DA30,PA,100,3406,2018/8/28,0,9500,,2
100-12A01DA30,PA,100,9999,2000/1/1,0,9500,,2
100-201B0800,L,100,3254,2018/6/21,0,2950,,2
100-201B0800,L,100,3254,2016/3/8,0,2907,,2
100-201B0800,L,100,9999,2000/1/1,0,2950,,2
100-201B0800,AO,100,3070,2021/2/15,0,11400,,2
100-201B0800,AO,100,3070,2016/3/8,0,0,,2
100-201B0800,AO,100,9999,2000/1/1,0,11400,,2
100-201B0930,L,100,3254,2018/6/21,0,2995,,2
100-201B0930,L,100,3254,2016/3/8,0,2952,,2
100-201B0930,L,100,9999,2000/1/1,0,2995,,2
100-201B0930,AO,100,3070,2016/3/8,0,10000,,2
100-201B0930,AO,100,9999,2000/1/1,0,10000,,2
100-201B1150,L,100,3254,2022/12/23,0,2693,,2
100-201B1150,L,100,3254,2018/6/21,0,2573,,2
100-201B1150,L,100,3254,2016/3/8,0,2530,,2
100-201B1150,L,100,9999,2000/1/1,0,2693,,2
100-201B1150,AO,100,3070,2017/7/4,0,12000,,2
100-201B1150,AO,100,3070,2016/3/8,0,0,,2
100-201B1150,AO,100,9999,2000/1/1,0,12000,,2
100-201B1333,L,100,3254,2022/12/23,0,2837,,2
100-201B1333,L,100,3254,2018/6/21,0,2717,,2
100-201B1333,L,100,3254,2016/3/8,0,2674,,2
100-201B1333,L,100,9999,2000/1/1,0,2837,,2
100-201B1333,AO,100,3070,2016/10/28,0,15000,,2
100-201B1333,AO,100,3070,2016/3/8,0,21000,,2
100-201B1333,AO,100,9999,2000/1/1,0,15000,,2
100-201C1081,L,100,3254,2018/6/21,0,2503,,2
100-201C1081,L,100,3254,2016/3/8,0,2459,,2
100-201C1081,AO,100,3070,2016/3/8,0,0,,2
100-201C1150,L,100,3254,2022/12/23,0,2782,,2
100-201C1150,L,100,3254,2018/6/21,0,2662,,2
100-201C1150,L,100,3254,2016/3/8,0,2618,,2
100-201C1150,L,100,9999,2000/1/1,0,2782,,2
100-201C1150,AO,100,3070,2016/9/8,0,12000,,2
100-201C1150,AO,100,3070,2016/3/8,0,0,,2
100-201C1150,AO,100,9999,2000/1/1,0,12000,,2
100-201C1240,L,100,3254,2018/6/21,0,3476,,2
100-201C1240,L,100,3254,2016/3/8,0,3432,,2
100-201C1240,L,100,9999,2000/1/1,0,3476,,2
100-201C1240,AO,100,3070,2017/5/26,0,12000,,2
100-201C1240,AO,100,3070,2016/3/8,0,0,,2
100-201C1240,AO,100,9999,2000/1/1,0,12000,,2
100-201C1333,L,100,3254,2017/2/6,0,2618,,2
100-201C1333,L,100,9999,2000/1/1,0,2618,,2
100-201C1333,AO,100,3070,2016/12/13,0,15000,,2
100-201C1333,AO,100,9999,2000/1/1,0,15000,,2
100-201E0290,AO,100,3070,2019/1/15,0,9000,,2
100-201E0290,AO,100,9999,2000/1/1,0,9000,,2
100-201E1150,L,100,3254,2022/12/23,0,6735,,2
100-201E1150,L,100,3254,2022/4/27,0,6300,,2
100-201E1150,L,100,9999,2000/1/1,0,6735,,2
100-201E1150,AO,100,3070,2022/5/10,0,12000,,2
100-201E1150,AO,100,9999,2000/1/1,0,12000,,2
100-201F1081,L,100,3254,2022/12/23,0,8685,,2
100-201F1081,L,100,3254,2021/7/1,0,8250,,2
100-201F1081,L,100,9999,2000/1/1,0,8250,,2
100-201F1081,AO,100,3070,2021/7/7,0,12600,,2
100-201F1081,AO,100,9999,2000/1/1,0,12600,,2
100-201F1150,L,100,3254,2018/6/21,0,8251,,2
100-201F1150,L,100,3254,2016/3/8,0,8203,,2
100-201F1150,L,100,9999,2000/1/1,0,8251,,2
100-201F1150,AO,100,3070,2018/6/6,0,12000,,2
100-201F1150,AO,100,3070,2016/3/8,0,0,,2
100-201F1150,AO,100,9999,2000/1/1,0,12000,,2
100-201F1240,L,100,3254,2018/6/21,0,4448,,2
100-201F1240,L,100,3254,2016/3/8,0,4400,,2
100-201F1240,AO,100,3070,2016/3/8,0,0,,2
100-201F1333,L,100,3254,2022/12/23,0,8209,,2
100-201F1333,L,100,3254,2018/6/21,0,7774,,2
100-201F1333,L,100,3254,2016/3/8,0,7726,,2
100-201F1333,L,100,9999,2000/1/1,0,8209,,2
100-201F1333,AO,100,3070,2016/3/8,0,21000,,2
100-201F1333,AO,100,3070,2016/1/25,0,21000,,2
100-201F1333,AO,100,9999,2000/1/1,0,21000,,2
100-201F1411,L,100,3254,2016/6/9,0,4270,,2
100-201F1411,L,100,9999,2000/1/1,0,4270,,2
100-201F1411,AO,100,3070,2016/6/30,0,21500,,2
100-201F1411,AO,100,9999,2000/1/1,0,21500,,2
100-201JA1333T,L,100,3254,2019/1/25,0,18000,,2
100-201JA1333T,L,100,9999,2000/1/1,0,18000,,2
100-201JA1333T,AO,100,3070,2019/1/14,0,13750,,2
100-201JA1333T,AO,100,9999,2000/1/1,0,13750,,2
100-202A0800,L,100,3254,2021/2/2,0,6000,,2
100-202A0800,L,100,3254,2018/6/21,0,5754,,2
100-202A0800,L,100,3254,2016/3/8,0,5610,,2
100-202A0800,L,100,9999,2000/1/1,0,6000,,2
100-202A0800,AO,100,3070,2021/2/24,0,9500,,2
100-202A0800,AO,100,3070,2016/3/8,0,0,,2
100-202A0800,AO,100,9999,2000/1/1,0,9500,,2
100-202A0930,L,100,3254,2021/2/2,0,6200,,2
100-202A0930,L,100,3254,2018/6/21,0,5556,,2
100-202A0930,L,100,3254,2016/3/8,0,5412,,2
100-202A0930,L,100,9999,2000/1/1,0,6200,,2
