FINAL_ITEM_CODE,PRODUCT_TYP
5154-502EA33,7
6210-602ED34,7
5154-641AA33,7
790-502BA26,7
6108-502AA36,7
5154-602EB33,7
5154-602BA33,7
1155-102AB,7
1044-430EA,7
1044-404AD,7
101-440FA38,7
1355-440AA24,7
101-440DA38,7
101-440EA38,7
600-502AD30,7
1035-417AA26,7
5172-502AA33,7
1035-417AA30,7
1551-401CB30,7
161-406JB31,7
1035-418AA30,7
100-501NA26,7
100-501NA28,7
100-501NA30,7
130-501BA14,7
100-501NA3038,7
3562-502ZA34,7
100-501NA3234,7
100-501NA34,7
100-501NA36,7
100-501NA42,7
1831-501DB38,7
100-501PA30,7
101-440B30,7
12Q-411BA31,7
G-6501GC,7
5172-601AA32,7
6109-502AA36,7
5530-501BA36,7
355-40930,7
6108-606AA36,7
6108-601AA36,7
201-502BA14,7
6109-502FA34,7
6108-641AA36,7
6108-602AA36,7
5530-501CA36,7
6108-602EA36,7
6108-602CA36,7
6108-602DA36,7
5173-502AB34,7
5521-601AA23,7
603-60838,7
3166-608AA16,7
580-652AA38,7
4117-601FA36,7
5172-501AA32,7
582-502RA38,7
582-601EA38,7
3139-502FB34,7
3557-502AA34,7
6104-409CA38,7
810-409B34,7
600-652AA14,7
600-65230,7
6213-601AA38,7
5520-502YA,7
5520-502SA,7
5128-602BB33,7
5128-602AB33,7
5128-601AA38,7
5128-601AA33,7
3164-502AA34,7
3165-502AA30,7
5165-502AC30,7
5128-502EA33,7
5128-502AA33,7
3157-502AA26,7
5128-502AA30,7
5128-501AA38,7
479-501AB30,7
5128-501AA33,7
5128-501AA30,7
3153-502EB32,7
485-641BB30,7
4109-502FA30,7
485-602EB30,7
485-502JA30,7
C352-501AA34,7
1731-406DA16,7
479-602BC36,7
479-602BC34,7
479-602AB36,7
479-602AB30,7
479-601AB36,7
479-502EA38,7
479-501AB36,7
478-641BA36,7
5142-641AA30,7
478-641AC34,7
6105-602AB38,7
478-602EC34,7
478-602BC34,7
478-602AC34,7
5179-502EB34,7
478-502AC34,7
478-502EC34,7
5142-502AA38,7
1355-406AB24,7
1831-501CA34,7
478-409AA40,7
5529-602AB38,7
474-602CC38,7
474-602XA38,7
352B-602BB30,7
5156-405AA07,7
4207-651AB30,7
4207-608AB30,7
1831-501DB30,7
4207-502AA30,7
4120-652AA30,7
3139-608AC36,7
4120-601EA30,7
3157-601EA26,7
4120-502AA30,7
4108-601EB30,7
12Q-411GA33,7
3652-651AA34,7
3652-608AA34,7
3166-608AA23,7
3652-601AA34,7
5128-502EA30,7
3652-502JA34,7
3652-501CA34,7
3652-501BA34,7
3652-432AA34,7
335-405AA38,7
4115-601EA34,7
3326-601EA34,7
3326-501BA34,7
3326-501AA34,7
3239-410EA34,5
3239-501AA30,7
3237-651AC34,7
3237-651AC30,7
12Q-411GA31,7
3237-608AB30,7
748-608AA20,7
3237-608AA34,7
3237-601EA34,7
3237-601EA30,7
3237-432AB30,7
1751-411AA12,7
1731-501ZGA20,7
1531-501ZQA38,7
161-402MA38,7
12Q-411BAB42,7
12Q-411BA40,7
100-501NA38,7
161-406JB33,7
C815-406CA34,7
5121-501AA38,7
3166-608AA17,7
3237-502AA34,7
SPL-3010-502CA34,7
3147-502JA30,7
5165-641AA32,7
3237-502AA30,7
3153-502EB34,7
3153-502EB30,7
3145-502EA32,7
161-406JB36,7
161-406DF42,7
161-406DF40,7
1532-440DA30,7
1632-401AA26,7
1931-103AA30,7
3239-410EA30,5
1532-431BA26,7
1532-436BC34,7
1632-406AA30,7
1531-406AA38,7
1931-102BA,7
1731-418AA24,7
1731-103AA24,7
161-404BEB,7
161-403GA38,7
1331-211JA,7
1331-210JA,7
1044-404CA,7
1044-430DA,7
2185-211AA,7
1751-411AA20,7
5173-641AA38,7
TS-5259-501AA30,7
TS-5259-418AB30,7
1831-501AA30,7
TS-5259-406CA30,7
TS-5259-401BA30,7
TS-5254BA,7
TS-5253PA,7
TS-5186VA30,7
SPL-1881EB38,7
3242-502AA36,7
600-502NA30,7
K-28801EB,7
K-13801KA,7
K-13801JA,7
G-6501HC,7
G-6501HB,7
G-6501HA,7
G-6501GB,7
G-6501GA,7
G-6402FC,7
C815-406CA30,7
975-608AB30,7
970-40926,7
970-405CB26,7
960-409AA34,7
960-409AA30,7
5142-602AA38,7
3164-502AA36,7
954-601JA30,7
954-601EA30,7
3166-608AA18,7
954-502JA30,7
161-403HA38,7
5520-501AB30,7
954-501B30,7
87-405JA42,7
TS-5275-652AA30,7
87-405EA36,7
87-405EA34,7
87-405EA32,7
87-405EA30,7
826-502JA30,7
TS-5275-601EA30,7
TS-5275-502AA30,7
TS-5259GA01,7
815-60830,7
815-501BA30,7
81-405EA28,7
TS-5259BA06,7
81-405EA26,7
81-405EA20,7
81-405EA17,7
81-405EA16,7
810-410CA34,7
810-410CA30,7
810-409B30,7
TS-5259-501BA30,7
80-451BU,5
78-40533,7
TS-5259-418AC30,7
740-410EA30,7
TS-5259-406CB30,7
TS-5259-401CA30,7
5546-502EB38,7
6215-602DA38,7
6215-602CA38,7
6215-602BA38,7
6215-602AA38,7
5172-601AA34,7
6215-502AA38,7
6213-501BA38,7
6213-501AA38,7
6207-411AB38,7
6207-406BA38,7
5215-502EA34,7
6105-641AA36,7
4117-601FA32,7
6105-606AD38,7
6105-606AD36,7
6105-602EB38,7
6105-602EA36,7
6105-602DB38,7
6105-602DA36,7
6105-602CC38,7
6105-602CB36,7
6105-602AA36,7
6105-601AA38,7
6105-601AA36,7
5165-602AA32,7
6105-502AA38,7
3166-501BA16,7
5542-502AA34,7
5165-502EA32,7
6105-502AA36,7
6105-501CA38,7
6105-501BA38,7
6104-409CA36,7
603-608B30,7
603-60834,7
603-601EA34,7
603-601EA30,7
5165-502EA30,7
603-502JA34,7
600-652AA34,7
600-652AA30,7
78-40538,7
600-652AA20,7
3326-601EA30,7
600-502MA30,7
352B-502EA34,7
582-502RA30,7
600-652BA38,7
3650-601AB34,7
582-502JB17,7
5172-501AA34,7
582-502JB16,7
580-652AA30,7
580-652AA17,7
580-652AA16,7
5543-502AA30,7
5541-502AB38,7
5165-502EA36,7
5541-501BA38,7
5541-501AA38,7
5533-501AA36,7
5532-601AA30,7
5532-501BA30,7
5532-501AA30,7
5530-602BA34,7
5529-602BA34,7
5530-602BA30,7
5530-502AA38,7
5530-502AA34,7
5530-501CA38,7
5517-501CA34,7
5530-501CA34,7
5530-501BA38,7
