クラス名称	メッセージID	メッセージタイプ	日本語タイトル	日本語メッセージ	他国語タイトル	他国語メッセージ
bu6100_pfw_cst	1	1	ｴﾗｰ	「刻印プレートコード（未来用）」が入力されている時、「刻印プレートコード有効開始日（未来用）」の入力は必須です	Error	
bu6100_pfw_cst	2	1	ｴﾗｰ	「プレートラベル区分（未来用）」が「9:無し」以外の時、「プレートラベル区分有効開始日（未来用）」の入力は必須です	Error	
bu8100_pfw_cst	1	1 	ｴﾗｰ	「99,17」以外から「99」に変更できません	Error	
bu8100_pfw_cst	2	1 	ｴﾗｰ	「99」から「17」に変更できません	Error	
bu8100_pfw_cst	3	2 	ｲﾝﾌｫﾒｰｼｮﾝ	仕入先と同じ納入先は選択できません	Information	
bu8200_pfw_cst	1	1 	ｴﾗｰ	「99,17」以外から「99」に変更できません	Error	
bu8200_pfw_cst	2	1 	ｴﾗｰ	「99」から「17」に変更できません	Error	
bu8200_pfw_cst	3	2 	ｲﾝﾌｫﾒｰｼｮﾝ	仕入先と同じ納入先は選択できません	Information	
buc050_pfw_add	1	1	ｴﾗｰ	対象の在庫評価ﾗﾝｸｺｰﾄﾞは既に登録されています	Error	
buc050_pfw_add	2	1	ｴﾗｰ	対象の順序は既に登録されています	Error	
cu2100_pfw_cst	1	1	ｴﾗｰ	製番自動作成の、マイナス稼働日に製番区分コードが設定されていません。	Error	
cu2100_pfw_cst	2	1	ｴﾗｰ	製番自動作成の、マイナス稼働日の完成予定日または組立予定日に数字が設定されていません。	Error	
cu2100_pfw_cst	3	1	ｴﾗｰ	製番自動作成の、明細が存在しません	Error	
cu2100_pfw_cst	4	1	ｴﾗｰ	製番自動作成が出来ません、製番金額が大きすぎます。	Error	
cu2100_pfw_cst	5	1	ｴﾗｰ	製番自動作成が出来ません、予定原価が大きすぎます。	Error	
cu2100_pfw_cst	6	1	ｴﾗｰ	製番自動作成が出来ません、異なる製造事業部が存在します。	Error	
cu2100_pfw_cst	7	4	確認	製番台帳Fの製番は、自動採番で作成します。よろしいですか？	Question	
cu2100_pfw_cst	8	1	ｴﾗｰ	製番台帳Fの、製番を指定して下さい。	Error	
cu2100_pfw_cst	9	1	ｴﾗｰ	製番が、製番台帳Fに登録済みです。	Error	
cu2100_pfw_cst	10	1	ｴﾗｰ	製番台帳Fの、製番桁数が15桁以上になります。	Error	
cu2100_pfw_cst	11	1	ｴﾗｰ	製番台帳Fの、製番・自動採番にて連番の終わり値に達しました。	Error	
dlc010_pfw_add	1	1	ｴﾗｰ	対象データが存在しません。	Error	
dlc010_pfw_add	2	5	確認	ここで印刷を行っても、完成出荷番号は更新されません。このまま続けますか？	Question	
drc010_pfw_add	1	1	ｴﾗｰ	対象の明細が存在しない為、出力できません。	Error	
drc010_pfw_add	2	2	ｲﾝﾌｫﾒｰｼｮﾝ	出力が完了しました。	Information	
dlc020_pfw_add	2	1	ｴﾗｰ	対象データが存在しません。	Error	
hu0100_pfw_cst	1	2	ｲﾝﾌｫﾒｰｼｮﾝ	製番区分コードが未注力の為、完成予定日・組立予定日の設定が出来ません。	Information	
hu0100_pfw_cst	2	2	ｲﾝﾌｫﾒｰｼｮﾝ	マイナス稼働日に製番区分コードが設定されていません。	Information	
hu0100_pfw_cst	3	2	ｲﾝﾌｫﾒｰｼｮﾝ	マイナス稼働日の完成予定日または組立予定日に数字が設定されていません。	Information	
hu0100_pfw_cst	4	4	確認	製番は、製番タイプ'SEIS'で採番します。よろしいですか？	Question	
hu0100_pfw_cst	5	4	確認	製番は、自動採番で作成します。よろしいですか？	Question	
hu0100_pfw_cst	6	1	ｴﾗｰ	製番を指定して下さい。	Error	
hu0100_pfw_cst	7	1	ｴﾗｰ	製番が、製番台帳Fに登録済みです。	Error	
hu0100_pfw_cst	8	1	ｴﾗｰ	製番・自動採番にて連番の終わり値に達しました。	Error	
hu0100_pfw_cst	9	1	ｴﾗｰ	受注製番・社内製番・ストック製番は、納期厳守を指定して下さい。	Error	
hu3100_pfw_cst	1	1	ｴﾗｰ	名称マスタに要求払い品の経費振替にて使用する理由コードが登録されていません	Error	
hu3100_pfw_cst	2	1	ｴﾗｰ	名称マスタに外注預け品の経費振替にて使用する理由コードが登録されていません	Error	
hu3100_pfw_cst	3	2	ｲﾝﾌｫﾒｰｼｮﾝ	要求払いデータが存在しないため、要求払い品の経費振替登録が出来ない部品がありました。	Information	
hu3100_pfw_cst	4	2	ｲﾝﾌｫﾒｰｼｮﾝ	要求払い品の経費振替登録にて、振替元原価が赤字が存在します。	Information	
hu3100_pfw_cst	5	2	ｲﾝﾌｫﾒｰｼｮﾝ	外注預けデータが存在しないため、外注預け品の経費振替登録が出来ない部品がありました。	Information	
hu3100_pfw_cst	6	2	ｲﾝﾌｫﾒｰｼｮﾝ	外注預け品の経費振替登録にて、振替元原価が赤字が存在します。	Information	
hu3100_pfw_cst	7	2	ｲﾝﾌｫﾒｰｼｮﾝ	在庫不足により、カム品の棚出登録が出来ない引当がありました。	Information	
hu3100_pfw_cst	8	1	ｴﾗｰ	削除する要求払い品の経費振替が完成日と異なる為、削除ができません	Error	
hu3100_pfw_cst	9	1	ｴﾗｰ	削除する要求払い品の経費振替は、実績原価で在庫計上されたストック製番のため、削除ができません	Error	
hu3100_pfw_cst	10	1	ｴﾗｰ	削除する外注預け品の経費振替が完成日と異なる為、削除ができません	Error	
hu3100_pfw_cst	11	1	ｴﾗｰ	削除する外注預け品の経費振替は、実績原価で在庫計上されたストック製番のため、削除ができません	Error	
hu3100_pfw_cst	12	1	ｴﾗｰ	削除するカム自動棚出が出荷済のため、削除ができません	Error	
hu3100_pfw_cst	13	1	ｴﾗｰ	削除するカム自動棚出が在庫操作が行われているため、削除ができません	Error	
hu3100_pfw_cst	14	1	ｴﾗｰ	削除するカム自動棚出が完成日と異なるため、削除ができません	Error	
hu3100_pfw_cst	15	1	ｴﾗｰ	削除するカム自動棚出に他の明細があるため、削除ができません	Error	
hu3100_pfw_cst	16	1	ｴﾗｰ	削除するカム自動棚出は、実績原価で在庫計上されたストック製番のため、削除ができません	Error	
hu3100_pfw_cst	17	1	ｴﾗｰ	削除する在庫ロット番号がカム自動棚出以外で使用のため、削除ができません	Error	
hu3100_pfw_cst	18	1	ｴﾗｰ	要求払い品の経費振替にて使用する名称マスタの理由コードが、理由マスタに登録されていません	Error	
hu3100_pfw_cst	19	1	ｴﾗｰ	要求払い品の経費振替にて使用する名称マスタの理由コードは、理由マスタの理由区分が手配以外です	Error	
hu3100_pfw_cst	20	1	ｴﾗｰ	外注預け品の経費振替にて使用する名称マスタの理由コードが、理由マスタに登録されていません	Error	
hu3100_pfw_cst	21	1	ｴﾗｰ	外注預け品の経費振替にて使用する名称マスタの理由コードは、理由マスタの理由区分が手配以外です	Error	
huc010_pfw_add	1	4	確認	明細部に表示されている製番の出荷予定日、月次を更新します。よろしいですか。	Question	
huc010_pfw_add	2	4	確認	明細部に表示されている製番の出荷予定日、月次を更新します。よろしいですか。	Question	
huc010_pfw_add	3	4	確認	明細部で「納期変更」「組立工程のみ納期変更」が選択されている部品表の希望納期を洗い替えします。よろしいですか。	Question
huc010_pfw_add	4	1	ｴﾗｰ	休日は設定できません。	Error	
huc010_pfw_add	5	2	ｲﾝﾌｫﾒｰｼｮﾝ	マイナス稼働日に製番区分コードが設定されていません。	Information	
